matchup,referee,away,home,spread,favorite,game_type,query
Falcons at Packers,Shawn Smith,ATL,GB,-4.5,HF,C,'Shawn Smith' in officials and HF and C and REG and season>=2018
Chargers at Bills,Clete Blakeman,LAC,BUF,-7.0,HF,C,'Clete Blakeman' in officials and HF and C and REG and season>=2018
Panthers at Browns,Land Clark,CAR,CLE,-2.5,AF,NDIV,'Land Clark' in officials and AF and NDIV and REG and season>=2018
Jets at Lions,Brad Rogers,NYJ,DET,-6.5,HF,NDIV,'Brad Rogers' in officials and HF and NDIV and REG and season>=2018
Texans at Colts,Ron Torbert,HOU,IND,-1.5,AF,DIV,'Ron Torbert' in officials and AF and DIV and REG and season>=2018
Patriots at Jaguars,Alex Kemp,NE,JAX,-3.0,HF,C,'Alex Kemp' in officials and HF and C and REG and season>=2018
Chiefs at Dolphins,Alex Moore,KC,MIA,-10.5,AF,C,'Alex Moore' in officials and AF and C and REG and season>=2018
Titans at Giants,Alan Eck,TEN,NYG,-2.5,HF,NDIV,'Alan Eck' in officials and HF and NDIV and REG and season>=2018
Bengals at Steelers,Clay Martin,CIN,PIT,-3.5,AF,DIV,'Clay Martin' in officials and AF and DIV and REG and season>=2018
Seahawks at Commanders,Carl Cheffers,SEA,WAS,-7.0,AF,C,'Carl Cheffers' in officials and AF and C and REG and season>=2018
Cardinals at 49ers,Brad Allen,ARI,SF,-8.5,HF,DIV,'Brad Allen' in officials and HF and DIV and REG and season>=2018
Vikings at Buccaneers,Scott Novak,MIN,TB,-1.5,AF,C,'Scott Novak' in officials and AF and C and REG and season>=2018
Raiders at Saints,Adrian Hill,LV,NO,-3.0,HF,NDIV,'Adrian Hill' in officials and HF and NDIV and REG and season>=2018
Ravens vs. Cowboys,John Hussey,BAL,DAL,-3.5,AF,NDIV,'John Hussey' in officials and AF and NDIV and REG and season>=2018
Rams at Broncos,Bill Vinovich,LAR,DEN,-2.5,AF,NDIV,'Bill Vinovich' in officials and AF and NDIV and REG and season>=2018
Eagles at Bears,Shawn Hochuli,PHI,CHI,-4.5,AF,C,'Shawn Hochuli' in officials and AF and C and REG and season>=2018
