matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Seattle Seahawks @ Washington Commanders,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,OK,,,,,11.1,11.1,none,,,spread AWAY 3/4.0 | total UNDER 0/4 | final none ,5.0,-3.0,50.0,50.0,0,5.0,EDGE,0,Found 1 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (10.6 pts; projected home margin -17.6),0,"Market mispricing possible (+5.0% edge), Extreme public sentiment (89% on one side), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Philadelphia Eagles @ Chicago Bears,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,OK,,,,,8.6,8.6,none,,,spread AWAY 0/4 | total UNDER 0/4 | final none ,9.0,-3.0,50.0,50.0,0,2.9,EDGE,0,Found 2 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+12.8 pts; projected home margin +8.3),0,"Market mispricing possible (+9.0% edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Atlanta Falcons @ Green Bay Packers,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,OK,,,,,8.1,8.1,none,,,spread AWAY 0/3 | total OVER 0/4 | final none ,24.0,1.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+7.5 pts; projected home margin +13.0),0,Market inefficiency detected (+24.0% sharp edge),0,Neutral schedule situation (standard rest)
Baltimore Ravens @ Dallas Cowboys,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,OK,,,,,8.1,8.1,none,,,spread AWAY 0/3 | total OVER 1/4 | final none ,25.0,5.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+3.5 pts; projected home margin -0.0),0,Market inefficiency detected (+25.0% sharp edge),0,Neutral schedule situation (standard rest)
New York Jets @ Detroit Lions,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,6.7,6.7,none,,,spread AWAY 3/4 | total OVER 2/4 | final none ,6.0,12.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (11.1 pts; projected home margin -4.6),0,Market mispricing possible (+6.0% edge),2,HOME rest advantage (+3 days)
Los Angeles Chargers @ Buffalo Bills,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.2,5.2,none,,,spread AWAY 0/4 | total NEUTRAL 0/4 | final none ,4.0,0.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+9.0 pts; projected home margin +16.5),0,Standard market dynamics,2,HOME rest advantage (+3 days)
Arizona Cardinals @ San Francisco 49ers,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.1,5.1,none,,,spread HOME 3/4.5 | total UNDER 0/4 | final none ,-7.0,-3.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+14.6 pts; projected home margin +23.1),0,"Market mispricing possible (-7.0% edge), Extreme public sentiment (19% on one side), Potential steam move developing",0,Neutral schedule situation (standard rest)
Carolina Panthers @ Cleveland Browns,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.1,5.1,none,,,spread HOME 0/4 | total UNDER 0/4 | final none ,-8.0,-1.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (7.2 pts; projected home margin -9.7),0,"Market mispricing possible (-8.0% edge), Extreme public sentiment (80% on one side), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Cincinnati Bengals @ Pittsburgh Steelers,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.1,5.1,none,,,spread AWAY 3/4 | total UNDER 0/4 | final none ,9.0,-3.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (7.6 pts; projected home margin -11.1),0,"Market mispricing possible (+9.0% edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Los Angeles Rams @ Denver Broncos,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,4.8,4.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,11.0,-3.0,50.0,50.0,0,-0.8,NO EDGE,0,Found 1 high-impact injuries,0,No significant situational factors,0,No current-season team rating yet for 2026 REG Week 3,0,"Market inefficiency detected (+11.0% sharp edge), Potential steam move developing",1,Minor rest edge (1 days)
Kansas City Chiefs @ Miami Dolphins,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,4.1,4.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,6.0,-1.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Double-digit spread (10.5) - blowout risk,2,Current-season value on away team (9.6 pts; projected home margin -20.1),0,"Market mispricing possible (+6.0% edge), Extreme public sentiment (88% on one side), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Las Vegas Raiders @ New Orleans Saints,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,3.6,3.6,none,,,spread NA NA/NA | total NA NA/NA | final none ,3.0,-1.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (8.2 pts; projected home margin -4.7),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Minnesota Vikings @ Tampa Bay Buccaneers,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,3.6,3.6,none,,,spread NA NA/NA | total NA NA/NA | final none ,1.0,2.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (11.1 pts; projected home margin -12.6),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Houston Texans @ Indianapolis Colts,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,3.5,3.5,none,,,spread NA NA/NA | total NA NA/NA | final none ,0.0,-4.0,50.0,50.0,0,-1.4,NO EDGE,0,Found 1 high-impact injuries,0,No significant situational factors,1,Modest current-season edge on home (2.1 pts; projected home margin +0.6),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Tennessee Titans @ New York Giants,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,2.8,2.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,-6.0,-6.0,50.0,50.0,1,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,Market mispricing possible (-6.0% edge),-1,Minor rest edge (1 days)
New England Patriots @ Jacksonville Jaguars,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0.0,6.0,50.0,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Modest current-season edge on away (1.6 pts; projected home margin +0.9),0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
