su_record,su_pct,ats_record,ats_pct,ou_record,ou_pct,sample_size,source,note,query,referee,favorite,game_type
29-9,76.3%,21-15-2,58.3%,19-18-1,51.4%,38,nflverse schedules,,'Shawn Smith' in officials and HF and C and REG and season>=2018,Shawn Smith,HF,C
33-16,67.3%,24-22-3,52.2%,24-25,49.0%,49,nflverse schedules,,'Clete Blakeman' in officials and HF and C and REG and season>=2018,Clete Blakeman,HF,C
27-11,71.1%,20-17-1,54.1%,16-21-1,43.2%,38,nflverse schedules,,'Land Clark' in officials and AF and NDIV and REG and season>=2018,Land Clark,AF,NDIV
23-18,56.1%,18-22-1,45.0%,25-16,61.0%,41,nflverse schedules,,'Brad Rogers' in officials and HF and NDIV and REG and season>=2018,Brad Rogers,HF,NDIV
9-5,64.3%,9-5,64.3%,6-8,42.9%,14,nflverse schedules,,'Ron Torbert' in officials and AF and DIV and REG and season>=2018,Ron Torbert,AF,DIV
43-10,81.1%,33-19-1,63.5%,25-25-3,50.0%,53,nflverse schedules,,'Alex Kemp' in officials and HF and C and REG and season>=2018,Alex Kemp,HF,C
4-2,66.7%,3-3,50.0%,3-3,50.0%,6,nflverse schedules,Broadened sample because AF/C had fewer than 5 games,'Alex Moore' in officials and AF and C and REG and season>=2018,Alex Moore,AF,C
21-6,77.8%,17-10,63.0%,10-17,37.0%,27,nflverse schedules,,'Alan Eck' in officials and HF and NDIV and REG and season>=2018,Alan Eck,HF,NDIV
10-7,58.8%,8-8-1,50.0%,6-11,35.3%,17,nflverse schedules,,'Clay Martin' in officials and AF and DIV and REG and season>=2018,Clay Martin,AF,DIV
16-13,55.2%,11-16-2,40.7%,12-17,41.4%,29,nflverse schedules,,'Carl Cheffers' in officials and AF and C and REG and season>=2018,Carl Cheffers,AF,C
15-9,62.5%,8-16,33.3%,11-13,45.8%,24,nflverse schedules,,'Brad Allen' in officials and HF and DIV and REG and season>=2018,Brad Allen,HF,DIV
23-10,69.7%,16-16-1,50.0%,15-18,45.5%,33,nflverse schedules,,'Scott Novak' in officials and AF and C and REG and season>=2018,Scott Novak,AF,C
31-22,58.5%,23-29-1,44.2%,24-29,45.3%,53,nflverse schedules,,'Adrian Hill' in officials and HF and NDIV and REG and season>=2018,Adrian Hill,HF,NDIV
10-14,41.7%,9-15,37.5%,12-11-1,52.2%,24,nflverse schedules,,'John Hussey' in officials and AF and NDIV and REG and season>=2018,John Hussey,AF,NDIV
21-10,67.7%,14-17,45.2%,14-16-1,46.7%,31,nflverse schedules,,'Bill Vinovich' in officials and AF and NDIV and REG and season>=2018,Bill Vinovich,AF,NDIV
16-13,55.2%,11-16-2,40.7%,9-20,31.0%,29,nflverse schedules,,'Shawn Hochuli' in officials and AF and C and REG and season>=2018,Shawn Hochuli,AF,C
