matchup,referee,time,week,away_team,home_team
Cardinals at 49ers,Not Available,TBD,3,Cardinals,49ers
Falcons at Packers,Not Available,TBD,3,Falcons,Packers
Ravens at Cowboys,Not Available,TBD,3,Ravens,Cowboys
Panthers at Browns,Not Available,TBD,3,Panthers,Browns
Bengals at Steelers,Not Available,TBD,3,Bengals,Steelers
Texans at Colts,Not Available,TBD,3,Texans,Colts
Chiefs at Dolphins,Not Available,TBD,3,Chiefs,Dolphins
Chargers at Bills,Not Available,TBD,3,Chargers,Bills
Rams at Broncos,Not Available,TBD,3,Rams,Broncos
Raiders at Saints,Not Available,TBD,3,Raiders,Saints
Vikings at Buccaneers,Not Available,TBD,3,Vikings,Buccaneers
Patriots at Jaguars,Not Available,TBD,3,Patriots,Jaguars
Jets at Lions,Not Available,TBD,3,Jets,Lions
Eagles at Bears,Not Available,TBD,3,Eagles,Bears
Seahawks at Commanders,Not Available,TBD,3,Seahawks,Commanders
Titans at Giants,Not Available,TBD,3,Titans,Giants
