captured_at,run_stage,week,season,away,home,spread_away,prev_spread_away,spread_delta
2026-09-23T18:21:34Z,update,3,2026,TIT,GIA,-2.5,,
2026-09-23T18:21:34Z,update,3,2026,FAL,PAC,-5.5,,
2026-09-23T18:21:34Z,update,3,2026,PAT,JAG,-2.5,,
2026-09-23T18:21:34Z,update,3,2026,CHI,DOL,10.5,,
2026-09-23T18:21:34Z,update,3,2026,BEN,STE,3.5,,
2026-09-23T18:21:34Z,update,3,2026,SEA,COM,7.5,,
2026-09-23T18:21:34Z,update,3,2026,CHA,BIL,-7.5,,
2026-09-23T18:21:34Z,update,3,2026,PAN,BRO,2.5,,
2026-09-23T18:21:34Z,update,3,2026,TEX,COL,2.5,,
2026-09-23T18:21:34Z,update,3,2026,JET,LIO,-6.5,,
2026-09-23T18:21:34Z,update,3,2026,VIK,BUC,1.5,,
2026-09-23T18:21:34Z,update,3,2026,CAR,49E,-8.5,,
2026-09-23T18:21:34Z,update,3,2026,RAV,COW,3.5,,
2026-09-23T18:21:34Z,update,3,2026,RAI,SAI,-3.0,,
2026-09-23T18:21:34Z,update,3,2026,RAM,BRO,2.5,,
2026-09-23T18:21:34Z,update,3,2026,EAG,BEA,5.5,,
2026-09-23T22:42:42Z,update,3,2026,TIT,GIA,-2.5,-2.5,0.0
2026-09-23T22:42:42Z,update,3,2026,FAL,PAC,-4.5,-5.5,1.0
2026-09-23T22:42:42Z,update,3,2026,PAT,JAG,-2.5,-2.5,0.0
2026-09-23T22:42:42Z,update,3,2026,CHI,DOL,10.5,10.5,0.0
2026-09-23T22:42:42Z,update,3,2026,BEN,STE,3.5,3.5,0.0
2026-09-23T22:42:42Z,update,3,2026,SEA,COM,7.5,7.5,0.0
2026-09-23T22:42:42Z,update,3,2026,CHA,BIL,-7.5,-7.5,0.0
2026-09-23T22:42:42Z,update,3,2026,PAN,BRO,2.5,2.5,0.0
2026-09-23T22:42:42Z,update,3,2026,TEX,COL,2.5,2.5,0.0
2026-09-23T22:42:42Z,update,3,2026,JET,LIO,-6.5,-6.5,0.0
2026-09-23T22:42:42Z,update,3,2026,VIK,BUC,1.5,1.5,0.0
2026-09-23T22:42:42Z,update,3,2026,CAR,49E,-8.5,-8.5,0.0
2026-09-23T22:42:42Z,update,3,2026,RAV,COW,3.5,3.5,0.0
2026-09-23T22:42:42Z,update,3,2026,RAI,SAI,-3.0,-3.0,0.0
2026-09-23T22:42:42Z,update,3,2026,RAM,BRO,2.5,2.5,0.0
2026-09-23T22:42:42Z,update,3,2026,EAG,BEA,4.5,5.5,-1.0
2026-09-24T10:55:20Z,initial,3,2026,TIT,GIA,-2.5,-2.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,FAL,PAC,-5.5,-4.5,-1.0
2026-09-24T10:55:20Z,initial,3,2026,PAT,JAG,-2.5,-2.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,CHI,DOL,10.5,10.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,BEN,STE,3.5,3.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,SEA,COM,7.5,7.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,CHA,BIL,-7.5,-7.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,PAN,BRO,2.5,2.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,TEX,COL,2.5,2.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,JET,LIO,-6.5,-6.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,VIK,BUC,1.5,1.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,CAR,49E,-8.5,-8.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,RAV,COW,3.5,3.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,RAI,SAI,-3.0,-3.0,0.0
2026-09-24T10:55:20Z,initial,3,2026,RAM,BRO,2.5,2.5,0.0
2026-09-24T10:55:20Z,initial,3,2026,EAG,BEA,4.5,4.5,0.0
2026-09-24T16:58:12Z,update,3,2026,TIT,GIA,-2.5,-2.5,0.0
2026-09-24T16:58:12Z,update,3,2026,FAL,PAC,-5.5,-5.5,0.0
2026-09-24T16:58:12Z,update,3,2026,PAT,JAG,-2.5,-2.5,0.0
2026-09-24T16:58:12Z,update,3,2026,CHI,DOL,10.5,10.5,0.0
2026-09-24T16:58:12Z,update,3,2026,BEN,STE,3.5,3.5,0.0
2026-09-24T16:58:12Z,update,3,2026,SEA,COM,7.5,7.5,0.0
2026-09-24T16:58:12Z,update,3,2026,CHA,BIL,-7.5,-7.5,0.0
2026-09-24T16:58:12Z,update,3,2026,PAN,BRO,2.5,2.5,0.0
2026-09-24T16:58:12Z,update,3,2026,TEX,COL,1.5,2.5,-1.0
2026-09-24T16:58:12Z,update,3,2026,JET,LIO,-6.5,-6.5,0.0
2026-09-24T16:58:12Z,update,3,2026,VIK,BUC,-0.5,1.5,-2.0
2026-09-24T16:58:12Z,update,3,2026,CAR,49E,-8.5,-8.5,0.0
2026-09-24T16:58:12Z,update,3,2026,RAV,COW,3.5,3.5,0.0
2026-09-24T16:58:12Z,update,3,2026,RAI,SAI,-3.5,-3.0,-0.5
2026-09-24T16:58:12Z,update,3,2026,RAM,BRO,2.5,2.5,0.0
2026-09-24T16:58:12Z,update,3,2026,EAG,BEA,4.5,4.5,0.0
2026-09-24T21:25:14Z,update,3,2026,TIT,GIA,-2.5,-2.5,0.0
2026-09-24T21:25:14Z,update,3,2026,FAL,PAC,-4.5,-5.5,1.0
2026-09-24T21:25:14Z,update,3,2026,PAT,JAG,-2.5,-2.5,0.0
2026-09-24T21:25:14Z,update,3,2026,CHI,DOL,10.5,10.5,0.0
2026-09-24T21:25:14Z,update,3,2026,BEN,STE,3.5,3.5,0.0
2026-09-24T21:25:14Z,update,3,2026,SEA,COM,7.5,7.5,0.0
2026-09-24T21:25:14Z,update,3,2026,CHA,BIL,-7.5,-7.5,0.0
2026-09-24T21:25:14Z,update,3,2026,PAN,BRO,2.5,2.5,0.0
2026-09-24T21:25:14Z,update,3,2026,TEX,COL,1.5,1.5,0.0
2026-09-24T21:25:14Z,update,3,2026,JET,LIO,-6.5,-6.5,0.0
2026-09-24T21:25:14Z,update,3,2026,VIK,BUC,-0.5,-0.5,0.0
2026-09-24T21:25:14Z,update,3,2026,CAR,49E,-8.5,-8.5,0.0
2026-09-24T21:25:14Z,update,3,2026,RAV,COW,3.5,3.5,0.0
2026-09-24T21:25:14Z,update,3,2026,RAI,SAI,-3.0,-3.5,0.5
2026-09-24T21:25:14Z,update,3,2026,RAM,BRO,2.5,2.5,0.0
2026-09-24T21:25:14Z,update,3,2026,EAG,BEA,4.5,4.5,0.0
