Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Patriots @ Seahawks,Moneyline,"Thu 9/10, 12:20 AM",+165 | -175,15% | 85%,27% | 73%,+12%,"21,149",2026-09-06 18:35
49ers @ Rams,Moneyline,"Fri 9/11, 12:35 AM",+165 | -192,11% | 89%,10% | 90%,+1%,"15,287",2026-09-06 18:35
Jets @ Titans,Moneyline,"Sun 9/13, 5:00 PM",+125 | -129,21% | 79%,26% | 74%,+5%,"8,254",2026-09-06 18:35
Buccaneers @ Bengals,Moneyline,"Sun 9/13, 5:00 PM",+172 | -200,14% | 86%,21% | 79%,+7%,"8,244",2026-09-06 18:35
Browns @ Jaguars,Moneyline,"Sun 9/13, 5:00 PM",+325 | -375,7% | 93%,17% | 83%,+10%,"8,804",2026-09-06 18:35
Falcons @ Steelers,Moneyline,"Sun 9/13, 5:00 PM",+154 | -160,16% | 84%,31% | 69%,+15%,"6,618",2026-09-06 18:35
Bears @ Panthers,Moneyline,"Sun 9/13, 5:00 PM",-145 | +130,85% | 15%,92% | 8%,+7%,"9,239",2026-09-06 18:35
Saints @ Lions,Moneyline,"Sun 9/13, 5:00 PM",+280 | -310,4% | 96%,6% | 94%,+2%,"9,895",2026-09-06 18:35
Ravens @ Colts,Moneyline,"Sun 9/13, 5:00 PM",-175 | +165,89% | 11%,92% | 8%,+3%,"8,476",2026-09-06 18:35
Bills @ Texans,Moneyline,"Sun 9/13, 5:00 PM",-108 | -102,66% | 34%,72% | 28%,+6%,"9,183",2026-09-06 18:35
Dolphins @ Raiders,Moneyline,"Sun 9/13, 8:25 PM",+160 | -176,13% | 87%,31% | 69%,+18%,"5,826",2026-09-06 18:35
Cardinals @ Chargers,Moneyline,"Sun 9/13, 8:25 PM",+475 | -520,4% | 96%,15% | 85%,+11%,"7,562",2026-09-06 18:35
Commanders @ Eagles,Moneyline,"Sun 9/13, 8:25 PM",+198 | -218,6% | 94%,8% | 92%,+2%,"8,703",2026-09-06 18:35
Packers @ Vikings,Moneyline,"Sun 9/13, 8:25 PM",+102 | -110,51% | 49%,57% | 43%,+6%,"9,456",2026-09-06 18:35
Broncos @ Chiefs,Moneyline,"Tue 9/15, 12:15 AM",+130 | -142,27% | 73%,12% | 88%,+15%,"8,310",2026-09-06 18:35
