game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,BUF,HOU,BUF @ HOU,Josh Allen,Davis Mills,None,"Dome
In Domed Stadium",BUF-6,43.5,2025-11-19 22:16:08
SUN1:00 PM ET,NYJ,BAL,NYJ @ BAL,Tyrod Taylor,L. Jackson,"L. Jackson (QB)-Q, R. Bateman (WR)-Q","11% Precipitation
52°  5 mph SW Wind",BAL-13.5,44.5,2025-11-19 22:16:08
SUN1:00 PM ET,PIT,CHI,PIT @ CHI,A. Rodgers,C. Williams,"A. Rodgers (QB)-Q, J. Warren (RB)-Q, D. Swift (RB)-Q","6% Precipitation
51°  10 mph WSW Wind",CHI-2.5,45.0,2025-11-19 22:16:09
SUN1:00 PM ET,NE,CIN,NE @ CIN,Drake Maye,Joe Flacco,"R. Stevenson (RB)-Q, Joe Flacco (QB)-Q","11% Precipitation
55°  5 mph WSW Wind",NE -7,50.0,2025-11-19 22:16:09
SUN1:00 PM ET,NYG,DET,NYG @ DET,Jaxson Dart,Jared Goff,"Jaxson Dart (QB)-Q, D. Slayton (WR)-Q, Brock Wright (TE)-Q","Dome
In Domed Stadium",DET-10,50.0,2025-11-19 22:16:10
SUN1:00 PM ET,MIN,GB,MIN @ GB,J. McCarthy,Jordan Love,"Josh Jacobs (RB)-Q, C. Watson (WR)-Q, Romeo Doubs (WR)-Q, M. Golden (WR)-Q, B. McManus (K)-Q","9% Precipitation
49°  8 mph WSW Wind",GB -6.5,41.0,2025-11-19 22:16:10
SUN1:00 PM ET,IND,KC,IND @ KC,Daniel Jones,P. Mahomes,X. Worthy (WR)-Q,"3% Precipitation
58°  6 mph SW Wind",KC -3.5,50.0,2025-11-19 22:16:10
SUN1:00 PM ET,SEA,TEN,SEA @ TEN,Sam Darnold,Cam Ward,E. Ayomanor (WR)-Q,"17% Precipitation
63°  5 mph NW Wind",SEA-13.5,40.0,2025-11-19 22:16:11
SUN4:05 PM ET,JAX,ARI,JAX @ ARI,T. Lawrence,J. Brissett,"T. Etienne (RB)-Q, Brian Thomas (WR)-Q, Hunter Long (TE)-Q, Bam Knight (RB)-Q","Dome
In Domed Stadium",JAX-3,47.5,2025-11-19 22:16:11
SUN4:05 PM ET,CLE,LV,CLE @ LV,D. Gabriel,Geno Smith,D. Gabriel (QB)-Q,"Dome
In Domed Stadium",LV -4,36.0,2025-11-19 22:16:12
SUN4:25 PM ET,PHI,DAL,PHI @ DAL,Jalen Hurts,Dak Prescott,Dak Prescott (QB)-Q,"Dome
In Domed Stadium",PHI-3,47.5,2025-11-19 22:16:12
SUN4:25 PM ET,ATL,NO,ATL @ NO,Kirk Cousins,Tyler Shough,"Drake London (WR)-D, Alvin Kamara (RB)-Q","Dome
In Domed Stadium",NO -1.5,39.5,2025-11-19 22:16:12
SUN8:20 PM ET,TB,LAR,TB @ LAR,B. Mayfield,M. Stafford,"Bucky Irving (RB)-Q, Chris Godwin (WR)-Q","Dome
In Domed Stadium",LAR-6.5,49.5,2025-11-19 22:16:13
MON8:15 PM ET,CAR,SF,CAR @ SF,Bryce Young,Brock Purdy,"X. Legette (WR)-Q, Eddy Pineiro (K)-Q","0%
60°  5 mph NW Wind",SF -7,48.5,2025-11-19 22:16:13
