Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Vikings @ Giants,Spread,"Sat 8/15, 5:00 PM",-1.5 (-108) | +1.5 (-109),53% | 47%,32% | 68%,+21%,939,2026-08-12 13:46
Packers @ Steelers,Spread,"Thu 8/13, 11:00 PM",-1.5 (-105) | +2.5 (-110),47% | 53%,27% | 73%,+20%,"1,348",2026-08-12 13:46
Lions @ Bengals,Spread,"Thu 8/13, 11:00 PM",+6.5 (-105) | -6.5 (-110),67% | 33%,36% | 64%,+31%,"1,231",2026-08-12 13:46
Colts @ Patriots,Spread,"Thu 8/13, 11:30 PM",-2.5 (-110) | +2.5 (-105),33% | 67%,61% | 39%,+28%,"1,176",2026-08-12 13:46
Chargers @ Texans,Spread,"Fri 8/14, 12:00 AM",+1.5 (-110) | -1.5 (-102),47% | 53%,70% | 30%,+23%,989,2026-08-12 13:46
Cardinals @ Raiders,Spread,"Fri 8/14, 12:00 AM",+1.5 (-109) | -1.5 (-105),52% | 48%,44% | 56%,+8%,"1,135",2026-08-12 13:46
Titans @ 49ers,Spread,"Fri 8/14, 1:00 AM",-4.5 (-112) | +4.5 (-102),34% | 66%,90% | 10%,+56%,"1,252",2026-08-12 13:46
Broncos @ Falcons,Spread,"Fri 8/14, 11:00 PM",-4.5 (-112) | +5.5 (-107),44% | 56%,79% | 21%,+35%,636,2026-08-12 13:46
Dolphins @ Commanders,Spread,"Fri 8/14, 11:00 PM",-2.5 (-113) | +2.5 (+101),31% | 69%,41% | 59%,+10%,565,2026-08-12 13:46
Buccaneers @ Jets,Spread,"Fri 8/14, 11:00 PM",+6 (-112) | -5.5 (-110),76% | 24%,67% | 33%,+9%,711,2026-08-12 13:46
Panthers @ Bills,Spread,"Sat 8/15, 5:00 PM",+1.5 (-112) | -1.5 (-102),,,,615,2026-08-12 13:46
Browns @ Bears,Spread,"Sat 8/15, 5:00 PM",-1 (-109) | +1.5 (-110),40% | 60%,45% | 55%,+5%,646,2026-08-12 13:46
Jaguars @ Saints,Spread,"Sat 8/15, 8:00 PM",+3.5 (-112) | -3 (-110),,,,520,2026-08-12 13:46
Rams @ Chiefs,Spread,"Sat 8/15, 8:00 PM",+2.5 (-110) | -1.5 (-109),,,,514,2026-08-12 13:46
Eagles @ Ravens,Spread,"Sat 8/15, 11:00 PM",-2.5 (-117) | +3 (-110),38% | 62%,14% | 86%,+24%,429,2026-08-12 13:46
Cowboys @ Seahawks,Spread,"Sun 8/16, 12:00 AM",+3.5 (-110) | -3.5 (-105),,,,656,2026-08-12 13:46
Vikings @ Giants,Total,"Sat 8/15, 5:00 PM",o40.5 (-110) | u41.5 (-110),82% | 18%,84% | 16%,+2%,939,2026-08-12 13:46
Packers @ Steelers,Total,"Thu 8/13, 11:00 PM",o39.5 (-102) | u39.5 (-104),83% | 17%,82% | 18%,+1%,"1,348",2026-08-12 13:46
Lions @ Bengals,Total,"Thu 8/13, 11:00 PM",o37.5 (-112) | u38.5 (-105),94% | 6%,93% | 7%,+1%,"1,231",2026-08-12 13:46
Colts @ Patriots,Total,"Thu 8/13, 11:30 PM",o37.5 (-102) | u36.5 (-102),83% | 17%,72% | 28%,+11%,"1,176",2026-08-12 13:46
Chargers @ Texans,Total,"Fri 8/14, 12:00 AM",o37 (-105) | u36.5 (+100),84% | 16%,86% | 14%,+2%,989,2026-08-12 13:46
Cardinals @ Raiders,Total,"Fri 8/14, 12:00 AM",o41.5 (-105) | u41.5 (-110),82% | 18%,83% | 17%,+1%,"1,135",2026-08-12 13:46
Titans @ 49ers,Total,"Fri 8/14, 1:00 AM",o40 (-107) | u39.5 (+105),83% | 17%,86% | 14%,+3%,"1,252",2026-08-12 13:46
Broncos @ Falcons,Total,"Fri 8/14, 11:00 PM",o38 (-110) | u38.5 (-105),81% | 19%,86% | 14%,+5%,636,2026-08-12 13:46
Dolphins @ Commanders,Total,"Fri 8/14, 11:00 PM",o36.5 (-108) | u36.5 (-105),95% | 5%,93% | 7%,+2%,565,2026-08-12 13:46
Buccaneers @ Jets,Total,"Fri 8/14, 11:00 PM",o35.5 (-110) | u35.5 (-105),95% | 5%,93% | 7%,+2%,711,2026-08-12 13:46
Panthers @ Bills,Total,"Sat 8/15, 5:00 PM",o37.5 (-108) | u37.5 (-105),88% | 12%,76% | 24%,+12%,615,2026-08-12 13:46
Browns @ Bears,Total,"Sat 8/15, 5:00 PM",o39 (-113) | u39.5 (-102),94% | 6%,94% | 6%,,646,2026-08-12 13:46
Jaguars @ Saints,Total,"Sat 8/15, 8:00 PM",o36.5 (-105) | u36.5 (-105),84% | 16%,87% | 13%,+3%,520,2026-08-12 13:46
Rams @ Chiefs,Total,"Sat 8/15, 8:00 PM",o36.5 (-109) | u36.5 (-102),97% | 3%,98% | 2%,+1%,514,2026-08-12 13:46
Eagles @ Ravens,Total,"Sat 8/15, 11:00 PM",o36.5 (-105) | u36.5 (-107),96% | 4%,97% | 3%,+1%,429,2026-08-12 13:46
Cowboys @ Seahawks,Total,"Sun 8/16, 12:00 AM",o38.5 (-112) | u39.5 (-102),86% | 14%,92% | 8%,+6%,656,2026-08-12 13:46
Vikings @ Giants,Moneyline,"Sat 8/15, 5:00 PM",-122 | +106,75% | 25%,84% | 16%,+9%,939,2026-08-12 13:46
Packers @ Steelers,Moneyline,"Thu 8/13, 11:00 PM",-126 | +126,39% | 61%,41% | 59%,+2%,"1,348",2026-08-12 13:46
Lions @ Bengals,Moneyline,"Thu 8/13, 11:00 PM",+240 | -265,22% | 78%,54% | 46%,+32%,"1,231",2026-08-12 13:46
Colts @ Patriots,Moneyline,"Thu 8/13, 11:30 PM",-138 | +136,22% | 78%,89% | 11%,+67%,"1,176",2026-08-12 13:46
Chargers @ Texans,Moneyline,"Fri 8/14, 12:00 AM",+110 | -118,27% | 73%,47% | 53%,+20%,989,2026-08-12 13:46
Cardinals @ Raiders,Moneyline,"Fri 8/14, 12:00 AM",+105 | -122,23% | 77%,37% | 63%,+14%,"1,135",2026-08-12 13:46
Titans @ 49ers,Moneyline,"Fri 8/14, 1:00 AM",-215 | +194,53% | 47%,59% | 41%,+6%,"1,252",2026-08-12 13:46
Broncos @ Falcons,Moneyline,"Fri 8/14, 11:00 PM",-235 | +205,83% | 17%,88% | 12%,+5%,636,2026-08-12 13:46
Dolphins @ Commanders,Moneyline,"Fri 8/14, 11:00 PM",-143 | +130,65% | 35%,55% | 45%,+10%,565,2026-08-12 13:46
Buccaneers @ Jets,Moneyline,"Fri 8/14, 11:00 PM",+215 | -235,50% | 50%,45% | 55%,+5%,711,2026-08-12 13:46
Panthers @ Bills,Moneyline,"Sat 8/15, 5:00 PM",+105 | -112,30% | 70%,14% | 86%,+16%,615,2026-08-12 13:46
Browns @ Bears,Moneyline,"Sat 8/15, 5:00 PM",-118 | +110,21% | 79%,80% | 20%,+59%,646,2026-08-12 13:46
Jaguars @ Saints,Moneyline,"Sat 8/15, 8:00 PM",+145 | -166,76% | 24%,66% | 34%,+10%,520,2026-08-12 13:46
Rams @ Chiefs,Moneyline,"Sat 8/15, 8:00 PM",+118 | -127,20% | 80%,34% | 66%,+14%,514,2026-08-12 13:46
Eagles @ Ravens,Moneyline,"Sat 8/15, 11:00 PM",-152 | +140,82% | 18%,60% | 40%,+22%,429,2026-08-12 13:46
Cowboys @ Seahawks,Moneyline,"Sun 8/16, 12:00 AM",+162 | -180,10% | 90%,11% | 89%,+1%,656,2026-08-12 13:46
