Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Lions,Spread,"Sun 11/23, 6:00 PM",+11 (-113) | -10.5 (-102),26% | 74%,19% | 81%,+7%,"11,733",2025-11-20 12:33
Bills @ Texans,Spread,"Fri 11/21, 1:15 AM",-5.5 (-115) | +6 (-105),78% | 22%,87% | 13%,+9%,"34,391",2025-11-20 12:33
Seahawks @ Titans,Spread,"Sun 11/23, 6:00 PM",-13.5 (-105) | +13.5 (-110),62% | 38%,67% | 33%,+5%,"9,203",2025-11-20 12:33
Jets @ Ravens,Spread,"Sun 11/23, 6:00 PM",+13.5 (-105) | -13.5 (-108),34% | 66%,30% | 70%,+4%,"7,219",2025-11-20 12:33
Steelers @ Bears,Spread,"Sun 11/23, 6:00 PM",+2.5 (+100) | -2.5 (-114),67% | 33%,61% | 39%,+6%,"7,451",2025-11-20 12:33
Patriots @ Bengals,Spread,"Sun 11/23, 6:00 PM",-7.5 (-105) | +7.5 (-108),70% | 30%,73% | 27%,+3%,"14,959",2025-11-20 12:33
Colts @ Chiefs,Spread,"Sun 11/23, 6:00 PM",+3.5 (-114) | -3.5 (+100),61% | 39%,74% | 26%,+13%,"11,001",2025-11-20 12:33
Vikings @ Packers,Spread,"Sun 11/23, 6:00 PM",+6.5 (-109) | -6.5 (-105),62% | 38%,58% | 42%,+4%,"7,345",2025-11-20 12:33
Browns @ Raiders,Spread,"Sun 11/23, 9:05 PM",+4 (-108) | -3.5 (-115),82% | 18%,66% | 34%,+16%,"10,238",2025-11-20 12:33
Jaguars @ Cardinals,Spread,"Sun 11/23, 9:05 PM",-2.5 (-118) | +3 (-110),58% | 42%,48% | 52%,+10%,"9,385",2025-11-20 12:33
Falcons @ Saints,Spread,"Sun 11/23, 9:25 PM",+1.5 (-105) | -1.5 (-109),67% | 33%,58% | 42%,+9%,"10,380",2025-11-20 12:33
Eagles @ Cowboys,Spread,"Sun 11/23, 9:25 PM",-3 (-113) | +3.5 (-115),60% | 40%,52% | 48%,+8%,"11,182",2025-11-20 12:33
Buccaneers @ Rams,Spread,"Mon 11/24, 1:20 AM",+6.5 (+100) | -6.5 (-114),63% | 37%,64% | 36%,+1%,"8,678",2025-11-20 12:33
Panthers @ 49ers,Spread,"Tue 11/25, 1:15 AM",+7 (-105) | -7 (-110),36% | 64%,38% | 62%,+2%,"9,855",2025-11-20 12:33
Giants @ Lions,Total,"Sun 11/23, 6:00 PM",o49.5 (-115) | u50.5 (-112),34% | 66%,42% | 58%,+8%,"11,733",2025-11-20 12:33
Bills @ Texans,Total,"Fri 11/21, 1:15 AM",o43.5 (-108) | u43.5 (-105),54% | 46%,49% | 51%,+5%,"34,391",2025-11-20 12:33
Seahawks @ Titans,Total,"Sun 11/23, 6:00 PM",o40.5 (-105) | u40.5 (-110),60% | 40%,72% | 28%,+12%,"9,203",2025-11-20 12:33
Jets @ Ravens,Total,"Sun 11/23, 6:00 PM",o44.5 (-105) | u44.5 (-108),47% | 53%,40% | 60%,+7%,"7,219",2025-11-20 12:33
Steelers @ Bears,Total,"Sun 11/23, 6:00 PM",o45.5 (-102) | u45.5 (-110),44% | 56%,37% | 63%,+7%,"7,451",2025-11-20 12:33
Patriots @ Bengals,Total,"Sun 11/23, 6:00 PM",o50 (-110) | u50 (-102),28% | 72%,46% | 54%,+18%,"14,959",2025-11-20 12:33
Colts @ Chiefs,Total,"Sun 11/23, 6:00 PM",o50 (-108) | u50.5 (-110),27% | 73%,15% | 85%,+12%,"11,001",2025-11-20 12:33
