game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,ATL,TB,ATL @ TB,Kirk Cousins,B. Mayfield,Kyle Pitts (TE)-Q,"0%
57°  2 mph N Wind",TB -5.5,43.5,2025-12-11 23:49:31
SUN1:00 PM ET,CLE,CHI,CLE @ CHI,S. Sanders,C. Williams,"C. Tillman (WR)-Q, Rome Odunze (WR)-Q","26% Precipitation
11°  14 mph WNW Wind",CHI-7.5,39.0,2025-12-11 23:49:39
SUN1:00 PM ET,BAL,CIN,BAL @ CIN,L. Jackson,Joe Burrow,"R. Bateman (WR)-Q, Mark Andrews (TE)-Q, Tee Higgins (WR)-Q","17% Precipitation
11°  9 mph WNW Wind",BAL-2.5,51.5,2025-12-11 23:49:39
SUN1:00 PM ET,ARI,HOU,ARI @ HOU,J. Brissett,C.J. Stroud,"M. Harrison (WR)-Q, X. Weaver (WR)-Q, Woody Marks (RB)-Q","Dome
In Domed Stadium",HOU-9.5,42.5,2025-12-11 23:49:40
SUN1:00 PM ET,NYJ,JAX,NYJ @ JAX,Tyrod Taylor,T. Lawrence,"Tyrod Taylor (QB)-Q, Breece Hall (RB)-Q, Mason Taylor (TE)-Q, P. Washington (WR)-Q","1% Precipitation
70°  11 mph WNW Wind",JAX-13,41.5,2025-12-11 23:49:40
SUN1:00 PM ET,LAC,KC,LAC @ KC,J. Herbert,P. Mahomes,"J. Herbert (QB)-Q, L. McConkey (WR)-Q","0%
16°  5 mph NE Wind",KC -5.5,41.5,2025-12-11 23:49:41
SUN1:00 PM ET,BUF,NE,BUF @ NE,Josh Allen,Drake Maye,J. Palmer (WR)-Q,"53% Snow
29°  7 mph NW Wind",BUF-1,49.5,2025-12-11 23:49:41
SUN1:00 PM ET,WAS,NYG,WAS @ NYG,M. Mariota,Jaxson Dart,"C. Rodriguez (RB)-Q, Theo Johnson (TE)-Q","77% Snow
30°  13 mph NW Wind",NYG-2.5,46.5,2025-12-11 23:49:41
SUN1:00 PM ET,LV,PHI,LV @ PHI,Geno Smith,Jalen Hurts,Geno Smith (QB)-D,"88% Snow
29°  11 mph NW Wind",PHI-11.5,38.5,2025-12-11 23:49:42
SUN4:25 PM ET,GB,DEN,GB @ DEN,Jordan Love,Bo Nix,"Josh Jacobs (RB)-Q, Jayden Reed (WR)-Q, Pat Bryant (WR)-Q","0%
60°  4 mph SSE Wind",GB -2,42.5,2025-12-11 23:49:42
SUN4:25 PM ET,DET,LAR,DET @ LAR,Jared Goff,M. Stafford,"K. Raymond (WR)-Q, D. Adams (WR)-Q","Dome
In Domed Stadium",LAR-6,55.0,2025-12-11 23:49:43
SUN4:25 PM ET,CAR,NO,CAR @ NO,Bryce Young,Tyler Shough,Alvin Kamara (RB)-Q,"Dome
In Domed Stadium",CAR-2.5,40.5,2025-12-11 23:49:43
SUN4:25 PM ET,TEN,SF,TEN @ SF,Cam Ward,Brock Purdy,C. McCaffrey (RB)-Q,"0%
62°  2 mph NW Wind",SF -12.5,44.5,2025-12-11 23:49:43
SUN4:25 PM ET,IND,SEA,IND @ SEA,R. Leonard,Sam Darnold,None,"80% Rain
54°  10 mph S Wind",SEA-13.5,42.5,2025-12-11 23:49:44
SUN8:20 PM ET,MIN,DAL,MIN @ DAL,J. McCarthy,Dak Prescott,"Aaron Jones (RB)-Q, J. Addison (WR)-Q, T. Hockenson (TE)-Q, CeeDee Lamb (WR)-Q, J. Ferguson (TE)-Q","Dome
In Domed Stadium",DAL-5.5,47.5,2025-12-11 23:49:44
MON8:15 PM ET,MIA,PIT,MIA @ PIT,T. Tagovailoa,A. Rodgers,"D. Achane (RB)-Q, D. Washington (TE)-Q","4% Precipitation
20°  8 mph SW Wind",PIT-3,41.5,2025-12-11 23:49:45
