Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Raiders,Spread,9:05 PM,-2.5 (-117) | +3 (-108),53% | 47%,54% | 46%,+1%,"36,613",2025-12-28 16:46
Seahawks @ Panthers,Spread,6:00 PM,-7 (-105) | +6.5 (+100),40% | 60%,48% | 52%,+8%,"63,447",2025-12-28 16:46
Jaguars @ Colts,Spread,6:00 PM,-4.5 (-108) | +4.5 (-108),73% | 27%,56% | 44%,+17%,"62,215",2025-12-28 16:46
Saints @ Titans,Spread,6:00 PM,-1.5 (-110) | +1.5 (-108),54% | 46%,47% | 53%,+7%,"53,834",2025-12-28 16:46
Cardinals @ Bengals,Spread,6:00 PM,+7 (-107) | -7 (-110),33% | 67%,30% | 70%,+3%,"70,636",2025-12-28 16:46
Steelers @ Browns,Spread,6:00 PM,-4.5 (-108) | +4.5 (-108),71% | 29%,59% | 41%,+12%,"59,615",2025-12-28 16:46
Patriots @ Jets,Spread,6:00 PM,-13.5 (-108) | +13.5 (-108),75% | 25%,72% | 28%,+3%,"41,318",2025-12-28 16:46
Buccaneers @ Dolphins,Spread,6:00 PM,-5 (-105) | +5 (-105),64% | 36%,60% | 40%,+4%,"50,441",2025-12-28 16:46
Eagles @ Bills,Spread,9:25 PM,+3 (-108) | -3 (-102),52% | 48%,52% | 48%,,"54,889",2025-12-28 16:46
Bears @ 49ers,Spread,"Mon 12/29, 1:20 AM",+3.5 (-108) | -3.5 (-102),64% | 36%,58% | 42%,+6%,"42,737",2025-12-28 16:46
Rams @ Falcons,Spread,"Tue 12/30, 1:15 AM",-7.5 (-109) | +7.5 (-110),38% | 62%,36% | 64%,+2%,"22,214",2025-12-28 16:46
Cowboys @ Commanders,Spread,Final,-9 (-105) | +13.5 (-120),75% | 25%,80% | 20%,+5%,"176,911",2025-12-28 16:46
Lions @ Vikings,Spread,Final,-7.5 (+100) | +7.5 (-110),77% | 23%,69% | 31%,+8%,"192,532",2025-12-28 16:46
Broncos @ Chiefs,Spread,Final,-13.5 (-110) | +13.5 (-105),70% | 30%,69% | 31%,+1%,"168,101",2025-12-28 16:46
Texans @ Chargers,Spread,Final,+1 (-108) | -1.5 (-105),64% | 36%,78% | 22%,+14%,"138,445",2025-12-28 16:46
Ravens @ Packers,Spread,Final,+2.5 (-108) | -2.5 (-106),50% | 50%,69% | 31%,+19%,"114,302",2025-12-28 16:46
Giants @ Raiders,Total,9:05 PM,o41 (-105) | u40.5 (-103),47% | 53%,51% | 49%,+4%,"36,613",2025-12-28 16:46
Seahawks @ Panthers,Total,6:00 PM,o42.5 (-109) | u42.5 (-108),60% | 40%,66% | 34%,+6%,"63,447",2025-12-28 16:46
Jaguars @ Colts,Total,6:00 PM,o48.5 (-110) | u48.5 (-108),63% | 37%,72% | 28%,+9%,"62,215",2025-12-28 16:46
Saints @ Titans,Total,6:00 PM,o39.5 (-104) | u39.5 (-110),69% | 31%,70% | 30%,+1%,"53,834",2025-12-28 16:46
Cardinals @ Bengals,Total,6:00 PM,o53.5 (-106) | u53.5 (-108),40% | 60%,54% | 46%,+14%,"70,636",2025-12-28 16:46
Steelers @ Browns,Total,6:00 PM,o35.5 (-108) | u35.5 (-110),79% | 21%,84% | 16%,+5%,"59,615",2025-12-28 16:46
Patriots @ Jets,Total,6:00 PM,o41.5 (-115) | u42.5 (-108),51% | 49%,50% | 50%,+1%,"41,318",2025-12-28 16:46
Buccaneers @ Dolphins,Total,6:00 PM,o43.5 (-112) | u44.5 (-112),52% | 48%,54% | 46%,+2%,"50,441",2025-12-28 16:46
Eagles @ Bills,Total,9:25 PM,o44.5 (-108) | u44.5 (-110),59% | 41%,75% | 25%,+16%,"54,889",2025-12-28 16:46
