Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Rams,Spread,1ST 5:35,+6.5 (+111) | -4.5 (-113),58% | 42%,61% | 39%,+3%,"235,840",2026-09-22 00:40
Lions @ Bills,Spread,Final,+16.5 (-104) | -5.5 (+102),50% | 50%,39% | 61%,+11%,"292,239",2026-09-22 00:40
Browns @ Buccaneers,Spread,Final,+7.5 (+102) | -1.5 (-144),12% | 88%,11% | 89%,+1%,"106,361",2026-09-22 00:40
Packers @ Jets,Spread,Final - OT,-3.5 (+120) | +3.5 (-112),75% | 25%,48% | 52%,+27%,"95,556",2026-09-22 00:40
Panthers @ Falcons,Spread,Final,-2.5 (+102) | +17.5 (-113),69% | 31%,55% | 45%,+14%,"91,724",2026-09-22 00:40
Eagles @ Titans,Spread,Final,-6.5 (-111) | +9.5 (-117),94% | 6%,92% | 8%,+2%,"116,165",2026-09-22 00:40
Bengals @ Texans,Spread,Final,+2.5 (+111) | +3.5 (+100),56% | 44%,47% | 53%,+9%,"117,761",2026-09-22 00:40
Saints @ Ravens,Spread,Final,+10.5 (-104) | -7.5 (-102),18% | 82%,14% | 86%,+4%,"115,817",2026-09-22 00:40
Vikings @ Bears,Spread,Final,+4.5 (-102) | -3.5 (-104),36% | 64%,37% | 63%,+1%,"125,086",2026-09-22 00:40
Steelers @ Patriots,Spread,Final,+7.5 (-133) | -4.5 (+102),57% | 43%,55% | 45%,+2%,"88,922",2026-09-22 00:40
Raiders @ Chargers,Spread,Final,+6.5 (+106) | -1.5 (+104),51% | 49%,40% | 60%,+11%,"78,315",2026-09-22 00:40
Jaguars @ Broncos,Spread,Final,+2.5 (+106) | +2.5 (-108),69% | 31%,81% | 19%,+12%,"97,329",2026-09-22 00:40
Commanders @ Cowboys,Spread,Final,+10.5 (+104) | -3.5 (-106),55% | 45%,68% | 32%,+13%,"114,696",2026-09-22 00:40
Dolphins @ 49ers,Spread,Final,+14.5 (+104) | -12.5 (-106),13% | 87%,50% | 50%,+37%,"85,964",2026-09-22 00:40
Seahawks @ Cardinals,Spread,Final,-3.5 (+117) | +3.5 (+106),63% | 37%,46% | 54%,+17%,"83,864",2026-09-22 00:40
Colts @ Chiefs,Spread,Final - OT,+9.5 (-108) | -5.5 (-102),19% | 81%,41% | 59%,+22%,"183,571",2026-09-22 00:40
Giants @ Rams,Total,1ST 5:35,o47.5 (+106) | u47.5 (-104),62% | 38%,60% | 40%,+2%,"235,840",2026-09-22 00:40
Lions @ Bills,Total,Final,o54.5 (-102) | u63.5 (+104),17% | 83%,66% | 34%,+49%,"292,239",2026-09-22 00:40
Browns @ Buccaneers,Total,Final,o41.5 (+102) | u46.5 (+133),33% | 67%,67% | 33%,+34%,"106,361",2026-09-22 00:40
Packers @ Jets,Total,Final - OT,o43.5 (-106) | u43.5 (+106),32% | 68%,34% | 66%,+2%,"95,556",2026-09-22 00:40
Panthers @ Falcons,Total,Final,o43.5 (+106) | u43.5 (-106),38% | 62%,77% | 23%,+39%,"91,724",2026-09-22 00:40
Eagles @ Titans,Total,Final,o39.5 (-106) | u43.5 (-108),29% | 71%,27% | 73%,+2%,"116,165",2026-09-22 00:40
