Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Patriots,Spread,"Tue 12/02, 1:15 AM",+7 (-105) | -7.5 (-105),81% | 19%,78% | 22%,+3%,"7,477",2025-11-26 20:24
Packers @ Lions,Spread,"Thu 11/27, 6:00 PM",+2.5 (+100) | -2.5 (-115),47% | 53%,53% | 47%,+6%,"39,677",2025-11-26 20:24
Chiefs @ Cowboys,Spread,"Thu 11/27, 9:30 PM",-3 (-115) | +3.5 (-112),33% | 67%,17% | 83%,+16%,"37,486",2025-11-26 20:24
Bengals @ Ravens,Spread,"Fri 11/28, 1:20 AM",+7 (-110) | -7 (-105),59% | 41%,59% | 41%,,"31,907",2025-11-26 20:24
Bears @ Eagles,Spread,"Fri 11/28, 8:00 PM",+7 (-108) | -7 (-109),46% | 54%,45% | 55%,+1%,"15,620",2025-11-26 20:24
Texans @ Colts,Spread,"Sun 11/30, 6:00 PM",+4.5 (-110) | -4.5 (-105),65% | 35%,55% | 45%,+10%,"8,113",2025-11-26 20:24
49ers @ Browns,Spread,"Sun 11/30, 6:00 PM",-5.5 (-102) | +4.5 (-105),56% | 44%,54% | 46%,+2%,"8,209",2025-11-26 20:24
Cardinals @ Buccaneers,Spread,"Sun 11/30, 6:00 PM",+2.5 (-102) | -2.5 (-112),40% | 60%,53% | 47%,+13%,"4,735",2025-11-26 20:24
Saints @ Dolphins,Spread,"Sun 11/30, 6:00 PM",+6 (-110) | -6 (-105),32% | 68%,18% | 82%,+14%,"4,665",2025-11-26 20:24
Rams @ Panthers,Spread,"Sun 11/30, 6:00 PM",-10.5 (-105) | +11 (-113),43% | 57%,54% | 46%,+11%,"5,967",2025-11-26 20:24
Falcons @ Jets,Spread,"Sun 11/30, 6:00 PM",-2.5 (-115) | +2.5 (-102),67% | 33%,52% | 48%,+15%,"4,861",2025-11-26 20:24
Jaguars @ Titans,Spread,"Sun 11/30, 6:00 PM",-6.5 (-108) | +6.5 (-105),62% | 38%,67% | 33%,+5%,"5,053",2025-11-26 20:24
Vikings @ Seahawks,Spread,"Sun 11/30, 9:05 PM",+11.5 (-105) | -11.5 (-110),66% | 34%,54% | 46%,+12%,"5,725",2025-11-26 20:24
Raiders @ Chargers,Spread,"Sun 11/30, 9:25 PM",+10 (-112) | -9.5 (-109),44% | 56%,38% | 62%,+6%,"4,407",2025-11-26 20:24
Bills @ Steelers,Spread,"Sun 11/30, 9:25 PM",-3.5 (-108) | +3.5 (-108),49% | 51%,48% | 52%,+1%,"6,007",2025-11-26 20:24
Broncos @ Commanders,Spread,"Mon 12/01, 1:20 AM",-5.5 (-110) | +5.5 (-105),77% | 23%,78% | 22%,+1%,"6,689",2025-11-26 20:25
Giants @ Patriots,Total,"Tue 12/02, 1:15 AM",o46 (-110) | u46.5 (-110),37% | 63%,40% | 60%,+3%,"7,477",2025-11-26 20:25
Packers @ Lions,Total,"Thu 11/27, 6:00 PM",o48 (-110) | u48.5 (-110),40% | 60%,37% | 63%,+3%,"39,677",2025-11-26 20:25
Chiefs @ Cowboys,Total,"Thu 11/27, 9:30 PM",o52 (-109) | u52.5 (-109),14% | 86%,11% | 89%,+3%,"37,486",2025-11-26 20:25
Bengals @ Ravens,Total,"Fri 11/28, 1:20 AM",o51.5 (-110) | u52 (-110),31% | 69%,35% | 65%,+4%,"31,907",2025-11-26 20:25
Bears @ Eagles,Total,"Fri 11/28, 8:00 PM",o44 (-110) | u44.5 (-110),10% | 90%,6% | 94%,+4%,"15,620",2025-11-26 20:25
Texans @ Colts,Total,"Sun 11/30, 6:00 PM",o44.5 (-105) | u45 (-110),48% | 52%,47% | 53%,+1%,"8,113",2025-11-26 20:25
49ers @ Browns,Total,"Sun 11/30, 6:00 PM",o36.5 (+107) | u36.5 (-110),59% | 41%,44% | 56%,+15%,"8,209",2025-11-26 20:25
Cardinals @ Buccaneers,Total,"Sun 11/30, 6:00 PM",o43.5 (-108) | u43.5 (-110),27% | 73%,21% | 79%,+6%,"4,735",2025-11-26 20:25
Saints @ Dolphins,Total,"Sun 11/30, 6:00 PM",o41.5 (-110) | u42.5 (-115),66% | 34%,57% | 43%,+9%,"4,665",2025-11-26 20:25
Rams @ Panthers,Total,"Sun 11/30, 6:00 PM",o44.5 (-115) | u45 (-108),50% | 50%,46% | 54%,+4%,"5,967",2025-11-26 20:25
Falcons @ Jets,Total,"Sun 11/30, 6:00 PM",o39.5 (-105) | u39.5 (-110),69% | 31%,62% | 38%,+7%,"4,861",2025-11-26 20:25
Jaguars @ Titans,Total,"Sun 11/30, 6:00 PM",o41.5 (-110) | u41.5 (-105),52% | 48%,43% | 57%,+9%,"5,053",2025-11-26 20:25
Vikings @ Seahawks,Total,"Sun 11/30, 9:05 PM",o41.5 (-105) | u41 (-105),63% | 37%,62% | 38%,+1%,"5,725",2025-11-26 20:25
Raiders @ Chargers,Total,"Sun 11/30, 9:25 PM",o41.5 (-104) | u41 (-107),68% | 32%,66% | 34%,+2%,"4,407",2025-11-26 20:25
Bills @ Steelers,Total,"Sun 11/30, 9:25 PM",o47 (-110) | u47.5 (-110),33% | 67%,25% | 75%,+8%,"6,007",2025-11-26 20:25
Broncos @ Commanders,Total,"Mon 12/01, 1:20 AM",o43.5 (-105) | u43.5 (-109),60% | 40%,64% | 36%,+4%,"6,689",2025-11-26 20:25
Giants @ Patriots,Moneyline,"Tue 12/02, 1:15 AM",+330 | -375,3% | 97%,11% | 89%,+8%,"7,477",2025-11-26 20:25
Packers @ Lions,Moneyline,"Thu 11/27, 6:00 PM",+130 | -148,22% | 78%,27% | 73%,+5%,"39,677",2025-11-26 20:25
Chiefs @ Cowboys,Moneyline,"Thu 11/27, 9:30 PM",-175 | +154,81% | 19%,74% | 26%,+7%,"37,486",2025-11-26 20:25
Bengals @ Ravens,Moneyline,"Fri 11/28, 1:20 AM",+285 | -325,9% | 91%,31% | 69%,+22%,"31,907",2025-11-26 20:25
Bears @ Eagles,Moneyline,"Fri 11/28, 8:00 PM",+290 | -325,6% | 94%,12% | 88%,+6%,"15,620",2025-11-26 20:25
Texans @ Colts,Moneyline,"Sun 11/30, 6:00 PM",+185 | -210,14% | 86%,43% | 57%,+29%,"8,113",2025-11-26 20:25
49ers @ Browns,Moneyline,"Sun 11/30, 6:00 PM",-235 | +205,92% | 8%,87% | 13%,+5%,"8,209",2025-11-26 20:25
Cardinals @ Buccaneers,Moneyline,"Sun 11/30, 6:00 PM",+125 | -130,10% | 90%,9% | 91%,+1%,"4,735",2025-11-26 20:25
Saints @ Dolphins,Moneyline,"Sun 11/30, 6:00 PM",+235 | -265,6% | 94%,9% | 91%,+3%,"4,665",2025-11-26 20:25
Rams @ Panthers,Moneyline,"Sun 11/30, 6:00 PM",-575 | +500,97% | 3%,97% | 3%,,"5,967",2025-11-26 20:25
Falcons @ Jets,Moneyline,"Sun 11/30, 6:00 PM",-145 | +128,85% | 15%,93% | 7%,+8%,"4,861",2025-11-26 20:25
Jaguars @ Titans,Moneyline,"Sun 11/30, 6:00 PM",-295 | +265,96% | 4%,96% | 4%,,"5,053",2025-11-26 20:25
Vikings @ Seahawks,Moneyline,"Sun 11/30, 9:05 PM",+570 | -670,2% | 98%,9% | 91%,+7%,"5,725",2025-11-26 20:25
Raiders @ Chargers,Moneyline,"Sun 11/30, 9:25 PM",+440 | -500,2% | 98%,3% | 97%,+1%,"4,407",2025-11-26 20:25
Bills @ Steelers,Moneyline,"Sun 11/30, 9:25 PM",-190 | +170,89% | 11%,76% | 24%,+13%,"6,007",2025-11-26 20:25
Broncos @ Commanders,Moneyline,"Mon 12/01, 1:20 AM",-250 | +230,98% | 2%,93% | 7%,+5%,"6,689",2025-11-26 20:25
