Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Raiders,Spread,"Sun 12/28, 9:05 PM",-1.5 (+100) | +1 (-110),56% | 44%,58% | 42%,+2%,"8,037",2025-12-26 01:40
Texans @ Chargers,Spread,"Sat 12/27, 9:30 PM",+1.5 (-105) | -2 (-109),63% | 37%,76% | 24%,+13%,"19,770",2025-12-26 01:40
Ravens @ Packers,Spread,"Sun 12/28, 1:00 AM",+5.5 (-110) | -4.5 (-105),43% | 57%,33% | 67%,+10%,"10,016",2025-12-26 01:40
Seahawks @ Panthers,Spread,"Sun 12/28, 6:00 PM",-7.5 (-102) | +7 (-102),25% | 75%,29% | 71%,+4%,"12,389",2025-12-26 01:40
Jaguars @ Colts,Spread,"Sun 12/28, 6:00 PM",-6 (-115) | +6.5 (-110),81% | 19%,88% | 12%,+7%,"10,117",2025-12-26 01:40
Saints @ Titans,Spread,"Sun 12/28, 6:00 PM",-2.5 (-114) | +2.5 (-105),52% | 48%,53% | 47%,+1%,"8,168",2025-12-26 01:40
Cardinals @ Bengals,Spread,"Sun 12/28, 6:00 PM",+7 (-102) | -7.5 (-102),31% | 69%,28% | 72%,+3%,"11,324",2025-12-26 01:40
Steelers @ Browns,Spread,"Sun 12/28, 6:00 PM",-3 (-112) | +3 (-102),81% | 19%,82% | 18%,+1%,"11,637",2025-12-26 01:40
Patriots @ Jets,Spread,"Sun 12/28, 6:00 PM",-13.5 (-108) | +13.5 (-109),83% | 17%,77% | 23%,+6%,"8,037",2025-12-26 01:40
Buccaneers @ Dolphins,Spread,"Sun 12/28, 6:00 PM",-5.5 (-112) | +5.5 (-102),70% | 30%,74% | 26%,+4%,"8,310",2025-12-26 01:40
Eagles @ Bills,Spread,"Sun 12/28, 9:25 PM",+1.5 (-110) | -1.5 (-105),50% | 50%,38% | 62%,+12%,"12,530",2025-12-26 01:40
Bears @ 49ers,Spread,"Mon 12/29, 1:20 AM",+3 (-105) | -3 (-112),72% | 28%,70% | 30%,+2%,"9,880",2025-12-26 01:40
Rams @ Falcons,Spread,"Tue 12/30, 1:15 AM",-8 (-108) | +8 (-109),23% | 77%,25% | 75%,+2%,"8,744",2025-12-26 01:40
Broncos @ Chiefs,Spread,1ST 2:53,-13.5 (-110) | +13.5 (-105),70% | 30%,69% | 31%,+1%,"168,101",2025-12-26 01:40
Cowboys @ Commanders,Spread,Final,-9 (-105) | +13.5 (-120),75% | 25%,80% | 20%,+5%,"176,911",2025-12-26 01:40
Lions @ Vikings,Spread,Final,-7.5 (+100) | +7.5 (-110),77% | 23%,69% | 31%,+8%,"192,532",2025-12-26 01:40
Giants @ Raiders,Total,"Sun 12/28, 9:05 PM",o40.5 (-115) | u41.5 (-109),42% | 58%,49% | 51%,+7%,"8,037",2025-12-26 01:40
Texans @ Chargers,Total,"Sat 12/27, 9:30 PM",o39.5 (-108) | u39.5 (-105),60% | 40%,73% | 27%,+13%,"19,770",2025-12-26 01:40
Ravens @ Packers,Total,"Sun 12/28, 1:00 AM",o40.5 (-105) | u40 (-107),60% | 40%,78% | 22%,+18%,"10,016",2025-12-26 01:40
Seahawks @ Panthers,Total,"Sun 12/28, 6:00 PM",o42.5 (-108) | u42.5 (-108),51% | 49%,70% | 30%,+19%,"12,389",2025-12-26 01:40
Jaguars @ Colts,Total,"Sun 12/28, 6:00 PM",o48 (-109) | u48.5 (-110),64% | 36%,66% | 34%,+2%,"10,117",2025-12-26 01:40
Saints @ Titans,Total,"Sun 12/28, 6:00 PM",o39.5 (-106) | u39.5 (-110),76% | 24%,80% | 20%,+4%,"8,168",2025-12-26 01:40
Cardinals @ Bengals,Total,"Sun 12/28, 6:00 PM",o52 (-120) | u53.5 (-110),32% | 68%,42% | 58%,+10%,"11,324",2025-12-26 01:40
Steelers @ Browns,Total,"Sun 12/28, 6:00 PM",o34.5 (-104) | u34 (-108),84% | 16%,88% | 12%,+4%,"11,637",2025-12-26 01:40
Patriots @ Jets,Total,"Sun 12/28, 6:00 PM",o43 (-107) | u42.5 (-102),40% | 60%,41% | 59%,+1%,"8,037",2025-12-26 01:40
Buccaneers @ Dolphins,Total,"Sun 12/28, 6:00 PM",o45.5 (-110) | u45.5 (-109),39% | 61%,51% | 49%,+12%,"8,310",2025-12-26 01:40
Eagles @ Bills,Total,"Sun 12/28, 9:25 PM",o43.5 (-115) | u44 (-108),50% | 50%,69% | 31%,+19%,"12,530",2025-12-26 01:40
