away,home,date,time,forecast,precip,wind
Lions,Bills,"Lions
Bills",Lions,Dome,--,
Browns,Buccaneers,"Browns
Buccaneers",Browns,86°F Mostly Cloudy,10 %,5 E
Packers,Jets,"Packers
Jets",Packers,68°F Drizzle,39 %,8 SSE
Eagles,Titans,"Eagles
Titans",Eagles,91°F Partly Cloudy,0 %,5 SW
Saints,Ravens,"Saints
Ravens",Saints,79°F Clouds,28 %,9 SSW
Vikings,Bears,"Vikings
Bears",Vikings,69°F Clouds,15 %,10 NE
Steelers,Patriots,"Steelers
Patriots",Steelers,62°F Rain,34 %,5 SE
Raiders,Chargers,"Raiders
Chargers",Raiders,77°F Mostly Cloudy,0 %,5 SSW
Jaguars,Broncos,"Jaguars
Broncos",Jaguars,74°F Partly Cloudy,4 %,5 ENE
Dolphins,49ers,"Dolphins
49ers",Dolphins,71°F Mostly Cloudy,0 %,5 NW
Colts,Chiefs,"Colts
Chiefs",Colts,77°F Mostly Cloudy,20 %,5 NNW
Giants,Rams,"Giants
Rams",Giants,77°F Clear,0 %,8 WSW
Panthers,Falcons,"Panthers
Falcons",Panthers,Dome,--,
Bengals,Texans,"Bengals
Texans",Bengals,Dome,--,
Commanders,Cowboys,"Commanders
Cowboys",Commanders,Dome,--,
Seahawks,Cardinals,"Seahawks
Cardinals",Seahawks,Dome,--,
