Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Cowboys @ Giants,Spread,"Mon 9/14, 12:20 AM",-2.5 (-115) | +2.5 (+100),35% | 65%,95% | 5%,+60%,"8,522",2026-09-04 02:20
Patriots @ Seahawks,Spread,"Thu 9/10, 12:20 AM",+3.5 (-108) | -3.5 (-105),55% | 45%,44% | 56%,+11%,"15,161",2026-09-04 02:20
49ers @ Rams,Spread,"Fri 9/11, 12:35 AM",+3.5 (-105) | -3.5 (-110),50% | 50%,31% | 69%,+19%,"11,591",2026-09-04 02:20
Jets @ Titans,Spread,"Sun 9/13, 5:00 PM",+2.5 (-105) | -1.5 (-114),43% | 57%,39% | 61%,+4%,"5,735",2026-09-04 02:20
Buccaneers @ Bengals,Spread,"Sun 9/13, 5:00 PM",+3.5 (-105) | -3.5 (-110),57% | 43%,51% | 49%,+6%,"6,320",2026-09-04 02:20
Browns @ Jaguars,Spread,"Sun 9/13, 5:00 PM",+8 (-107) | -7.5 (-110),60% | 40%,29% | 71%,+31%,"7,260",2026-09-04 02:20
Falcons @ Steelers,Spread,"Sun 9/13, 5:00 PM",+3 (-102) | -3 (-110),59% | 41%,38% | 62%,+21%,"5,139",2026-09-04 02:20
Bears @ Panthers,Spread,"Sun 9/13, 5:00 PM",-2.5 (-118) | +2.5 (+100),66% | 34%,91% | 9%,+25%,"7,058",2026-09-04 02:20
Saints @ Lions,Spread,"Sun 9/13, 5:00 PM",+7 (-109) | -7 (-109),77% | 23%,31% | 69%,+46%,"8,219",2026-09-04 02:20
Ravens @ Colts,Spread,"Sun 9/13, 5:00 PM",-3.5 (-105) | +3.5 (-105),55% | 45%,66% | 34%,+11%,"5,922",2026-09-04 02:20
Bills @ Texans,Spread,"Sun 9/13, 5:00 PM",-1.5 (+100) | +1.5 (-115),56% | 44%,38% | 62%,+18%,"6,588",2026-09-04 02:20
Dolphins @ Raiders,Spread,"Sun 9/13, 8:25 PM",+3.5 (-109) | -3.5 (-104),58% | 42%,31% | 69%,+27%,"4,624",2026-09-04 02:20
Cardinals @ Chargers,Spread,"Sun 9/13, 8:25 PM",+10.5 (-105) | -10 (-110),62% | 38%,21% | 79%,+41%,"5,987",2026-09-04 02:20
Commanders @ Eagles,Spread,"Sun 9/13, 8:25 PM",+5.5 (-113) | -4.5 (-105),48% | 52%,27% | 73%,+21%,"7,022",2026-09-04 02:20
Packers @ Vikings,Spread,"Sun 9/13, 8:25 PM",+1.5 (-115) | +1.5 (-120),29% | 71%,28% | 72%,+1%,"8,082",2026-09-04 02:20
Broncos @ Chiefs,Spread,"Tue 9/15, 12:15 AM",+2.5 (-103) | -2.5 (-114),55% | 45%,75% | 25%,+20%,"7,194",2026-09-04 02:20
Cowboys @ Giants,Total,"Mon 9/14, 12:20 AM",o48.5 (-108) | u48.5 (-109),16% | 84%,16% | 84%,,"8,522",2026-09-04 02:20
Patriots @ Seahawks,Total,"Thu 9/10, 12:20 AM",o44.5 (-105) | u44.5 (-109),27% | 73%,26% | 74%,+1%,"15,161",2026-09-04 02:20
49ers @ Rams,Total,"Fri 9/11, 12:35 AM",o48.5 (-105) | u48.5 (-110),20% | 80%,17% | 83%,+3%,"11,591",2026-09-04 02:20
Jets @ Titans,Total,"Sun 9/13, 5:00 PM",o39.5 (-105) | u39.5 (-110),55% | 45%,58% | 42%,+3%,"5,735",2026-09-04 02:20
Buccaneers @ Bengals,Total,"Sun 9/13, 5:00 PM",o50.5 (-112) | u50.5 (-105),11% | 89%,28% | 72%,+17%,"6,320",2026-09-04 02:20
Browns @ Jaguars,Total,"Sun 9/13, 5:00 PM",o40.5 (-110) | u40.5 (-108),46% | 54%,47% | 53%,+1%,"7,260",2026-09-04 02:20
