Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Cowboys @ Giants,Spread,"Mon 9/14, 12:20 AM",-2.5 (-115) | +3 (-111),41% | 59%,93% | 7%,+52%,"16,802",2026-09-09 00:28
Patriots @ Seahawks,Spread,"Thu 9/10, 12:20 AM",+3.5 (-110) | -3 (-118),51% | 49%,52% | 48%,+1%,"64,194",2026-09-09 00:28
49ers @ Rams,Spread,"Fri 9/11, 12:35 AM",+3.5 (-102) | -3.5 (-110),43% | 57%,39% | 61%,+4%,"27,823",2026-09-09 00:28
Jets @ Titans,Spread,"Sun 9/13, 5:00 PM",+2.5 (-105) | -1.5 (-109),43% | 57%,54% | 46%,+11%,"12,990",2026-09-09 00:28
Buccaneers @ Bengals,Spread,"Sun 9/13, 5:00 PM",+3.5 (-105) | -3.5 (-110),56% | 44%,56% | 44%,,"13,353",2026-09-09 00:28
Browns @ Jaguars,Spread,"Sun 9/13, 5:00 PM",+8.5 (-110) | -7.5 (-110),53% | 47%,24% | 76%,+29%,"14,207",2026-09-09 00:28
Falcons @ Steelers,Spread,"Sun 9/13, 5:00 PM",+3.5 (-110) | -3 (-110),53% | 47%,28% | 72%,+25%,"13,414",2026-09-09 00:28
Bears @ Panthers,Spread,"Sun 9/13, 5:00 PM",-2.5 (-118) | +3 (+100),68% | 32%,88% | 12%,+20%,"14,646",2026-09-09 00:28
Saints @ Lions,Spread,"Sun 9/13, 5:00 PM",+6.5 (+100) | -7 (-106),65% | 35%,26% | 74%,+39%,"16,236",2026-09-09 00:28
Ravens @ Colts,Spread,"Sun 9/13, 5:00 PM",-3.5 (-103) | +3.5 (-105),62% | 38%,85% | 15%,+23%,"14,247",2026-09-09 00:28
Bills @ Texans,Spread,"Sun 9/13, 5:00 PM",-1.5 (+100) | +1.5 (-114),61% | 39%,61% | 39%,,"14,984",2026-09-09 00:28
Dolphins @ Raiders,Spread,"Sun 9/13, 8:25 PM",+3.5 (-110) | -3.5 (-105),53% | 47%,39% | 61%,+14%,"9,855",2026-09-09 00:28
Cardinals @ Chargers,Spread,"Sun 9/13, 8:25 PM",+10.5 (-105) | -9.5 (-108),54% | 46%,26% | 74%,+28%,"12,328",2026-09-09 00:28
Commanders @ Eagles,Spread,"Sun 9/13, 8:25 PM",+5.5 (-112) | -4.5 (-105),42% | 58%,27% | 73%,+15%,"13,469",2026-09-09 00:28
Packers @ Vikings,Spread,"Sun 9/13, 8:25 PM",+1.5 (-108) | +1.5 (-120),36% | 64%,36% | 64%,,"14,222",2026-09-09 00:28
Broncos @ Chiefs,Spread,"Tue 9/15, 12:15 AM",+2.5 (+100) | -2.5 (-114),60% | 40%,70% | 30%,+10%,"13,944",2026-09-09 00:28
Cowboys @ Giants,Total,"Mon 9/14, 12:20 AM",o48.5 (-105) | u47.5 (-102),16% | 84%,21% | 79%,+5%,"16,802",2026-09-09 00:28
Patriots @ Seahawks,Total,"Thu 9/10, 12:20 AM",o44.5 (-108) | u54.5 (-115),27% | 73%,32% | 68%,+5%,"64,194",2026-09-09 00:28
49ers @ Rams,Total,"Fri 9/11, 12:35 AM",o48.5 (-105) | u48.5 (-112),21% | 79%,18% | 82%,+3%,"27,823",2026-09-09 00:28
Jets @ Titans,Total,"Sun 9/13, 5:00 PM",o39.5 (-109) | u39.5 (-109),54% | 46%,57% | 43%,+3%,"12,990",2026-09-09 00:28
Buccaneers @ Bengals,Total,"Sun 9/13, 5:00 PM",o50.5 (-108) | u50.5 (-108),12% | 88%,29% | 71%,+17%,"13,353",2026-09-09 00:28
Browns @ Jaguars,Total,"Sun 9/13, 5:00 PM",o40.5 (-108) | u40.5 (-110),46% | 54%,46% | 54%,,"14,207",2026-09-09 00:28
Falcons @ Steelers,Total,"Sun 9/13, 5:00 PM",o41.5 (-109) | u41.5 (-103),33% | 67%,34% | 66%,+1%,"13,414",2026-09-09 00:28
Bears @ Panthers,Total,"Sun 9/13, 5:00 PM",o47.5 (-102) | u47 (-107),13% | 87%,21% | 79%,+8%,"14,646",2026-09-09 00:28
