Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Dolphins,Spread,8:00 PM,-3 (-115) | +3.5 (-110),48% | 52%,57% | 43%,+9%,"1,595",2026-08-22 11:18
Commanders @ Lions,Spread,4:00 PM,+1.5 (-108) | -1.5 (-105),44% | 56%,44% | 56%,,"2,282",2026-08-22 11:18
Bills @ Browns,Spread,5:00 PM,+2.5 (+102) | -2.5 (-112),80% | 20%,83% | 17%,+3%,"2,408",2026-08-22 11:18
Ravens @ Vikings,Spread,5:00 PM,+3.5 (-110) | -3.5 (+100),75% | 25%,81% | 19%,+6%,"1,822",2026-08-22 11:18
Falcons @ Colts,Spread,5:00 PM,+3.5 (-106) | -3.5 (-108),40% | 60%,8% | 92%,+32%,"1,797",2026-08-22 11:18
Saints @ Rams,Spread,8:00 PM,-1.5 (-110) | +1.5 (-106),22% | 78%,21% | 79%,+1%,"1,873",2026-08-22 11:18
Bears @ Bengals,Spread,11:00 PM,-1.5 (-110) | +2 (-109),52% | 48%,90% | 10%,+38%,"2,226",2026-08-22 11:18
Eagles @ Patriots,Spread,11:00 PM,-1.5 (-110) | +2.5 (-118),38% | 62%,37% | 63%,+1%,"1,529",2026-08-22 11:18
Chiefs @ Buccaneers,Spread,11:30 PM,+5.5 (-110) | -5.5 (-108),73% | 27%,19% | 81%,+54%,"1,630",2026-08-22 11:18
Cowboys @ Cardinals,Spread,"Sun 8/23, 2:00 AM",+1 (-112) | -1.5 (+100),76% | 24%,97% | 3%,+21%,"1,676",2026-08-22 11:18
Seahawks @ Titans,Spread,"Mon 8/24, 12:00 AM",+4.5 (-108) | -4.5 (-108),79% | 21%,80% | 20%,+1%,"1,201",2026-08-22 11:18
Raiders @ Texans,Spread,Final,+3.5 (-110) | +1.5 (-105),47% | 53%,71% | 29%,+24%,"13,732",2026-08-22 11:18
49ers @ Chargers,Spread,Final,+3.5 (-110) | -1 (-109),38% | 62%,26% | 74%,+12%,"12,404",2026-08-22 11:18
Jets @ Steelers,Spread,Final,+2.5 (-112) | -1.5 (-112),15% | 85%,10% | 90%,+5%,"8,446",2026-08-22 11:18
Panthers @ Jaguars,Spread,Final,-2.5 (-105) | +2.5 (-106),34% | 66%,27% | 73%,+7%,"7,345",2026-08-22 11:18
