Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Texans @ Patriots,Spread,8:00 PM,+3 (+100) | -3 (-110),60% | 40%,61% | 39%,+1%,"137,981",2026-01-18 17:02
Rams @ Bears,Spread,11:30 PM,-3.5 (-110) | +3.5 (+100),34% | 66%,31% | 69%,+3%,"136,088",2026-01-18 17:02
Bills @ Broncos,Spread,Final - OT,+1.5 (-108) | -1 (-112),72% | 28%,69% | 31%,+3%,"258,483",2026-01-18 17:02
49ers @ Seahawks,Spread,Final,+7 (-105) | -7 (-108),75% | 25%,71% | 29%,+4%,"208,542",2026-01-18 17:02
Texans @ Patriots,Total,8:00 PM,o40.5 (-112) | u40.5 (-105),59% | 41%,60% | 40%,+1%,"137,981",2026-01-18 17:02
Rams @ Bears,Total,11:30 PM,o48.5 (-109) | u49 (-110),64% | 36%,58% | 42%,+6%,"136,088",2026-01-18 17:02
Bills @ Broncos,Total,Final - OT,o45.5 (-108) | u45.5 (-108),65% | 35%,57% | 43%,+8%,"258,483",2026-01-18 17:02
49ers @ Seahawks,Total,Final,o44.5 (-105) | u44.5 (-110),55% | 45%,45% | 55%,+10%,"208,542",2026-01-18 17:02
Texans @ Patriots,Moneyline,8:00 PM,+150 | -168,33% | 67%,57% | 43%,+24%,"137,981",2026-01-18 17:02
Rams @ Bears,Moneyline,11:30 PM,-190 | +167,62% | 38%,42% | 58%,+20%,"136,088",2026-01-18 17:02
Bills @ Broncos,Moneyline,Final - OT,+105 | -117,66% | 34%,59% | 41%,+7%,"258,483",2026-01-18 17:02
49ers @ Seahawks,Moneyline,Final,+280 | -295,39% | 61%,68% | 32%,+29%,"208,542",2026-01-18 17:02
