away,home,date,time,forecast,precip,wind
Seahawks,Titans,"Seahawks
Titans",Seahawks,61°F Partly Cloudy,0 %,1.84 WSW
Jets,Ravens,"Jets
Ravens",Jets,51°F Partly Cloudy,0 %,4.14 NW
Steelers,Bears,"Steelers
Bears",Steelers,52°F Partly Cloudy,0 %,8.99 ENE
Patriots,Bengals,"Patriots
Bengals",Patriots,54°F Partly Cloudy,0 %,3.54 ENE
Colts,Chiefs,"Colts
Chiefs",Colts,57°F Mostly Cloudy,0 %,3.19 N
Vikings,Packers,"Vikings
Packers",Vikings,49°F Partly Cloudy,0 %,9.67 E
Buccaneers,Rams,"Buccaneers
Rams",Buccaneers,65°F Clear,0 %,3.04 SW
Panthers,49ers,"Panthers
49ers",Panthers,60°F Mostly Cloudy,0 %,2.93 NW
Bills,Texans,"Bills
Texans",Bills,Dome,--,
Giants,Lions,"Giants
Lions",Giants,Dome,--,
Browns,Raiders,"Browns
Raiders",Browns,Dome,--,
Jaguars,Cardinals,"Jaguars
Cardinals",Jaguars,Dome,--,
Falcons,Saints,"Falcons
Saints",Falcons,Dome,--,
Eagles,Cowboys,"Eagles
Cowboys",Eagles,Dome,--,
