away,home,date,time,forecast,precip,wind
49ers,Chargers,"49ers
Chargers",49ers,74°F Partly Cloudy,0 %,6 SW
Jets,Steelers,"Jets
Steelers",Jets,77°F Clear,0 %,4 ENE
Panthers,Jaguars,"Panthers
Jaguars",Panthers,87°F Drizzle,12 %,6 SSW
Packers,Broncos,"Packers
Broncos",Packers,89°F Mostly Cloudy,0 %,5 NNW
Bills,Browns,"Bills
Browns",Bills,80°F Partly Cloudy,7 %,6 WSW
Giants,Dolphins,"Giants
Dolphins",Giants,92°F Mostly Cloudy,4 %,9 SE
Saints,Rams,"Saints
Rams",Saints,88°F Clear,0 %,7 WSW
Bears,Bengals,"Bears
Bengals",Bears,78°F Partly Cloudy,8 %,9 NW
Eagles,Patriots,"Eagles
Patriots",Eagles,69°F Drizzle,36 %,5 NNE
Chiefs,Buccaneers,"Chiefs
Buccaneers",Chiefs,87°F Mostly Cloudy,0 %,9 WSW
Seahawks,Titans,"Seahawks
Titans",Seahawks,78°F Partly Cloudy,0 %,4 N
Raiders,Texans,"Raiders
Texans",Raiders,Dome,--,
Commanders,Lions,"Commanders
Lions",Commanders,Dome,--,
Ravens,Vikings,"Ravens
Vikings",Ravens,Dome,--,
Falcons,Colts,"Falcons
Colts",Falcons,Dome,--,
Cowboys,Cardinals,"Cowboys
Cardinals",Cowboys,Dome,--,
