game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,ATL,TB,ATL @ TB,Kirk Cousins,B. Mayfield,None,"0%
58°  5 mph NNW Wind",TB -6,43.5,2025-12-14 02:59:57
SUN1:00 PM ET,CLE,CHI,CLE @ CHI,S. Sanders,C. Williams,"C. Tillman (WR)-Q, Rome Odunze (WR)-Q","0%
11°  14 mph WNW Wind",CHI-7.5,38.5,2025-12-14 02:59:57
SUN1:00 PM ET,BAL,CIN,BAL @ CIN,L. Jackson,Joe Burrow,R. Bateman (WR)-Q,"0%
11°  10 mph NW Wind",BAL-3,51.5,2025-12-14 02:59:57
SUN1:00 PM ET,ARI,HOU,ARI @ HOU,J. Brissett,C.J. Stroud,None,"Dome
In Domed Stadium",HOU-10.5,42.5,2025-12-14 02:59:58
SUN1:00 PM ET,NYJ,JAX,NYJ @ JAX,Brady Cook,T. Lawrence,P. Washington (WR)-Q,"8% Precipitation
72°  16 mph NW Wind",JAX-14,41.0,2025-12-14 02:59:58
SUN1:00 PM ET,LAC,KC,LAC @ KC,J. Herbert,P. Mahomes,Q. Johnston (WR)-Q,"0%
17°  3 mph NE Wind",KC -6,41.5,2025-12-14 02:59:58
SUN1:00 PM ET,BUF,NE,BUF @ NE,Josh Allen,Drake Maye,J. Palmer (WR)-Q,"14% Snow
30°  8 mph NNW Wind",BUF-1.5,49.0,2025-12-14 02:59:59
SUN1:00 PM ET,WAS,NYG,WAS @ NYG,M. Mariota,Jaxson Dart,"C. Rodriguez (RB)-Q, Deebo Samuel (WR)-Q","1% Precipitation
29°  17 mph NW Wind",NYG-2.5,46.5,2025-12-14 02:59:59
SUN1:00 PM ET,LV,PHI,LV @ PHI,K. Pickett,Jalen Hurts,None,"0%
28°  13 mph NW Wind",PHI-12.5,38.5,2025-12-14 02:59:59
SUN4:25 PM ET,GB,DEN,GB @ DEN,Jordan Love,Bo Nix,Josh Jacobs (RB)-Q,"0%
63°  2 mph ESE Wind",GB -1,42.5,2025-12-14 03:00:00
SUN4:25 PM ET,DET,LAR,DET @ LAR,Jared Goff,M. Stafford,"K. Raymond (WR)-Q, D. Adams (WR)-Q, Tutu Atwell (WR)-Q","Dome
In Domed Stadium",LAR-6,55.0,2025-12-14 03:00:00
SUN4:25 PM ET,CAR,NO,CAR @ NO,Bryce Young,Tyler Shough,None,"Dome
In Domed Stadium",CAR-2.5,40.5,2025-12-14 03:00:00
SUN4:25 PM ET,TEN,SF,TEN @ SF,Cam Ward,Brock Purdy,C. McCaffrey (RB)-Q,"0%
59°  2 mph NW Wind",SF -12.5,44.5,2025-12-14 03:00:01
SUN4:25 PM ET,IND,SEA,IND @ SEA,P. Rivers,Sam Darnold,None,"36% Precipitation
55°  8 mph S Wind",SEA-13.5,41.5,2025-12-14 03:00:01
SUN8:20 PM ET,MIN,DAL,MIN @ DAL,J. McCarthy,Dak Prescott,J. Ferguson (TE)-Q,"Dome
In Domed Stadium",DAL-5.5,47.5,2025-12-14 03:00:01
MON8:15 PM ET,MIA,PIT,MIA @ PIT,T. Tagovailoa,A. Rodgers,D. Washington (TE)-Q,"3% Precipitation
20°  10 mph SW Wind",PIT-3,42.5,2025-12-14 03:00:02
