game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,DET,BUF,DET @ BUF,Jared Goff,Josh Allen,DJ Moore (WR)-Q,"0%
67°  4 mph ESE Wind",BUF-5.5,54.5,2026-09-20 19:00:56
SUN1:00 PM ET,CAR,ATL,CAR @ ATL,Bryce Young,Cooper Rush,None,"Dome
In Domed Stadium",CAR-2.5,43.5,2026-09-20 19:00:57
SUN1:00 PM ET,NO,BAL,NO @ BAL,Tyler Shough,L. Jackson,None,"0% Rain
79°  10 mph SW Wind",BAL-8.5,45.5,2026-09-20 19:01:20
SUN1:00 PM ET,MIN,CHI,MIN @ CHI,Carson Wentz,C. Williams,None,"100% Rain
67°  16 mph NE Wind",CHI-4.5,46.5,2026-09-20 19:01:20
SUN1:00 PM ET,CIN,HOU,CIN @ HOU,Joe Burrow,C.J. Stroud,None,"Dome
In Domed Stadium",HOU-2.5,45.5,2026-09-20 19:01:21
SUN1:00 PM ET,PIT,NE,PIT @ NE,A. Rodgers,Drake Maye,None,"100% Rain
59°  6 mph SE Wind",NE -4.5,41.5,2026-09-20 19:01:21
SUN1:00 PM ET,GB,NYJ,GB @ NYJ,Jordan Love,Geno Smith,None,"100% Rain
67°  12 mph SSE Wind",GB -3,44.0,2026-09-20 19:01:22
SUN1:00 PM ET,CLE,TB,CLE @ TB,D. Watson,B. Mayfield,None,"0%
86°  4 mph NE Wind",TB -8,41.5,2026-09-20 19:01:22
SUN1:00 PM ET,PHI,TEN,PHI @ TEN,Jalen Hurts,Cam Ward,D. Goedert (TE)-Q,"0%
93°  6 mph SW Wind",PHI-7,39.5,2026-09-20 19:01:23
SUN4:05 PM ET,JAX,DEN,JAX @ DEN,T. Lawrence,Bo Nix,None,"11% Precipitation
71°  9 mph NE Wind",DEN-2.5,45.5,2026-09-20 19:01:23
SUN4:05 PM ET,LV,LAC,LV @ LAC,Kirk Cousins,J. Herbert,None,"Dome
In Domed Stadium",LAC-6.5,43.5,2026-09-20 19:01:24
SUN4:25 PM ET,SEA,ARI,SEA @ ARI,Drew Lock,J. Brissett,None,"Dome
In Domed Stadium",SEA-4,41.0,2026-09-20 19:01:24
SUN4:25 PM ET,WAS,DAL,WAS @ DAL,J. Daniels,Dak Prescott,None,"Dome
In Domed Stadium",DAL-4,51.0,2026-09-20 19:01:24
SUN4:25 PM ET,MIA,SF,MIA @ SF,Malik Willis,Brock Purdy,Eddy Pineiro (K)-Q,"1% Precipitation
68°  7 mph NW Wind",SF -13.5,45.0,2026-09-20 19:01:24
SUN8:20 PM ET,IND,KC,IND @ KC,Daniel Jones,P. Mahomes,None,"15% Precipitation
72°  8 mph N Wind",KC -6,46.5,2026-09-20 19:01:25
MON8:15 PM ET,NYG,LAR,NYG @ LAR,Jaxson Dart,M. Stafford,"Puka Nacua (WR)-Q, J. Whittington (WR)-D","Dome
In Domed Stadium",LAR-6.5,47.5,2026-09-20 19:01:25
