away,home,date,time,forecast,precip,wind
Falcons,Packers,"Falcons
Packers",Falcons,62°F Clouds,0 %,4 ESE
Patriots,Jaguars,"Patriots
Jaguars",Patriots,81°F Partly Cloudy,0 %,4 NNE
Titans,Giants,"Titans
Giants",Titans,62°F Drizzle,37 %,14 N
Chiefs,Dolphins,"Chiefs
Dolphins",Chiefs,85°F Partly Cloudy,0 %,4 N
Bengals,Steelers,"Bengals
Steelers",Bengals,66°F Clouds,0 %,8 NNW
Seahawks,Commanders,"Seahawks
Commanders",Seahawks,64°F Drizzle,12 %,10 NW
Chargers,Bills,"Chargers
Bills",Chargers,64°F Clouds,4 %,11 NNE
Panthers,Browns,"Panthers
Browns",Panthers,66°F Partly Cloudy,0 %,10 N
Vikings,Buccaneers,"Vikings
Buccaneers",Vikings,84°F Mostly Cloudy,0 %,4 NNE
Cardinals,49ers,"Cardinals
49ers",Cardinals,70°F Partly Cloudy,0 %,5 WNW
Ravens,Cowboys,"Ravens
Cowboys",Ravens,Dome,--,
Rams,Broncos,"Rams
Broncos",Rams,79°F Mostly Cloudy,0 %,12 SSE
Eagles,Bears,"Eagles
Bears",Eagles,67°F Partly Cloudy,0 %,4 E
Texans,Colts,"Texans
Colts",Texans,Dome,--,
Jets,Lions,"Jets
Lions",Jets,Dome,--,
Raiders,Saints,"Raiders
Saints",Raiders,Dome,--,
