Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Rams @ Panthers,Spread,9:30 PM,-10.5 (-102) | +10 (-108),46% | 54%,41% | 59%,+5%,"112,904",2026-01-10 17:28
Packers @ Bears,Spread,"Sun 1/11, 1:00 AM",-1.5 (-105) | +1.5 (-105),28% | 72%,28% | 72%,,"98,495",2026-01-10 17:28
Bills @ Jaguars,Spread,"Sun 1/11, 6:00 PM",+1 (-110) | -1.5 (-102),47% | 53%,43% | 57%,+4%,"71,504",2026-01-10 17:28
49ers @ Eagles,Spread,"Sun 1/11, 9:30 PM",+6 (-107) | -6 (-108),76% | 24%,80% | 20%,+4%,"57,509",2026-01-10 17:28
Chargers @ Patriots,Spread,"Mon 1/12, 1:15 AM",+3.5 (-110) | -3.5 (-108),41% | 59%,45% | 55%,+4%,"49,967",2026-01-10 17:28
Texans @ Steelers,Spread,"Tue 1/13, 1:15 AM",-3 (-102) | +3 (-113),45% | 55%,35% | 65%,+10%,"42,555",2026-01-10 17:28
Rams @ Panthers,Total,9:30 PM,o45.5 (-102) | u45.5 (-110),76% | 24%,68% | 32%,+8%,"112,904",2026-01-10 17:28
Packers @ Bears,Total,"Sun 1/11, 1:00 AM",o44.5 (-110) | u45 (-110),62% | 38%,50% | 50%,+12%,"98,495",2026-01-10 17:28
Bills @ Jaguars,Total,"Sun 1/11, 6:00 PM",o51.5 (-110) | u51.5 (-105),64% | 36%,66% | 34%,+2%,"71,504",2026-01-10 17:28
49ers @ Eagles,Total,"Sun 1/11, 9:30 PM",o44 (-110) | u44.5 (-109),63% | 37%,62% | 38%,+1%,"57,509",2026-01-10 17:28
Chargers @ Patriots,Total,"Mon 1/12, 1:15 AM",o45.5 (-110) | u46.5 (-110),68% | 32%,60% | 40%,+8%,"49,967",2026-01-10 17:28
Texans @ Steelers,Total,"Tue 1/13, 1:15 AM",o38.5 (-105) | u38.5 (-109),61% | 39%,47% | 53%,+14%,"42,555",2026-01-10 17:28
Rams @ Panthers,Moneyline,9:30 PM,-575 | +455,89% | 11%,62% | 38%,+27%,"112,904",2026-01-10 17:28
Packers @ Bears,Moneyline,"Sun 1/11, 1:00 AM",-121 | +110,35% | 65%,35% | 65%,,"98,495",2026-01-10 17:28
Bills @ Jaguars,Moneyline,"Sun 1/11, 6:00 PM",+100 | -115,57% | 43%,69% | 31%,+12%,"71,504",2026-01-10 17:28
49ers @ Eagles,Moneyline,"Sun 1/11, 9:30 PM",+225 | -260,37% | 63%,51% | 49%,+14%,"57,509",2026-01-10 17:28
Chargers @ Patriots,Moneyline,"Mon 1/12, 1:15 AM",+166 | -192,16% | 84%,20% | 80%,+4%,"49,967",2026-01-10 17:28
Texans @ Steelers,Moneyline,"Tue 1/13, 1:15 AM",-155 | +135,69% | 31%,41% | 59%,+28%,"42,555",2026-01-10 17:28
