Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Vikings @ Giants,Spread,"Sun 12/21, 6:00 PM",-3 (-105) | +3 (-112),70% | 30%,76% | 24%,+6%,"2,943",2025-12-17 03:57
Rams @ Seahawks,Spread,"Fri 12/19, 1:15 AM",-1.5 (+109) | +1 (-115),62% | 38%,62% | 38%,,"13,298",2025-12-17 03:57
Eagles @ Commanders,Spread,"Sat 12/20, 10:00 PM",-6.5 (-109) | +6.5 (-109),74% | 26%,88% | 12%,+14%,"6,199",2025-12-17 03:57
Packers @ Bears,Spread,"Sun 12/21, 1:20 AM",+0.5 (-115) | +1 (-110),33% | 67%,33% | 67%,,"6,891",2025-12-17 03:57
Chiefs @ Titans,Spread,"Sun 12/21, 6:00 PM",-3.5 (-103) | +3.5 (-114),60% | 40%,53% | 47%,+7%,"2,812",2025-12-17 03:57
Buccaneers @ Panthers,Spread,"Sun 12/21, 6:00 PM",-3 (-105) | +3 (-110),45% | 55%,66% | 34%,+21%,"4,357",2025-12-17 03:57
Jets @ Saints,Spread,"Sun 12/21, 6:00 PM",+4.5 (-110) | -4 (-108),52% | 48%,56% | 44%,+4%,"1,923",2025-12-17 03:57
Chargers @ Cowboys,Spread,"Sun 12/21, 6:00 PM",+2.5 (-112) | -2 (-106),73% | 27%,64% | 36%,+9%,"4,134",2025-12-17 03:57
Bills @ Browns,Spread,"Sun 12/21, 6:00 PM",-10.5 (+100) | +10.5 (-115),73% | 27%,79% | 21%,+6%,"4,059",2025-12-17 03:57
Bengals @ Dolphins,Spread,"Sun 12/21, 6:00 PM",-2 (-112) | +2.5 (-105),61% | 39%,78% | 22%,+17%,"2,615",2025-12-17 03:57
Falcons @ Cardinals,Spread,"Sun 12/21, 9:05 PM",-2.5 (-110) | +3 (-115),44% | 56%,44% | 56%,,"3,311",2025-12-17 03:57
Jaguars @ Broncos,Spread,"Sun 12/21, 9:05 PM",+3 (-105) | -3 (-110),62% | 38%,69% | 31%,+7%,"5,099",2025-12-17 03:57
Steelers @ Lions,Spread,"Sun 12/21, 9:25 PM",+7 (-105) | -7 (-108),53% | 47%,43% | 57%,+10%,"4,351",2025-12-17 03:57
Raiders @ Texans,Spread,"Sun 12/21, 9:25 PM",+14.5 (-110) | -14.5 (-104),29% | 71%,38% | 62%,+9%,"2,847",2025-12-17 03:57
Patriots @ Ravens,Spread,"Mon 12/22, 1:20 AM",+3 (-113) | -3 (-105),81% | 19%,88% | 12%,+7%,"5,275",2025-12-17 03:57
49ers @ Colts,Spread,"Tue 12/23, 1:15 AM",-6 (-107) | +6 (-105),58% | 42%,71% | 29%,+13%,"3,311",2025-12-17 03:57
Vikings @ Giants,Total,"Sun 12/21, 6:00 PM",o43.5 (-110) | u43.5 (-105),78% | 22%,75% | 25%,+3%,"2,943",2025-12-17 03:57
Rams @ Seahawks,Total,"Fri 12/19, 1:15 AM",o44.5 (-104) | u44.5 (-112),72% | 28%,61% | 39%,+11%,"13,298",2025-12-17 03:57
