game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
SAT4:30 PM ET,BUF,DEN,BUF @ DEN,Josh Allen,Bo Nix,None,"0%
38°  10 mph N Wind",DEN-1,45.5,2026-01-17 20:32:48
SAT8:00 PM ET,SF,SEA,SF @ SEA,Brock Purdy,Sam Darnold,"R. Pearsall (WR)-Q, Sam Darnold (QB)-Q","0%
49°  3 mph N Wind",SEA-7,44.0,2026-01-17 20:32:49
