Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Rams @ Panthers,Spread,"Sat 1/10, 9:30 PM",-10 (-110) | +10.5 (-110),47% | 53%,44% | 56%,+3%,"14,328",2026-01-06 19:27
Packers @ Bears,Spread,"Sun 1/11, 1:00 AM",+1 (-115) | +1.5 (-120),34% | 66%,50% | 50%,+16%,"14,297",2026-01-06 19:27
Bills @ Jaguars,Spread,"Sun 1/11, 6:00 PM",-1.5 (-102) | +1.5 (-110),37% | 63%,46% | 54%,+9%,"15,332",2026-01-06 19:27
49ers @ Eagles,Spread,"Sun 1/11, 9:30 PM",+4.5 (-105) | -4.5 (-108),76% | 24%,76% | 24%,,"14,641",2026-01-06 19:27
Chargers @ Patriots,Spread,"Mon 1/12, 1:00 AM",+3.5 (-105) | -3.5 (-108),35% | 65%,40% | 60%,+5%,"13,268",2026-01-06 19:27
Texans @ Steelers,Spread,"Tue 1/13, 1:00 AM",-3.5 (+100) | +3.5 (-113),52% | 48%,45% | 55%,+7%,"11,591",2026-01-06 19:27
Rams @ Panthers,Total,"Sat 1/10, 9:30 PM",o46.5 (-110) | u46.5 (-108),66% | 34%,51% | 49%,+15%,"14,328",2026-01-06 19:27
Packers @ Bears,Total,"Sun 1/11, 1:00 AM",o45.5 (-110) | u46 (-110),55% | 45%,56% | 44%,+1%,"14,297",2026-01-06 19:27
Bills @ Jaguars,Total,"Sun 1/11, 6:00 PM",o52 (-108) | u52.5 (-110),61% | 39%,56% | 44%,+5%,"15,332",2026-01-06 19:27
49ers @ Eagles,Total,"Sun 1/11, 9:30 PM",o45 (-107) | u44.5 (-104),62% | 38%,55% | 45%,+7%,"14,641",2026-01-06 19:27
Chargers @ Patriots,Total,"Mon 1/12, 1:00 AM",o46.5 (-104) | u46.5 (-112),68% | 32%,52% | 48%,+16%,"13,268",2026-01-06 19:27
Texans @ Steelers,Total,"Tue 1/13, 1:00 AM",o39.5 (-104) | u39.5 (-110),65% | 35%,55% | 45%,+10%,"11,591",2026-01-06 19:27
Rams @ Panthers,Moneyline,"Sat 1/10, 9:30 PM",-575 | +450,86% | 14%,52% | 48%,+34%,"14,328",2026-01-06 19:27
Packers @ Bears,Moneyline,"Sun 1/11, 1:00 AM",-109 | -106,29% | 71%,41% | 59%,+12%,"14,297",2026-01-06 19:27
Bills @ Jaguars,Moneyline,"Sun 1/11, 6:00 PM",-115 | +100,56% | 44%,63% | 37%,+7%,"15,332",2026-01-06 19:27
49ers @ Eagles,Moneyline,"Sun 1/11, 9:30 PM",+190 | -220,39% | 61%,48% | 52%,+9%,"14,641",2026-01-06 19:27
Chargers @ Patriots,Moneyline,"Mon 1/12, 1:00 AM",+170 | -192,14% | 86%,22% | 78%,+8%,"13,268",2026-01-06 19:27
Texans @ Steelers,Moneyline,"Tue 1/13, 1:00 AM",-180 | +160,72% | 28%,71% | 29%,+1%,"11,591",2026-01-06 19:27
