Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Commanders @ Giants,Spread,"Sun 12/14, 6:00 PM",+2.5 (-105) | -2.5 (-108),36% | 64%,30% | 70%,+6%,"4,685",2025-12-10 22:27
Falcons @ Buccaneers,Spread,"Fri 12/12, 1:15 AM",+4.5 (-105) | -4.5 (-105),36% | 64%,66% | 34%,+30%,"15,019",2025-12-10 22:27
Chargers @ Chiefs,Spread,"Sun 12/14, 6:00 PM",+4.5 (-105) | -4.5 (-110),70% | 30%,75% | 25%,+5%,"6,967",2025-12-10 22:27
Jets @ Jaguars,Spread,"Sun 12/14, 6:00 PM",+13.5 (-105) | -12.5 (-113),42% | 58%,21% | 79%,+21%,"3,887",2025-12-10 22:27
Bills @ Patriots,Spread,"Sun 12/14, 6:00 PM",-1.5 (-102) | +1 (-110),34% | 66%,41% | 59%,+7%,"10,294",2025-12-10 22:27
Cardinals @ Texans,Spread,"Sun 12/14, 6:00 PM",+9.5 (-105) | -9.5 (-110),36% | 64%,34% | 66%,+2%,"5,296",2025-12-10 22:27
Ravens @ Bengals,Spread,"Sun 12/14, 6:00 PM",-2.5 (-105) | +2.5 (-105),28% | 72%,34% | 66%,+6%,"8,295",2025-12-10 22:27
Browns @ Bears,Spread,"Sun 12/14, 6:00 PM",+7.5 (-110) | -7.5 (-108),51% | 49%,61% | 39%,+10%,"6,820",2025-12-10 22:27
Raiders @ Eagles,Spread,"Sun 12/14, 6:00 PM",+11.5 (-105) | -11 (-108),52% | 48%,74% | 26%,+22%,"4,700",2025-12-10 22:27
Lions @ Rams,Spread,"Sun 12/14, 9:25 PM",+5.5 (-105) | -5.5 (-110),72% | 28%,71% | 29%,+1%,"7,396",2025-12-10 22:27
Panthers @ Saints,Spread,"Sun 12/14, 9:25 PM",-2.5 (-110) | +2.5 (+100),74% | 26%,34% | 66%,+40%,"5,679",2025-12-10 22:27
Packers @ Broncos,Spread,"Sun 12/14, 9:25 PM",-2 (-113) | +2.5 (-110),31% | 69%,30% | 70%,+1%,"7,870",2025-12-10 22:27
Titans @ 49ers,Spread,"Sun 12/14, 9:25 PM",+12.5 (-105) | -13 (-108),37% | 63%,29% | 71%,+8%,"4,523",2025-12-10 22:27
