away,home,date,time,forecast,precip,wind
Bengals,Ravens,"Bengals
Ravens",Bengals,35°F Partly Cloudy,0 %,9.38 N
Bears,Eagles,"Bears
Eagles",Bears,42°F Windy,0 %,15.27 E
49ers,Browns,"49ers
Browns",49ers,40°F Windy,0 %,19.34 NW
Cardinals,Buccaneers,"Cardinals
Buccaneers",Cardinals,78°F Partly Cloudy,0 %,6.63 NW
Saints,Dolphins,"Saints
Dolphins",Saints,79°F Mostly Cloudy,0 %,10.18 WSW
Rams,Panthers,"Rams
Panthers",Rams,46°F Drizzle,21 %,3.64 NE
Falcons,Jets,"Falcons
Jets",Falcons,50°F Drizzle,46 %,11.16 N
Jaguars,Titans,"Jaguars
Titans",Jaguars,44°F Clouds,17 %,7.83 SE
Vikings,Seahawks,"Vikings
Seahawks",Vikings,46°F Mostly Cloudy,0 %,2.22 S
Raiders,Chargers,"Raiders
Chargers",Raiders,66°F Partly Cloudy,0 %,4.08 SSW
Bills,Steelers,"Bills
Steelers",Bills,43°F Drizzle,31 %,10.26 ENE
Broncos,Commanders,"Broncos
Commanders",Broncos,44°F Drizzle,35 %,6.89 NNE
Packers,Lions,"Packers
Lions",Packers,Dome,--,
Chiefs,Cowboys,"Chiefs
Cowboys",Chiefs,Dome,--,
Texans,Colts,"Texans
Colts",Texans,Dome,--,
Giants,Patriots,"Giants
Patriots",Giants,Dome,--,
