team,player,pos,status,injury,description,date
Arizona Cardinals,Jeremiyah Love,RB,Questionable,Ankle,Love is questionable with ankle,Sep 12
Atlanta Falcons,Tua Tagovailoa,QB,Out,Oblique,Tagovailoa is out with oblique,Sep 12
Baltimore Ravens,Devontez Walker,WR,Questionable,Groin,Walker is questionable with groin,Sep 12
Buffalo Bills,Ty Johnson,RB,Questionable,Hamstring,Johnson is questionable with hamstring,Sep 12
Chicago Bears,Rome Odunze,WR,Questionable,Calf,Odunze is questionable with calf,Sep 12
Dallas Cowboys,Malik Davis,RB,Out,Hip,Davis is out with hip,Sep 12
Jacksonville Jaguars,LeQuint Allen,RB,Questionable,Hip,Allen is questionable with hip,Sep 12
Las Vegas Raiders,Brock Bowers,TE,Out,Knee,Bowers is out with knee,Sep 12
Los Angeles Chargers,Gary Jennings,WR,Out,IR,Gary Jennings (Concussion) is out this week.,Aug 18
New York Giants,Malik Nabers,WR,Questionable,Knee,Nabers is questionable with knee,Sep 12
Philadelphia Eagles,Eli Stowers,TE,Questionable,Hamstring,Stowers is questionable with hamstring,Sep 12
Tampa Bay Buccaneers,Sean Tucker,RB,Doubtful,Hamstring,Tucker is doubtful with hamstring,Sep 12
Tampa Bay Buccaneers,Jalen McMillan,WR,Doubtful,Knee,McMillan is doubtful with knee,Sep 12
