Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Raiders,Spread,"Sun 12/28, 9:05 PM",+0.5 (-115) | +1 (-110),56% | 44%,56% | 44%,,"7,603",2025-12-25 19:05
Lions @ Vikings,Spread,9:30 PM,-7.5 (+100) | +7 (+100),76% | 24%,66% | 34%,+10%,"129,731",2025-12-25 19:05
Broncos @ Chiefs,Spread,"Fri 12/26, 1:15 AM",-13.5 (-109) | +13.5 (-110),72% | 28%,73% | 27%,+1%,"103,210",2025-12-25 19:05
Texans @ Chargers,Spread,"Sat 12/27, 9:30 PM",+1.5 (-105) | -2 (-110),61% | 39%,79% | 21%,+18%,"18,402",2025-12-25 19:05
Ravens @ Packers,Spread,"Sun 12/28, 1:00 AM",+3.5 (-110) | -3.5 (-102),44% | 56%,37% | 63%,+7%,"8,850",2025-12-25 19:05
Seahawks @ Panthers,Spread,"Sun 12/28, 6:00 PM",-7.5 (-102) | +7 (-102),23% | 77%,30% | 70%,+7%,"11,384",2025-12-25 19:05
Jaguars @ Colts,Spread,"Sun 12/28, 6:00 PM",-6.5 (-107) | +6.5 (-110),80% | 20%,88% | 12%,+8%,"9,355",2025-12-25 19:05
Saints @ Titans,Spread,"Sun 12/28, 6:00 PM",-2.5 (-114) | +2.5 (-105),49% | 51%,55% | 45%,+6%,"7,588",2025-12-25 19:05
Cardinals @ Bengals,Spread,"Sun 12/28, 6:00 PM",+7 (-102) | -7.5 (-102),32% | 68%,28% | 72%,+4%,"10,455",2025-12-25 19:05
Steelers @ Browns,Spread,"Sun 12/28, 6:00 PM",-3 (-112) | +3 (-102),80% | 20%,85% | 15%,+5%,"11,016",2025-12-25 19:05
Patriots @ Jets,Spread,"Sun 12/28, 6:00 PM",-13.5 (-108) | +13.5 (-109),83% | 17%,79% | 21%,+4%,"7,280",2025-12-25 19:05
Buccaneers @ Dolphins,Spread,"Sun 12/28, 6:00 PM",-5.5 (-110) | +5.5 (-102),70% | 30%,74% | 26%,+4%,"7,689",2025-12-25 19:05
Eagles @ Bills,Spread,"Sun 12/28, 9:25 PM",+1.5 (-112) | -1.5 (-104),52% | 48%,43% | 57%,+9%,"11,738",2025-12-25 19:05
Bears @ 49ers,Spread,"Mon 12/29, 1:20 AM",+3 (-105) | -3 (-112),68% | 32%,66% | 34%,+2%,"9,148",2025-12-25 19:05
Rams @ Falcons,Spread,"Tue 12/30, 1:15 AM",-8 (-108) | +8 (-109),23% | 77%,24% | 76%,+1%,"7,966",2025-12-25 19:05
Cowboys @ Commanders,Spread,2ND 6:03,-9 (-105) | +13.5 (-120),75% | 25%,80% | 20%,+5%,"176,911",2025-12-25 19:05
Giants @ Raiders,Total,"Sun 12/28, 9:05 PM",o40.5 (-115) | u41.5 (-109),42% | 58%,48% | 52%,+6%,"7,603",2025-12-25 19:05
Lions @ Vikings,Total,9:30 PM,o43.5 (-113) | u44.5 (-109),74% | 26%,80% | 20%,+6%,"129,731",2025-12-25 19:05
Broncos @ Chiefs,Total,"Fri 12/26, 1:15 AM",o37.5 (-105) | u37.5 (-105),50% | 50%,54% | 46%,+4%,"103,210",2025-12-25 19:05
Texans @ Chargers,Total,"Sat 12/27, 9:30 PM",o39.5 (-108) | u39.5 (-105),59% | 41%,72% | 28%,+13%,"18,402",2025-12-25 19:05
Ravens @ Packers,Total,"Sun 12/28, 1:00 AM",o40.5 (-110) | u41 (-107),58% | 42%,76% | 24%,+18%,"8,850",2025-12-25 19:05
Seahawks @ Panthers,Total,"Sun 12/28, 6:00 PM",o42.5 (-108) | u42.5 (-108),49% | 51%,69% | 31%,+20%,"11,384",2025-12-25 19:05
Jaguars @ Colts,Total,"Sun 12/28, 6:00 PM",o48 (-109) | u48.5 (-110),63% | 37%,64% | 36%,+1%,"9,355",2025-12-25 19:05
Saints @ Titans,Total,"Sun 12/28, 6:00 PM",o39.5 (-106) | u39.5 (-110),76% | 24%,81% | 19%,+5%,"7,588",2025-12-25 19:05
Cardinals @ Bengals,Total,"Sun 12/28, 6:00 PM",o52 (-120) | u53.5 (-110),29% | 71%,37% | 63%,+8%,"10,455",2025-12-25 19:05
Steelers @ Browns,Total,"Sun 12/28, 6:00 PM",o34.5 (-104) | u34 (-108),84% | 16%,88% | 12%,+4%,"11,016",2025-12-25 19:05
Patriots @ Jets,Total,"Sun 12/28, 6:00 PM",o43 (-107) | u42.5 (-102),38% | 62%,42% | 58%,+4%,"7,280",2025-12-25 19:05
Buccaneers @ Dolphins,Total,"Sun 12/28, 6:00 PM",o45.5 (-110) | u45.5 (-109),37% | 63%,49% | 51%,+12%,"7,689",2025-12-25 19:05
Eagles @ Bills,Total,"Sun 12/28, 9:25 PM",o43.5 (-115) | u44 (-108),49% | 51%,64% | 36%,+15%,"11,738",2025-12-25 19:05
Bears @ 49ers,Total,"Mon 12/29, 1:20 AM",o52 (-108) | u52.5 (-110),21% | 79%,19% | 81%,+2%,"9,148",2025-12-25 19:05
Rams @ Falcons,Total,"Tue 12/30, 1:15 AM",o49.5 (-109) | u50 (-110),49% | 51%,39% | 61%,+10%,"7,966",2025-12-25 19:05
Cowboys @ Commanders,Total,2ND 6:03,o50 (-112) | u52.5 (-115),63% | 37%,74% | 26%,+11%,"176,911",2025-12-25 19:05
Giants @ Raiders,Moneyline,"Sun 12/28, 9:05 PM",-112 | -102,69% | 31%,37% | 63%,+32%,"7,603",2025-12-25 19:05
Lions @ Vikings,Moneyline,9:30 PM,-350 | +300,88% | 12%,82% | 18%,+6%,"129,731",2025-12-25 19:05
Broncos @ Chiefs,Moneyline,"Fri 12/26, 1:15 AM",-910 | +750,82% | 18%,62% | 38%,+20%,"103,210",2025-12-25 19:05
Texans @ Chargers,Moneyline,"Sat 12/27, 9:30 PM",+110 | -125,48% | 52%,43% | 57%,+5%,"18,402",2025-12-25 19:05
Ravens @ Packers,Moneyline,"Sun 12/28, 1:00 AM",+160 | -177,27% | 73%,37% | 63%,+10%,"8,850",2025-12-25 19:05
Seahawks @ Panthers,Moneyline,"Sun 12/28, 6:00 PM",-345 | +295,89% | 11%,74% | 26%,+15%,"11,384",2025-12-25 19:05
Jaguars @ Colts,Moneyline,"Sun 12/28, 6:00 PM",-278 | +240,89% | 11%,73% | 27%,+16%,"9,355",2025-12-25 19:05
Saints @ Titans,Moneyline,"Sun 12/28, 6:00 PM",-148 | +126,75% | 25%,71% | 29%,+4%,"7,588",2025-12-25 19:05
Cardinals @ Bengals,Moneyline,"Sun 12/28, 6:00 PM",+320 | -350,5% | 95%,6% | 94%,+1%,"10,455",2025-12-25 19:05
Steelers @ Browns,Moneyline,"Sun 12/28, 6:00 PM",-166 | +150,89% | 11%,89% | 11%,,"11,016",2025-12-25 19:05
Patriots @ Jets,Moneyline,"Sun 12/28, 6:00 PM",-900 | +750,97% | 3%,95% | 5%,+2%,"7,280",2025-12-25 19:05
Buccaneers @ Dolphins,Moneyline,"Sun 12/28, 6:00 PM",-250 | +235,90% | 10%,72% | 28%,+18%,"7,689",2025-12-25 19:05
Eagles @ Bills,Moneyline,"Sun 12/28, 9:25 PM",+105 | -116,26% | 74%,45% | 55%,+19%,"11,738",2025-12-25 19:05
Bears @ 49ers,Moneyline,"Mon 12/29, 1:20 AM",+145 | -162,27% | 73%,38% | 62%,+11%,"9,148",2025-12-25 19:05
Rams @ Falcons,Moneyline,"Tue 12/30, 1:15 AM",-425 | +360,96% | 4%,95% | 5%,+1%,"7,966",2025-12-25 19:05
Cowboys @ Commanders,Moneyline,2ND 6:03,-455 | +500,86% | 14%,83% | 17%,+3%,"176,911",2025-12-25 19:05
