away,home,date,time,forecast,precip,wind
Cowboys,Commanders,"Cowboys
Commanders",Cowboys,52°F Mostly Cloudy,0 %,8.02 ESE
Broncos,Chiefs,"Broncos
Chiefs",Broncos,60°F Partly Cloudy,0 %,9.7 N
Texans,Chargers,"Texans
Chargers",Texans,57°F Clear,0 %,2.37 WSW
Ravens,Packers,"Ravens
Packers",Ravens,37°F Clouds,0 %,6.61 NNW
Seahawks,Panthers,"Seahawks
Panthers",Seahawks,49°F Clouds,0 %,3.36 WSW
Saints,Titans,"Saints
Titans",Saints,68°F Windy,0 %,15.34 NNE
Cardinals,Bengals,"Cardinals
Bengals",Cardinals,63°F Clouds,0 %,12.89 NNE
Steelers,Browns,"Steelers
Browns",Steelers,46°F Drizzle,60 %,13.1 WSW
Patriots,Jets,"Patriots
Jets",Patriots,30°F Clouds,0 %,3.54 NNE
Buccaneers,Dolphins,"Buccaneers
Dolphins",Buccaneers,80°F Partly Cloudy,0 %,4.09 WSW
Eagles,Bills,"Eagles
Bills",Eagles,42°F Rain,74 %,7.29 WSW
Bears,49ers,"Bears
49ers",Bears,52°F Clear,0 %,3.64 NNW
Lions,Vikings,"Lions
Vikings",Lions,Dome,--,
Jaguars,Colts,"Jaguars
Colts",Jaguars,Dome,--,
Giants,Raiders,"Giants
Raiders",Giants,Dome,--,
Rams,Falcons,"Rams
Falcons",Rams,Dome,--,
