team,player,pos,status,injury,description,date
Arizona Cardinals,James Conner,RB,Out,Foot,Conner is out with foot,Sep 16
Baltimore Ravens,Zay Flowers,WR,Questionable,Hamstring,Flowers is questionable with hamstring,Sep 22
Baltimore Ravens,Ja'Kobi Lane,WR,Out,Wrist,Lane is out with wrist,Sep 16
Buffalo Bills,D.J. Moore,WR,Questionable,Shoulder,Moore is questionable with shoulder,Sep 22
Buffalo Bills,Ty Johnson,RB,Questionable,Hamstring,Johnson is questionable with hamstring,Sep 22
Carolina Panthers,Jonathon Brooks,RB,Doubtful,Groin,Brooks is doubtful with groin,Sep 22
Chicago Bears,Tyson Bagent,QB,Doubtful,Concussion,Bagent is doubtful with concussion,Sep 22
Chicago Bears,Caleb Williams,QB,Doubtful,Hamstring,Williams is doubtful with hamstring,Sep 22
Cleveland Browns,Dylan Sampson,RB,Out,Knee,Sampson is out with knee,Sep 17
Dallas Cowboys,Malik Davis,RB,Out,Hip,Davis is out with hip,Sep 12
Denver Broncos,J.K. Dobbins,RB,Questionable,Hamstring,Dobbins is questionable with hamstring,Sep 22
Denver Broncos,Marvin Mims,WR,Questionable,Foot,Mims is questionable with foot,Sep 22
Denver Broncos,RJ Harvey,RB,Questionable,Hamstring,Harvey is questionable with hamstring,Sep 22
Detroit Lions,Isiah Pacheco,RB,Out,Back,Pacheco is out with back,Sep 16
Green Bay Packers,Josh Jacobs,RB,Out,Personal,Jacobs is out with personal,Sep 18
Green Bay Packers,Luke Musgrave,TE,Out,Neck,Musgrave is out with neck,Sep 16
Green Bay Packers,Jayden Reed,WR,Out,Neck,Reed is out with neck,Sep 22
Houston Texans,Nico Collins,WR,Doubtful,Hamstring,Collins is doubtful with hamstring,Sep 22
Houston Texans,Tank Dell,WR,Out,Knee,Dell is out with knee,Sep 16
Indianapolis Colts,Ashton Dulin,WR,Questionable,Ankle,Dulin is questionable with ankle,Sep 22
Indianapolis Colts,Alec Pierce,WR,Out,Heel,Pierce is out with heel,Sep 22
Las Vegas Raiders,Dareke Young,WR,Doubtful,Hamstring,Young is doubtful with hamstring,Sep 22
Las Vegas Raiders,Brock Bowers,TE,Questionable,Knee,Bowers is questionable with knee,Sep 22
Las Vegas Raiders,Dont'e Thornton,WR,Out,Undisclosed,Thornton is out with undisclosed,Sep 16
Los Angeles Chargers,David Njoku,TE,Out,Leg,Njoku is out with leg,Sep 22
Los Angeles Chargers,Charlie Kolar,TE,Out,Arm,Kolar is out with arm,Sep 22
Los Angeles Chargers,KeAndre Lambert-Smith,WR,Out,Hamstring,Lambert-Smith is out with hamstring,Sep 16
Los Angeles Rams,Ronnie Rivers,RB,Questionable,Calf,Rivers is questionable with calf,Sep 22
Los Angeles Rams,Puka Nacua,WR,Questionable,Groin,Nacua is questionable with groin,Sep 22
Los Angeles Rams,Jordan Whittington,WR,Questionable,Quad,Whittington is questionable with quad,Sep 22
Miami Dolphins,Jaylen Wright,RB,Questionable,Neck,Wright is questionable with neck,Sep 22
Miami Dolphins,Caleb Douglas,WR,Questionable,Ankle,Douglas is questionable with ankle,Sep 22
Minnesota Vikings,Jordan Mason,RB,Out,Thumb,Mason is out with thumb,Sep 17
New England Patriots,A.J. Brown,WR,Out,Ankle,Brown is out with ankle,Sep 16
New England Patriots,Eli Raridon,TE,Questionable,Thigh,Raridon is questionable with thigh,Sep 22
New Orleans Saints,Jordyn Tyson,WR,Out,Hamstring,Tyson is out with hamstring,Sep 16
New York Giants,Jaxson Dart,QB,Out,Knee,Dart is out with knee,Sep 22
New York Jets,Tim Patrick,WR,Out,Groin,Patrick is out with groin,Sep 16
New York Jets,Mason Taylor,TE,Doubtful,Thumb,Taylor is doubtful with thumb,Sep 22
New York Jets,Arian Smith,WR,Out,Knee,Smith is out with knee,Sep 22
New York Jets,Omar Cooper,WR,Out,Ankle,Cooper is out with ankle,Sep 18
Philadelphia Eagles,Dallas Goedert,TE,Out,Knee,Goedert is out with knee,Sep 22
Philadelphia Eagles,Saquon Barkley,RB,Questionable,Neck,Barkley is questionable with neck,Sep 22
Philadelphia Eagles,Eli Stowers,TE,Out,Hamstring,Stowers is out with hamstring,Sep 16
Pittsburgh Steelers,Michael Pittman,WR,Questionable,Foot,Pittman is questionable with foot,Sep 22
Pittsburgh Steelers,Rico Dowdle,RB,Questionable,Toe,Dowdle is questionable with toe,Sep 22
San Francisco 49ers,Mike Evans,WR,Questionable,Hip,Evans is questionable with hip,Sep 22
San Francisco 49ers,Demarcus Robinson,WR,Out,Ankle,Robinson is out with ankle,Sep 22
San Francisco 49ers,Christian Kirk,WR,Out,Calf,Kirk is out with calf,Sep 16
San Francisco 49ers,Jake Tonges,TE,Out,Knee,Tonges is out with knee,Sep 16
San Francisco 49ers,De'Zhaun Stribling,WR,Out,Ankle,Stribling is out with ankle,Sep 16
Seattle Seahawks,Sam Darnold,QB,Doubtful,Glute,Darnold is doubtful with glute,Sep 22
Seattle Seahawks,Zach Charbonnet,RB,Out,Knee,Charbonnet is out with knee,Sep 16
Seattle Seahawks,Jadarian Price,RB,Questionable,Shoulder,Price is questionable with shoulder,Sep 22
Washington Commanders,Chig Okonkwo,TE,Doubtful,Hamstring,Okonkwo is doubtful with hamstring,Sep 22
Washington Commanders,Jayden Daniels,QB,Out,Elbow,Daniels is out with elbow,Sep 22
