away,home,date,time,forecast,precip,wind
Panthers,Buccaneers,"Panthers
Buccaneers",Panthers,67°F Rain,49 %,7.33 ENE
Seahawks,49ers,"Seahawks
49ers",Seahawks,55°F Clouds,0 %,7.62 SSE
Browns,Bengals,"Browns
Bengals",Browns,35°F Partly Cloudy,0 %,0.99 S
Cowboys,Giants,"Cowboys
Giants",Cowboys,34°F Partly Cloudy,0 %,7.39 SE
Titans,Jaguars,"Titans
Jaguars",Titans,58°F Clouds,0 %,8.28 SW
Chargers,Broncos,"Chargers
Broncos",Chargers,64°F Partly Cloudy,0 %,4.9 ESE
Jets,Bills,"Jets
Bills",Jets,26°F Clouds,0 %,9.29 NNE
Commanders,Eagles,"Commanders
Eagles",Commanders,36°F Partly Cloudy,0 %,7.75 SE
Lions,Bears,"Lions
Bears",Lions,31°F Mostly Cloudy,0 %,6.88 N
Cardinals,Rams,"Cardinals
Rams",Cardinals,60°F Rain,50 %,6.59 S
Ravens,Steelers,"Ravens
Steelers",Ravens,25°F Clouds,0 %,1.99 E
Saints,Falcons,"Saints
Falcons",Saints,Dome,--,
Colts,Texans,"Colts
Texans",Colts,Dome,--,
Packers,Vikings,"Packers
Vikings",Packers,Dome,--,
Chiefs,Raiders,"Chiefs
Raiders",Chiefs,Dome,--,
Dolphins,Patriots,"Dolphins
Patriots",Dolphins,Dome,--,
