away,home,date,time,forecast,precip,wind
Steelers,Bills,"Steelers
Bills",Steelers,Dome,--,
Patriots,Browns,"Patriots
Browns",Patriots,70°F Partly Cloudy,4 %,3 ENE
Rams,Chargers,"Rams
Chargers",Rams,77°F Clouds,0 %,3 ENE
Commanders,Ravens,"Commanders
Ravens",Commanders,83°F Mostly Cloudy,3 %,5 NNE
Texans,Panthers,"Texans
Panthers",Texans,80°F Drizzle,12 %,5 SSE
Falcons,Dolphins,"Falcons
Dolphins",Falcons,88°F Partly Cloudy,4 %,8 ESE
Buccaneers,Jaguars,"Buccaneers
Jaguars",Buccaneers,84°F Clouds,18 %,4 SE
Giants,Jets,"Giants
Jets",Giants,80°F Mostly Cloudy,0 %,4 NW
Bengals,Eagles,"Bengals
Eagles",Bengals,77°F Mostly Cloudy,1 %,3 NNW
Seahawks,Chiefs,"Seahawks
Chiefs",Seahawks,82°F Clear,0 %,6 ESE
Cardinals,Packers,"Cardinals
Packers",Cardinals,76°F Partly Cloudy,0 %,4 SSW
Vikings,Broncos,"Vikings
Broncos",Vikings,85°F Mostly Cloudy,0 %,7 N
Bears,Titans,"Bears
Titans",Bears,88°F Partly Cloudy,0 %,4 SE
49ers,Raiders,"49ers
Raiders",49ers,Dome,--,
Saints,Cowboys,"Saints
Cowboys",Saints,Dome,--,
Lions,Colts,"Lions
Colts",Lions,Dome,--,
