game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU1:00 PM ET,DAL,WAS,DAL @ WAS,Dak Prescott,Josh Johnson,"J. Williams (RB)-Q, J. Ferguson (TE)-Q","0%
52°  8 mph W Wind",DAL-8.5,50.5,2025-12-27 20:01:29
THU4:30 PM ET,DET,MIN,DET @ MIN,Jared Goff,Max Brosmer,A. St. Brown (WR)-Q,"Dome
In Domed Stadium",DET-7.5,45.0,2025-12-27 20:01:29
THU8:15 PM ET,DEN,KC,DEN @ KC,Bo Nix,C. Oladokun,None,"0%
58°  6 mph E Wind",DEN-13.5,38.0,2025-12-27 20:01:30
SAT4:30 PM ET,HOU,LAC,HOU @ LAC,C.J. Stroud,J. Herbert,None,"Dome
In Domed Stadium",LAC-1.5,39.5,2025-12-27 20:01:31
SAT8:00 PM ET,BAL,GB,BAL @ GB,L. Jackson,Malik Willis,"L. Jackson (QB)-D, Malik Willis (QB)-Q, C. Watson (WR)-Q","10% Precipitation
37°  8 mph SE Wind",GB -3,38.5,2025-12-27 20:01:31
SUN1:00 PM ET,SEA,CAR,SEA @ CAR,Sam Darnold,Bryce Young,None,"14% Precipitation
53°  3 mph ESE Wind",SEA-7,42.5,2025-12-27 20:01:31
SUN1:00 PM ET,ARI,CIN,ARI @ CIN,J. Brissett,Joe Burrow,M. Harrison (WR)-Q,"20% Precipitation
66°  10 mph SSW Wind",CIN-7,53.0,2025-12-27 20:01:32
SUN1:00 PM ET,PIT,CLE,PIT @ CLE,A. Rodgers,S. Sanders,"D. Sampson (RB)-Q, H. Fannin (TE)-Q","85% Rain
50°  11 mph SSE Wind",PIT-3,34.0,2025-12-27 20:01:32
SUN1:00 PM ET,JAX,IND,JAX @ IND,T. Lawrence,P. Rivers,None,"Dome
In Domed Stadium",JAX-5.5,48.5,2025-12-27 20:01:32
SUN1:00 PM ET,TB,MIA,TB @ MIA,B. Mayfield,Quinn Ewers,None,"1% Precipitation
79°  5 mph ENE Wind",TB -5.5,44.5,2025-12-27 20:01:33
SUN1:00 PM ET,NE,NYJ,NE @ NYJ,Drake Maye,Brady Cook,"T. Henderson (RB)-Q, D. Douglas (WR)-Q","4% Precipitation
32°  3 mph SW Wind",NE -13.5,42.5,2025-12-27 20:01:33
SUN1:00 PM ET,NO,TEN,NO @ TEN,Tyler Shough,Cam Ward,"Chris Olave (WR)-Q, Mason Tipton (WR)-Q, C. Smyth (K)-Q","0%
74°  15 mph SSW Wind",NO -2.5,39.5,2025-12-27 20:01:33
SUN4:05 PM ET,NYG,LV,NYG @ LV,Jaxson Dart,Geno Smith,Jack Bech (WR)-Q,"Dome
In Domed Stadium",NYG-2.5,41.5,2025-12-27 20:01:34
SUN4:25 PM ET,PHI,BUF,PHI @ BUF,Jalen Hurts,Josh Allen,D. Kincaid (TE)-Q,"94% Rain
45°  6 mph SSE Wind",BUF-1,44.0,2025-12-27 20:01:34
SUN8:20 PM ET,CHI,SF,CHI @ SF,C. Williams,Brock Purdy,"R. Pearsall (WR)-Q, G. Kittle (TE)-Q","0%
52°  6 mph NNW Wind",SF -3,52.5,2025-12-27 20:01:34
MON8:15 PM ET,LAR,ATL,LAR @ ATL,M. Stafford,Kirk Cousins,"D. Adams (WR)-D, Drake London (WR)-Q","Dome
In Domed Stadium",LAR-8,49.5,2025-12-27 20:01:35
