away,home,date,time,forecast,precip,wind
Colts,Jaguars,"Colts
Jaguars",Colts,65°F Heavy Rain,60 %,8.72 E
Saints,Buccaneers,"Saints
Buccaneers",Saints,77°F Drizzle,35 %,10.07 NE
Dolphins,Jets,"Dolphins
Jets",Dolphins,41°F Partly Cloudy,0 %,5.69 E
Titans,Browns,"Titans
Browns",Titans,32°F Clouds,0 %,10.63 NNE
Steelers,Ravens,"Steelers
Ravens",Steelers,43°F Partly Cloudy,0 %,3.95 NNE
Bengals,Bills,"Bengals
Bills",Bengals,30°F Snow,26 %,6.72 NE
Bears,Packers,"Bears
Packers",Bears,19°F Clear,0 %,4.83 SSE
Texans,Chiefs,"Texans
Chiefs",Texans,25°F Clouds,0 %,8.06 SSE
Eagles,Chargers,"Eagles
Chargers",Eagles,69°F Clear,0 %,3.56 W
Cowboys,Lions,"Cowboys
Lions",Cowboys,Dome,--,
Commanders,Vikings,"Commanders
Vikings",Commanders,Dome,--,
Seahawks,Falcons,"Seahawks
Falcons",Seahawks,Dome,--,
Broncos,Raiders,"Broncos
Raiders",Broncos,Dome,--,
Rams,Cardinals,"Rams
Cardinals",Rams,Dome,--,
