Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Raiders,Spread,"Sun 12/28, 9:05 PM",+1.5 (-110) | -1.5 (-106),54% | 46%,46% | 54%,+8%,"4,256",2025-12-24 03:46
Cowboys @ Commanders,Spread,"Thu 12/25, 6:00 PM",-7 (-105) | +7 (-105),64% | 36%,74% | 26%,+10%,"10,264",2025-12-24 03:46
Lions @ Vikings,Spread,"Thu 12/25, 9:30 PM",-7.5 (-102) | +7.5 (-114),74% | 26%,83% | 17%,+9%,"11,743",2025-12-24 03:46
Broncos @ Chiefs,Spread,"Fri 12/26, 1:15 AM",-13 (-109) | +13.5 (-110),75% | 25%,77% | 23%,+2%,"11,697",2025-12-24 03:46
Texans @ Chargers,Spread,"Sat 12/27, 9:30 PM",+1.5 (-105) | -1 (-113),55% | 45%,56% | 44%,+1%,"8,703",2025-12-24 03:46
Ravens @ Packers,Spread,"Sun 12/28, 1:00 AM",+3 (-108) | -2.5 (-118),36% | 64%,16% | 84%,+20%,"4,104",2025-12-24 03:46
Seahawks @ Panthers,Spread,"Sun 12/28, 6:00 PM",-7.5 (-102) | +7 (+100),46% | 54%,60% | 40%,+14%,"5,462",2025-12-24 03:46
Jaguars @ Colts,Spread,"Sun 12/28, 6:00 PM",-6.5 (-108) | +6.5 (-104),43% | 57%,52% | 48%,+9%,"4,508",2025-12-24 03:46
Saints @ Titans,Spread,"Sun 12/28, 6:00 PM",-2.5 (-115) | +2.5 (+100),43% | 57%,48% | 52%,+5%,"3,539",2025-12-24 03:46
Cardinals @ Bengals,Spread,"Sun 12/28, 6:00 PM",+7 (-105) | -7 (-112),36% | 64%,32% | 68%,+4%,"4,932",2025-12-24 03:46
Steelers @ Browns,Spread,"Sun 12/28, 6:00 PM",-3 (-112) | +3 (-102),75% | 25%,75% | 25%,,"6,159",2025-12-24 03:46
Patriots @ Jets,Spread,"Sun 12/28, 6:00 PM",-13.5 (-106) | +13.5 (-110),81% | 19%,60% | 40%,+21%,"3,276",2025-12-24 03:46
Buccaneers @ Dolphins,Spread,"Sun 12/28, 6:00 PM",-5.5 (-105) | +5.5 (-108),69% | 31%,72% | 28%,+3%,"3,529",2025-12-24 03:46
Eagles @ Bills,Spread,"Sun 12/28, 9:25 PM",+1.5 (-110) | -1.5 (-105),63% | 37%,62% | 38%,+1%,"5,674",2025-12-24 03:46
Bears @ 49ers,Spread,"Mon 12/29, 1:20 AM",+3 (-105) | -3 (-110),63% | 37%,63% | 37%,,"4,569",2025-12-24 03:46
Rams @ Falcons,Spread,"Tue 12/30, 1:15 AM",-8.5 (-104) | +8 (-108),83% | 17%,79% | 21%,+4%,"3,847",2025-12-24 03:46
Giants @ Raiders,Total,"Sun 12/28, 9:05 PM",o41.5 (-109) | u41.5 (-105),69% | 31%,57% | 43%,+12%,"4,256",2025-12-24 03:46
Cowboys @ Commanders,Total,"Thu 12/25, 6:00 PM",o50.5 (-106) | u50.5 (-102),63% | 37%,62% | 38%,+1%,"10,264",2025-12-24 03:46
Lions @ Vikings,Total,"Thu 12/25, 9:30 PM",o43.5 (-105) | u43.5 (-110),74% | 26%,74% | 26%,,"11,743",2025-12-24 03:46
Broncos @ Chiefs,Total,"Fri 12/26, 1:15 AM",o36.5 (-108) | u36.5 (-110),35% | 65%,37% | 63%,+2%,"11,697",2025-12-24 03:46
Texans @ Chargers,Total,"Sat 12/27, 9:30 PM",o39.5 (-105) | u39.5 (-105),83% | 17%,77% | 23%,+6%,"8,703",2025-12-24 03:46
Ravens @ Packers,Total,"Sun 12/28, 1:00 AM",o40.5 (-110) | u41 (-107),68% | 32%,66% | 34%,+2%,"4,104",2025-12-24 03:46
Seahawks @ Panthers,Total,"Sun 12/28, 6:00 PM",o42.5 (-110) | u42.5 (-108),76% | 24%,83% | 17%,+7%,"5,462",2025-12-24 03:46
Jaguars @ Colts,Total,"Sun 12/28, 6:00 PM",o47.5 (-109) | u48 (-110),64% | 36%,61% | 39%,+3%,"4,508",2025-12-24 03:46
Saints @ Titans,Total,"Sun 12/28, 6:00 PM",o39.5 (-108) | u39.5 (-110),77% | 23%,85% | 15%,+8%,"3,539",2025-12-24 03:46
Cardinals @ Bengals,Total,"Sun 12/28, 6:00 PM",o53 (-110) | u53.5 (-108),34% | 66%,25% | 75%,+9%,"4,932",2025-12-24 03:46
Steelers @ Browns,Total,"Sun 12/28, 6:00 PM",o33.5 (-110) | u33.5 (-102),87% | 13%,90% | 10%,+3%,"6,159",2025-12-24 03:46
Patriots @ Jets,Total,"Sun 12/28, 6:00 PM",o42.5 (-114) | u42.5 (-102),67% | 33%,65% | 35%,+2%,"3,276",2025-12-24 03:46
Buccaneers @ Dolphins,Total,"Sun 12/28, 6:00 PM",o45.5 (-110) | u46.5 (-110),58% | 42%,58% | 42%,,"3,529",2025-12-24 03:46
Eagles @ Bills,Total,"Sun 12/28, 9:25 PM",o43.5 (-105) | u44 (-112),71% | 29%,68% | 32%,+3%,"5,674",2025-12-24 03:46
Bears @ 49ers,Total,"Mon 12/29, 1:20 AM",o52 (-112) | u52.5 (-110),36% | 64%,25% | 75%,+11%,"4,569",2025-12-24 03:46
Rams @ Falcons,Total,"Tue 12/30, 1:15 AM",o49 (-113) | u49.5 (-105),47% | 53%,37% | 63%,+10%,"3,847",2025-12-24 03:46
Giants @ Raiders,Moneyline,"Sun 12/28, 9:05 PM",+105 | -120,65% | 35%,16% | 84%,+49%,"4,256",2025-12-24 03:46
Cowboys @ Commanders,Moneyline,"Thu 12/25, 6:00 PM",-315 | +270,82% | 18%,61% | 39%,+21%,"10,264",2025-12-24 03:46
Lions @ Vikings,Moneyline,"Thu 12/25, 9:30 PM",-335 | +310,90% | 10%,80% | 20%,+10%,"11,743",2025-12-24 03:46
Broncos @ Chiefs,Moneyline,"Fri 12/26, 1:15 AM",-800 | +730,70% | 30%,60% | 40%,+10%,"11,697",2025-12-24 03:46
Texans @ Chargers,Moneyline,"Sat 12/27, 9:30 PM",+110 | -121,50% | 50%,45% | 55%,+5%,"8,703",2025-12-24 03:46
Ravens @ Packers,Moneyline,"Sun 12/28, 1:00 AM",+140 | -148,27% | 73%,58% | 42%,+31%,"4,104",2025-12-24 03:46
Seahawks @ Panthers,Moneyline,"Sun 12/28, 6:00 PM",-345 | +295,91% | 9%,81% | 19%,+10%,"5,462",2025-12-24 03:46
Jaguars @ Colts,Moneyline,"Sun 12/28, 6:00 PM",-285 | +240,90% | 10%,67% | 33%,+23%,"4,508",2025-12-24 03:46
Saints @ Titans,Moneyline,"Sun 12/28, 6:00 PM",-145 | +132,72% | 28%,63% | 37%,+9%,"3,539",2025-12-24 03:46
Cardinals @ Bengals,Moneyline,"Sun 12/28, 6:00 PM",+315 | -350,6% | 94%,8% | 92%,+2%,"4,932",2025-12-24 03:46
Steelers @ Browns,Moneyline,"Sun 12/28, 6:00 PM",-164 | +154,91% | 9%,85% | 15%,+6%,"6,159",2025-12-24 03:46
Patriots @ Jets,Moneyline,"Sun 12/28, 6:00 PM",-900 | +750,97% | 3%,96% | 4%,+1%,"3,276",2025-12-24 03:46
Buccaneers @ Dolphins,Moneyline,"Sun 12/28, 6:00 PM",-245 | +210,90% | 10%,59% | 41%,+31%,"3,529",2025-12-24 03:46
Eagles @ Bills,Moneyline,"Sun 12/28, 9:25 PM",+105 | -110,31% | 69%,65% | 35%,+34%,"5,674",2025-12-24 03:46
Bears @ 49ers,Moneyline,"Mon 12/29, 1:20 AM",+145 | -165,33% | 67%,42% | 58%,+9%,"4,569",2025-12-24 03:46
Rams @ Falcons,Moneyline,"Tue 12/30, 1:15 AM",-425 | +385,97% | 3%,92% | 8%,+5%,"3,847",2025-12-24 03:46
