game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,DET,BUF,DET @ BUF,Jared Goff,Josh Allen,None,"3% Precipitation
71°  3 mph NNW Wind",BUF-5.5,55.0,2026-09-17 21:12:35
SUN1:00 PM ET,CAR,ATL,CAR @ ATL,Bryce Young,M. Penix,"Jalen Coker (WR)-Q, M. Penix (QB)-Q","Dome
In Domed Stadium",CAR-2.5,44.0,2026-09-17 21:12:35
SUN1:00 PM ET,NO,BAL,NO @ BAL,Tyler Shough,L. Jackson,"Chris Olave (WR)-Q, J. Johnson (TE)-Q, Zay Flowers (WR)-Q","29% Rain
78°  12 mph SSW Wind",BAL-8.5,46.5,2026-09-17 21:12:36
SUN1:00 PM ET,MIN,CHI,MIN @ CHI,Kyler Murray,C. Williams,"Kyler Murray (QB)-Q, D. Swift (RB)-Q","62% Rain
67°  15 mph NE Wind",CHI-4.5,48.0,2026-09-17 21:12:36
SUN1:00 PM ET,CIN,HOU,CIN @ HOU,Joe Burrow,C.J. Stroud,"Joe Burrow (QB)-Q, Nico Collins (WR)-Q","Dome
In Domed Stadium",HOU-2.5,46.0,2026-09-17 21:12:36
SUN1:00 PM ET,PIT,NE,PIT @ NE,A. Rodgers,Drake Maye,M. Pittman (WR)-Q,"21% Rain
59°  5 mph SE Wind",NE -5,41.5,2026-09-17 21:12:37
SUN1:00 PM ET,GB,NYJ,GB @ NYJ,Jordan Love,Geno Smith,Omar Cooper (WR)-Q,"66% Rain
67°  11 mph SSE Wind",GB -3.5,44.5,2026-09-17 21:12:37
SUN1:00 PM ET,CLE,TB,CLE @ TB,D. Watson,B. Mayfield,None,"7% Precipitation
86°  5 mph E Wind",TB -8.5,41.5,2026-09-17 21:12:37
SUN1:00 PM ET,PHI,TEN,PHI @ TEN,Jalen Hurts,Cam Ward,None,"2% Precipitation
93°  5 mph SW Wind",PHI-7,39.5,2026-09-17 21:12:38
SUN4:05 PM ET,JAX,DEN,JAX @ DEN,T. Lawrence,Bo Nix,"Brian Thomas (WR)-Q, J. Meyers (WR)-Q, Marvin Mims (WR)-Q","44% Rain
68°  8 mph NE Wind",DEN-2.5,45.5,2026-09-17 21:12:38
SUN4:05 PM ET,LV,LAC,LV @ LAC,Kirk Cousins,J. Herbert,"Brock Bowers (TE)-Q, L. McConkey (WR)-Q","Dome
In Domed Stadium",LAC-6.5,43.5,2026-09-17 21:12:38
SUN4:25 PM ET,SEA,ARI,SEA @ ARI,Drew Lock,J. Brissett,Cooper Kupp (WR)-Q,"Dome
In Domed Stadium",SEA-3.5,41.0,2026-09-17 21:12:39
SUN4:25 PM ET,WAS,DAL,WAS @ DAL,J. Daniels,Dak Prescott,Chig Okonkwo (TE)-Q,"Dome
In Domed Stadium",DAL-4,50.5,2026-09-17 21:12:39
SUN4:25 PM ET,MIA,SF,MIA @ SF,Malik Willis,Brock Purdy,"G. Kittle (TE)-Q, Eddy Pineiro (K)-Q","0%
69°  7 mph WNW Wind",SF -13,45.0,2026-09-17 21:12:39
SUN8:20 PM ET,IND,KC,IND @ KC,Daniel Jones,P. Mahomes,Alec Pierce (WR)-Q,"52% Rain
75°  9 mph NNE Wind",KC -6.5,46.5,2026-09-17 21:12:40
MON8:15 PM ET,NYG,LAR,NYG @ LAR,Jaxson Dart,M. Stafford,None,"Dome
In Domed Stadium",LAR-7,48.0,2026-09-17 21:12:40
