Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Cowboys @ Lions,Spread,"Fri 12/05, 1:15 AM",+3 (-105) | -3 (-105),81% | 19%,88% | 12%,+7%,"26,132",2025-12-04 01:01
Commanders @ Vikings,Spread,"Sun 12/07, 6:00 PM",+2.5 (-115) | -2 (-108),78% | 22%,58% | 42%,+20%,"6,386",2025-12-04 01:01
Colts @ Jaguars,Spread,"Sun 12/07, 6:00 PM",-1.5 (-105) | +1.5 (-107),56% | 44%,58% | 42%,+2%,"8,905",2025-12-04 01:01
Saints @ Buccaneers,Spread,"Sun 12/07, 6:00 PM",+8.5 (-108) | -8.5 (-108),29% | 71%,27% | 73%,+2%,"8,850",2025-12-04 01:01
Dolphins @ Jets,Spread,"Sun 12/07, 6:00 PM",-2.5 (-113) | +2.5 (+100),68% | 32%,65% | 35%,+3%,"7,709",2025-12-04 01:01
Titans @ Browns,Spread,"Sun 12/07, 6:00 PM",+4 (-108) | -3.5 (-115),40% | 60%,36% | 64%,+4%,"6,124",2025-12-04 01:01
Seahawks @ Falcons,Spread,"Sun 12/07, 6:00 PM",-7 (-105) | +7 (-108),76% | 24%,54% | 46%,+22%,"10,016",2025-12-04 01:01
Steelers @ Ravens,Spread,"Sun 12/07, 6:00 PM",+6 (-110) | -6 (-105),57% | 43%,40% | 60%,+17%,"10,773",2025-12-04 01:01
Bengals @ Bills,Spread,"Sun 12/07, 6:00 PM",+5.5 (+100) | -5.5 (-110),68% | 32%,70% | 30%,+2%,"7,936",2025-12-04 01:01
Broncos @ Raiders,Spread,"Sun 12/07, 9:05 PM",-7.5 (-108) | +7.5 (-105),78% | 22%,69% | 31%,+9%,"7,007",2025-12-04 01:01
Bears @ Packers,Spread,"Sun 12/07, 9:25 PM",+6.5 (-105) | -6.5 (-110),83% | 17%,80% | 20%,+3%,"9,395",2025-12-04 01:01
Rams @ Cardinals,Spread,"Sun 12/07, 9:25 PM",-8 (-110) | +8.5 (-113),74% | 26%,72% | 28%,+2%,"7,381",2025-12-04 01:01
Texans @ Chiefs,Spread,"Mon 12/08, 1:20 AM",+3.5 (-113) | -3.5 (-102),68% | 32%,80% | 20%,+12%,"11,051",2025-12-04 01:01
Eagles @ Chargers,Spread,"Tue 12/09, 1:15 AM",-3 (-102) | +3 (-110),61% | 39%,64% | 36%,+3%,"5,306",2025-12-04 01:01
Cowboys @ Lions,Total,"Fri 12/05, 1:15 AM",o54 (-110) | u54.5 (-110),51% | 49%,65% | 35%,+14%,"26,132",2025-12-04 01:01
Commanders @ Vikings,Total,"Sun 12/07, 6:00 PM",o42.5 (-105) | u42.5 (-110),63% | 37%,59% | 41%,+4%,"6,386",2025-12-04 01:01
Colts @ Jaguars,Total,"Sun 12/07, 6:00 PM",o47.5 (-110) | u47.5 (-105),53% | 47%,39% | 61%,+14%,"8,905",2025-12-04 01:01
Saints @ Buccaneers,Total,"Sun 12/07, 6:00 PM",o42.5 (-110) | u42.5 (-105),57% | 43%,45% | 55%,+12%,"8,850",2025-12-04 01:01
Dolphins @ Jets,Total,"Sun 12/07, 6:00 PM",o41.5 (+100) | u41.5 (-110),68% | 32%,65% | 35%,+3%,"7,709",2025-12-04 01:01
Titans @ Browns,Total,"Sun 12/07, 6:00 PM",o33.5 (-110) | u33.5 (-105),74% | 26%,70% | 30%,+4%,"6,124",2025-12-04 01:01
Seahawks @ Falcons,Total,"Sun 12/07, 6:00 PM",o44.5 (-108) | u44.5 (-108),66% | 34%,61% | 39%,+5%,"10,016",2025-12-04 01:01
Steelers @ Ravens,Total,"Sun 12/07, 6:00 PM",o43 (-107) | u43.5 (-110),51% | 49%,36% | 64%,+15%,"10,773",2025-12-04 01:01
Bengals @ Bills,Total,"Sun 12/07, 6:00 PM",o52.5 (-110) | u53.5 (-108),41% | 59%,42% | 58%,+1%,"7,936",2025-12-04 01:01
