Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Titans @ Giants,Spread,"Sun 9/27, 5:00 PM",+2.5 (+106) | -2.5 (-106),66% | 34%,60% | 40%,+6%,"7,325",2026-09-24 10:54
Falcons @ Packers,Spread,"Fri 9/25, 12:15 AM",+5.5 (-102) | -4.5 (-104),46% | 54%,56% | 44%,+10%,"60,523",2026-09-24 10:54
Patriots @ Jaguars,Spread,"Sun 9/27, 5:00 PM",+2.5 (+117) | -2.5 (-115),36%,54%,+18%,"15,388",2026-09-24 10:54
Chiefs @ Dolphins,Spread,"Sun 9/27, 5:00 PM",-10.5 (-106) | +10.5 (+108),88% | 12%,94% | 6%,+6%,"10,021",2026-09-24 10:54
Bengals @ Steelers,Spread,"Sun 9/27, 5:00 PM",-3.5 (+106) | +3.5 (-105),74% | 26%,84% | 16%,+10%,"12,031",2026-09-24 10:54
Seahawks @ Commanders,Spread,"Sun 9/27, 5:00 PM",-7.5 (+117) | +7 (+100),89% | 11%,95% | 5%,+6%,"11,157",2026-09-24 10:54
Chargers @ Bills,Spread,"Sun 9/27, 5:00 PM",+7.5 (-111) | -7.5 (+111),23% | 77%,28% | 72%,+5%,"14,646",2026-09-24 10:54
Panthers @ Browns,Spread,"Sun 9/27, 5:00 PM",-2.5 (-111) | +2.5 (+111),80% | 20%,81% | 19%,+1%,"11,117",2026-09-24 10:54
Texans @ Colts,Spread,"Sun 9/27, 5:00 PM",-2.5 (-106) | +2.5 (+106),42% | 58%,42% | 58%,,"8,345",2026-09-24 10:54
Jets @ Lions,Spread,"Sun 9/27, 5:00 PM",+6.5 (+104) | -6.5 (-102),25% | 75%,32% | 68%,+7%,"12,682",2026-09-24 10:54
Vikings @ Buccaneers,Spread,"Sun 9/27, 8:05 PM",-1.5 (+106) | +1.5 (-106),62% | 38%,62% | 38%,,"13,480",2026-09-24 10:54
Cardinals @ 49ers,Spread,"Sun 9/27, 8:05 PM",+8.5 (-102) | -8.5 (+102),20% | 80%,12% | 88%,+8%,"8,401",2026-09-24 10:54
Ravens @ Cowboys,Spread,"Sun 9/27, 8:25 PM",-3.5 (+106) | +3.5 (-106),47% | 53%,72% | 28%,+25%,"11,980",2026-09-24 10:54
