Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
49ers @ Raiders,Spread,Final,+3.5 (-110) | -3.5 (-104),68% | 32%,81% | 19%,+13%,"5,977",2026-08-28 08:22
Rams @ Chargers,Spread,Final,+3.5 (-108) | -3.5 (-110),72% | 28%,77% | 23%,+5%,"6,745",2026-08-28 08:22
Giants @ Jets,Total,11:30 PM,o36.5 (-112) | u36.5 (-104),70% | 30%,69% | 31%,+1%,817,2026-08-28 08:22
Commanders @ Ravens,Total,10:00 PM,o33.5 (-110) | u34 (-107),65% | 35%,55% | 45%,+10%,"1,307",2026-08-28 08:22
Texans @ Panthers,Total,11:00 PM,o36.5 (-102) | u35.5 (-103),43% | 57%,48% | 52%,+5%,"1,267",2026-08-28 08:22
Falcons @ Dolphins,Total,11:00 PM,o36.5 (-105) | u36.5 (-108),59% | 41%,63% | 37%,+4%,"1,211",2026-08-28 08:22
Buccaneers @ Jaguars,Total,11:30 PM,o35.5 (-105) | u34.5 (+100),59% | 41%,68% | 32%,+9%,792,2026-08-28 08:22
Bengals @ Eagles,Total,"Sat 8/29, 12:00 AM",o36.5 (-105) | u36.5 (-108),65% | 35%,75% | 25%,+10%,"1,135",2026-08-28 08:22
Seahawks @ Chiefs,Total,"Sat 8/29, 12:00 AM",o34.5 (-107) | u34.5 (-108),70% | 30%,69% | 31%,+1%,"1,040",2026-08-28 08:22
Cardinals @ Packers,Total,"Sat 8/29, 12:00 AM",o36.5 (-102) | u36 (-108),74% | 26%,78% | 22%,+4%,"1,201",2026-08-28 08:22
Saints @ Cowboys,Total,"Sat 8/29, 12:00 AM",o38.5 (-105) | u38.5 (-110),58% | 42%,70% | 30%,+12%,"1,655",2026-08-28 08:22
Vikings @ Broncos,Total,"Sat 8/29, 1:00 AM",o37.5 (-108) | u38 (-108),52% | 48%,53% | 47%,+1%,858,2026-08-28 08:22
Lions @ Colts,Total,"Sat 8/29, 5:00 PM",o36.5 (-102) | u36 (-108),72% | 28%,79% | 21%,+7%,762,2026-08-28 08:22
Bears @ Titans,Total,"Sat 8/29, 10:00 PM",o37.5 (-105) | u36.5 (-104),54% | 46%,67% | 33%,+13%,777,2026-08-28 08:22
Steelers @ Bills,Total,Final,o36.5 (-108) | u36.5 (-102),72% | 28%,79% | 21%,+7%,"6,113",2026-08-28 08:22
Patriots @ Browns,Total,Final,o35.5 (-105) | u35.5 (-110),67% | 33%,57% | 43%,+10%,"6,235",2026-08-28 08:22
49ers @ Raiders,Total,Final,o37.5 (-102) | u38.5 (-112),67% | 33%,68% | 32%,+1%,"5,977",2026-08-28 08:22
Rams @ Chargers,Total,Final,o38.5 (-102) | u38 (-110),69% | 31%,76% | 24%,+7%,"6,745",2026-08-28 08:22
Giants @ Jets,Moneyline,11:30 PM,-152 | +147,85% | 15%,72% | 28%,+13%,817,2026-08-28 08:22
Commanders @ Ravens,Moneyline,10:00 PM,+138 | -144,8% | 92%,12% | 88%,+4%,"1,307",2026-08-28 08:22
Texans @ Panthers,Moneyline,11:00 PM,-110 | +102,48% | 52%,57% | 43%,+9%,"1,267",2026-08-28 08:22
Falcons @ Dolphins,Moneyline,11:00 PM,-171 | +155,88% | 12%,74% | 26%,+14%,"1,211",2026-08-28 08:22
Buccaneers @ Jaguars,Moneyline,11:30 PM,-144 | +128,83% | 17%,69% | 31%,+14%,792,2026-08-28 08:22
Bengals @ Eagles,Moneyline,"Sat 8/29, 12:00 AM",+125 | -141,42% | 58%,40% | 60%,+2%,"1,135",2026-08-28 08:22
Seahawks @ Chiefs,Moneyline,"Sat 8/29, 12:00 AM",+104 | -108,63% | 37%,28% | 72%,+35%,"1,040",2026-08-28 08:22
Cardinals @ Packers,Moneyline,"Sat 8/29, 12:00 AM",+101 | -110,26% | 74%,26% | 74%,,"1,201",2026-08-28 08:22
Saints @ Cowboys,Moneyline,"Sat 8/29, 12:00 AM",+123 | -141,6% | 94%,4% | 96%,+2%,"1,655",2026-08-28 08:22
Vikings @ Broncos,Moneyline,"Sat 8/29, 1:00 AM",+153 | -174,12% | 88%,27% | 73%,+15%,858,2026-08-28 08:22
Lions @ Colts,Moneyline,"Sat 8/29, 5:00 PM",+160 | -168,33%,27%,,762,2026-08-28 08:22
Bears @ Titans,Moneyline,"Sat 8/29, 10:00 PM",+130 | -144,19% | 81%,47% | 53%,+28%,777,2026-08-28 08:22
Steelers @ Bills,Moneyline,Final,+117 | -132,13% | 87%,43% | 57%,+30%,"6,113",2026-08-28 08:22
Patriots @ Browns,Moneyline,Final,-136 | +120,91% | 9%,88% | 12%,+3%,"6,235",2026-08-28 08:22
49ers @ Raiders,Moneyline,Final,+142 | -164,56% | 44%,71% | 29%,+15%,"5,977",2026-08-28 08:22
Rams @ Chargers,Moneyline,Final,+153 | -164,56% | 44%,70% | 30%,+14%,"6,745",2026-08-28 08:22
