Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Jets,Spread,11:30 PM,-3 (-113) | +3.5 (-115),55% | 45%,64% | 36%,+9%,817,2026-08-28 08:22
Commanders @ Ravens,Spread,10:00 PM,+3.5 (-117) | -2.5 (-120),25% | 75%,9% | 91%,+16%,"1,307",2026-08-28 08:22
Texans @ Panthers,Spread,11:00 PM,-1.5 (-102) | +1 (-112),54% | 46%,57% | 43%,+3%,"1,267",2026-08-28 08:22
Falcons @ Dolphins,Spread,11:00 PM,-3.5 (-114) | +4.5 (-112),67% | 33%,92% | 8%,+25%,"1,211",2026-08-28 08:22
Buccaneers @ Jaguars,Spread,11:30 PM,-3 (-105) | +3 (-113),58% | 42%,39% | 61%,+19%,792,2026-08-28 08:22
Bengals @ Eagles,Spread,"Sat 8/29, 12:00 AM",+2.5 (-102) | -2.5 (-115),56% | 44%,46% | 54%,+10%,"1,135",2026-08-28 08:22
Seahawks @ Chiefs,Spread,"Sat 8/29, 12:00 AM",+1.5 (-112) | +1.5 (-122),52% | 48%,60% | 40%,+8%,"1,040",2026-08-28 08:22
Cardinals @ Packers,Spread,"Sat 8/29, 12:00 AM",+1.5 (-120) | +0.5 (-114),24% | 76%,27% | 73%,+3%,"1,201",2026-08-28 08:22
Saints @ Cowboys,Spread,"Sat 8/29, 12:00 AM",+2.5 (-102) | -2.5 (-109),20% | 80%,3% | 97%,+17%,"1,655",2026-08-28 08:22
Vikings @ Broncos,Spread,"Sat 8/29, 1:00 AM",+3.5 (-110) | -3.5 (-105),46% | 54%,42% | 58%,+4%,858,2026-08-28 08:22
Lions @ Colts,Spread,"Sat 8/29, 5:00 PM",+3.5 (-104) | -3.5 (-112),71% | 29%,64% | 36%,+7%,762,2026-08-28 08:22
Bears @ Titans,Spread,"Sat 8/29, 10:00 PM",+3 (-115) | -2.5 (-113),70% | 30%,91% | 9%,+21%,777,2026-08-28 08:22
Steelers @ Bills,Spread,Final,+2.5 (-106) | -1.5 (-120),23% | 77%,81% | 19%,+58%,"6,113",2026-08-28 08:22
Patriots @ Browns,Spread,Final,-2.5 (-110) | +2.5 (-105),81% | 19%,79% | 21%,+2%,"6,235",2026-08-28 08:22
