away,home,date,time,forecast,precip,wind
Falcons,Packers,"Falcons
Packers",Falcons,62°F Clouds,0 %,4 SE
Patriots,Jaguars,"Patriots
Jaguars",Patriots,79°F Mostly Cloudy,0 %,3 NW
Titans,Giants,"Titans
Giants",Titans,60°F Rain,62 %,17 N
Chiefs,Dolphins,"Chiefs
Dolphins",Chiefs,84°F Partly Cloudy,0 %,4 ENE
Bengals,Steelers,"Bengals
Steelers",Bengals,68°F Partly Cloudy,0 %,10 NNW
Seahawks,Commanders,"Seahawks
Commanders",Seahawks,66°F Clouds,0 %,11 NW
Chargers,Bills,"Chargers
Bills",Chargers,65°F Clouds,0 %,12 NNE
Panthers,Browns,"Panthers
Browns",Panthers,66°F Clear,0 %,12 N
Vikings,Buccaneers,"Vikings
Buccaneers",Vikings,84°F Clouds,0 %,2 NNE
Cardinals,49ers,"Cardinals
49ers",Cardinals,70°F Partly Cloudy,0 %,5 WNW
Ravens,Cowboys,"Ravens
Cowboys",Ravens,Dome,--,
Rams,Broncos,"Rams
Broncos",Rams,79°F Clouds,0 %,9 SSE
Eagles,Bears,"Eagles
Bears",Eagles,67°F Partly Cloudy,0 %,4 E
Texans,Colts,"Texans
Colts",Texans,Dome,--,
Jets,Lions,"Jets
Lions",Jets,Dome,--,
Raiders,Saints,"Raiders
Saints",Raiders,Dome,--,
