away,home,date,time,forecast,precip,wind
Falcons,Buccaneers,"Falcons
Buccaneers",Falcons,54°F Clear,0 %,4.23 S
Chargers,Chiefs,"Chargers
Chiefs",Chargers,18°F Clear,0 %,4.89 SW
Jets,Jaguars,"Jets
Jaguars",Jets,70°F Partly Cloudy,0 %,8.01 ESE
Ravens,Bengals,"Ravens
Bengals",Ravens,13°F Partly Cloudy,0 %,8.49 ESE
Browns,Bears,"Browns
Bears",Browns,9°F Clear,0 %,8.74 SE
Raiders,Eagles,"Raiders
Eagles",Raiders,30°F Partly Cloudy,0 %,13.5 SE
Commanders,Giants,"Commanders
Giants",Commanders,31°F Partly Cloudy,0 %,10.89 SE
Lions,Rams,"Lions
Rams",Lions,67°F Partly Cloudy,0 %,4.24 WSW
Packers,Broncos,"Packers
Broncos",Packers,60°F Partly Cloudy,0 %,1.91 WNW
Titans,49ers,"Titans
49ers",Titans,57°F Partly Cloudy,0 %,2.22 NNW
Colts,Seahawks,"Colts
Seahawks",Colts,54°F Drizzle,40 %,12.23 NNE
Dolphins,Steelers,"Dolphins
Steelers",Dolphins,20°F Partly Cloudy,0 %,7.85 NE
Bills,Patriots,"Bills
Patriots",Bills,Dome,--,
Cardinals,Texans,"Cardinals
Texans",Cardinals,Dome,--,
Panthers,Saints,"Panthers
Saints",Panthers,Dome,--,
Vikings,Cowboys,"Vikings
Cowboys",Vikings,Dome,--,
