away,home,date,time,forecast,precip,wind
Colts,Jaguars,"Colts
Jaguars",Colts,60°F Rain,60 %,6.41 SSW
Saints,Buccaneers,"Saints
Buccaneers",Saints,76°F Drizzle,36 %,8.46 NE
Dolphins,Jets,"Dolphins
Jets",Dolphins,40°F Partly Cloudy,0 %,5.45 ESE
Titans,Browns,"Titans
Browns",Titans,31°F Clouds,0 %,11.41 NE
Steelers,Ravens,"Steelers
Ravens",Steelers,42°F Partly Cloudy,0 %,4.24 NNE
Bengals,Bills,"Bengals
Bills",Bengals,30°F Clouds,0 %,8.23 NNE
Bears,Packers,"Bears
Packers",Bears,19°F Partly Cloudy,0 %,4.46 SSE
Texans,Chiefs,"Texans
Chiefs",Texans,29°F Clouds,0 %,7.26 SSE
Eagles,Chargers,"Eagles
Chargers",Eagles,70°F Clear,0 %,3.6 WSW
Cowboys,Lions,"Cowboys
Lions",Cowboys,Dome,--,
Commanders,Vikings,"Commanders
Vikings",Commanders,Dome,--,
Seahawks,Falcons,"Seahawks
Falcons",Seahawks,Dome,--,
Broncos,Raiders,"Broncos
Raiders",Broncos,Dome,--,
Rams,Cardinals,"Rams
Cardinals",Rams,Dome,--,
