away,home,date,time,forecast,precip,wind
Patriots,Seahawks,"Patriots
Seahawks",Patriots,74°F Clear,0 %,7 NNW
49ers,Rams,"49ers
Rams",49ers,Dome,--,
Jets,Titans,"Jets
Titans",Jets,88°F Partly Cloudy,0 %,10 SSW
Buccaneers,Bengals,"Buccaneers
Bengals",Buccaneers,87°F Clear,5 %,9 SW
Browns,Jaguars,"Browns
Jaguars",Browns,91°F Partly Cloudy,7 %,3 SE
Falcons,Steelers,"Falcons
Steelers",Falcons,84°F Partly Cloudy,9 %,9 SSW
Bears,Panthers,"Bears
Panthers",Bears,90°F Partly Cloudy,0 %,4 SW
Cardinals,Chargers,"Cardinals
Chargers",Cardinals,77°F Partly Cloudy,0 %,7 SSW
Commanders,Eagles,"Commanders
Eagles",Commanders,85°F Partly Cloudy,4 %,8 S
Cowboys,Giants,"Cowboys
Giants",Cowboys,76°F Partly Cloudy,0 %,8 SSE
Broncos,Chiefs,"Broncos
Chiefs",Broncos,70°F Partly Cloudy,13 %,9 N
Saints,Lions,"Saints
Lions",Saints,Dome,--,
Ravens,Colts,"Ravens
Colts",Ravens,Dome,--,
Bills,Texans,"Bills
Texans",Bills,Dome,--,
Dolphins,Raiders,"Dolphins
Raiders",Dolphins,Dome,--,
Packers,Vikings,"Packers
Vikings",Packers,Dome,--,
