Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Dolphins,Spread,Final,-3.5 (-106) | +3.5 (-110),49% | 51%,66% | 34%,+17%,"4,644",2026-08-23 02:17
Seahawks @ Titans,Spread,"Mon 8/24, 12:00 AM",+4.5 (-108) | -4.5 (-110),79% | 21%,63% | 37%,+16%,"1,837",2026-08-23 02:17
Chiefs @ Buccaneers,Spread,4TH 7:13,+5.5 (-113) | -3.5 (-112),70% | 30%,80% | 20%,+10%,"5,710",2026-08-23 02:17
Cowboys @ Cardinals,Spread,1ST 9:07,-2 (-112) | +2.5 (-110),76% | 24%,76% | 24%,,"6,780",2026-08-23 02:17
Raiders @ Texans,Spread,Final,+3.5 (-110) | +1.5 (-105),47% | 53%,71% | 29%,+24%,"13,732",2026-08-23 02:17
49ers @ Chargers,Spread,Final,+3.5 (-110) | -1 (-109),38% | 62%,26% | 74%,+12%,"12,404",2026-08-23 02:17
Jets @ Steelers,Spread,Final,+2.5 (-112) | -1.5 (-112),15% | 85%,10% | 90%,+5%,"8,446",2026-08-23 02:17
Panthers @ Jaguars,Spread,Final,-2.5 (-105) | +2.5 (-106),34% | 66%,27% | 73%,+7%,"7,345",2026-08-23 02:17
Packers @ Broncos,Spread,Final,+6.5 (-112) | -6.5 (-106),32% | 68%,19% | 81%,+13%,"8,173",2026-08-23 02:17
Commanders @ Lions,Spread,Final,+1.5 (-115) | -1 (-105),42% | 58%,39% | 61%,+3%,"4,760",2026-08-23 02:17
Bills @ Browns,Spread,Final,+2.5 (-104) | -2.5 (-113),80% | 20%,77% | 23%,+3%,"5,886",2026-08-23 02:17
Ravens @ Vikings,Spread,Final,+0.5 (+135) | -2.5 (-110),75% | 25%,58% | 42%,+17%,"4,836",2026-08-23 02:17
Falcons @ Colts,Spread,Final,+4 (-109) | -3 (-112),41% | 59%,12% | 88%,+29%,"4,341",2026-08-23 02:17
Saints @ Rams,Spread,Final,-1 (-107) | +1.5 (-110),19% | 81%,20% | 80%,+1%,"6,608",2026-08-23 02:17
Bears @ Bengals,Spread,Final,-3.5 (-110) | +3.5 (-105),50% | 50%,80% | 20%,+30%,"8,300",2026-08-23 02:17
Eagles @ Patriots,Spread,Final,-1.5 (-105) | +1.5 (-110),42% | 58%,51% | 49%,+9%,"4,791",2026-08-23 02:17
Giants @ Dolphins,Total,Final,o35.5 (-114) | u36.5 (-106),58% | 42%,52% | 48%,+6%,"4,644",2026-08-23 02:17
Seahawks @ Titans,Total,"Mon 8/24, 12:00 AM",o37.5 (-112) | u37.5 (-103),36% | 64%,37% | 63%,+1%,"1,837",2026-08-23 02:17
Chiefs @ Buccaneers,Total,4TH 7:13,o37.5 (-102) | u37.5 (-114),59% | 41%,52% | 48%,+7%,"5,710",2026-08-23 02:17
Cowboys @ Cardinals,Total,1ST 9:07,o34.5 (-110) | u38.5 (-108),66% | 34%,78% | 22%,+12%,"6,780",2026-08-23 02:17
Raiders @ Texans,Total,Final,o39.5 (-114) | u39.5 (-102),46% | 54%,58% | 42%,+12%,"13,732",2026-08-23 02:17
49ers @ Chargers,Total,Final,o38 (-112) | u44.5 (-110),53% | 47%,52% | 48%,+1%,"12,404",2026-08-23 02:17
Jets @ Steelers,Total,Final,o37.5 (-108) | u38.5 (-105),63% | 37%,62% | 38%,+1%,"8,446",2026-08-23 02:17
Panthers @ Jaguars,Total,Final,o37.5 (-115) | u38.5 (-105),64% | 36%,68% | 32%,+4%,"7,345",2026-08-23 02:17
Packers @ Broncos,Total,Final,o40.5 (-105) | u40.5 (-108),54% | 46%,45% | 55%,+9%,"8,173",2026-08-23 02:17
Commanders @ Lions,Total,Final,o36.5 (-105) | u36.5 (-113),61% | 39%,65% | 35%,+4%,"4,760",2026-08-23 02:17
Bills @ Browns,Total,Final,o36.5 (-113) | u36.5 (-102),64% | 36%,76% | 24%,+12%,"5,886",2026-08-23 02:17
Ravens @ Vikings,Total,Final,o37.5 (-105) | u36.5 (-104),67% | 33%,61% | 39%,+6%,"4,836",2026-08-23 02:17
Falcons @ Colts,Total,Final,o37.5 (+102) | u36.5 (-108),59% | 41%,62% | 38%,+3%,"4,341",2026-08-23 02:17
Saints @ Rams,Total,Final,o37.5 (-108) | u38.5 (-102),61% | 39%,66% | 34%,+5%,"6,608",2026-08-23 02:17
Bears @ Bengals,Total,Final,o37.5 (-109) | u38.5 (-110),69% | 31%,65% | 35%,+4%,"8,300",2026-08-23 02:17
Eagles @ Patriots,Total,Final,o36.5 (-113) | u37.5 (-110),58% | 42%,76% | 24%,+18%,"4,791",2026-08-23 02:17
Giants @ Dolphins,Moneyline,Final,-162 | +142,75% | 25%,72% | 28%,+3%,"4,644",2026-08-23 02:17
Seahawks @ Titans,Moneyline,"Mon 8/24, 12:00 AM",+180 | -198,42% | 58%,95% | 5%,+53%,"1,837",2026-08-23 02:17
Chiefs @ Buccaneers,Moneyline,4TH 7:13,+175 | -190,30% | 70%,58% | 42%,+28%,"5,710",2026-08-23 02:17
Cowboys @ Cardinals,Moneyline,1ST 9:07,-126 | +114,54% | 46%,72% | 28%,+18%,"6,780",2026-08-23 02:17
Raiders @ Texans,Moneyline,Final,+156 | +114,40% | 60%,76% | 24%,+36%,"13,732",2026-08-23 02:17
49ers @ Chargers,Moneyline,Final,+168 | -117,45% | 55%,36% | 64%,+9%,"12,404",2026-08-23 02:17
Jets @ Steelers,Moneyline,Final,+124 | -134,22% | 78%,11% | 89%,+11%,"8,446",2026-08-23 02:17
Panthers @ Jaguars,Moneyline,Final,-135 | +118,44% | 56%,38% | 62%,+6%,"7,345",2026-08-23 02:17
Packers @ Broncos,Moneyline,Final,+210 | -250,12% | 88%,9% | 91%,+3%,"8,173",2026-08-23 02:17
Commanders @ Lions,Moneyline,Final,-102 | -108,22% | 78%,41% | 59%,+19%,"4,760",2026-08-23 02:17
Bills @ Browns,Moneyline,Final,+124 | -146,57% | 43%,56% | 44%,+1%,"5,886",2026-08-23 02:17
Ravens @ Vikings,Moneyline,Final,+138 | -142,41% | 59%,76% | 24%,+35%,"4,836",2026-08-23 02:17
Falcons @ Colts,Moneyline,Final,+145 | -162,15% | 85%,23% | 77%,+8%,"4,341",2026-08-23 02:17
Saints @ Rams,Moneyline,Final,-114 | +110,37% | 63%,32% | 68%,+5%,"6,608",2026-08-23 02:17
Bears @ Bengals,Moneyline,Final,-180 | +154,68% | 32%,72% | 28%,+4%,"8,300",2026-08-23 02:17
Eagles @ Patriots,Moneyline,Final,-116 | +102,56% | 44%,78% | 22%,+22%,"4,791",2026-08-23 02:17
