game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
SAT4:30 PM ET,LAR,CAR,LAR @ CAR,M. Stafford,Bryce Young,None,"77% Rain
71°  14 mph SW Wind",LAR-10.5,46.0,2026-01-10 00:18:27
SAT8:00 PM ET,GB,CHI,GB @ CHI,Jordan Love,C. Williams,None,"43% Precipitation
31°  18 mph W Wind",GB -1.5,44.5,2026-01-10 00:18:30
SUN1:00 PM ET,BUF,JAX,BUF @ JAX,Josh Allen,T. Lawrence,"J. Palmer (WR)-Q, Matt Prater (K)-Q","4% Precipitation
65°  13 mph NNW Wind",BUF-1,51.5,2026-01-10 00:18:31
SUN4:30 PM ET,SF,PHI,SF @ PHI,Brock Purdy,Jalen Hurts,R. Pearsall (WR)-Q,"16% Precipitation
41°  16 mph W Wind",PHI-6,44.5,2026-01-10 00:18:32
