game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU1:00 PM ET,GB,DET,GB @ DET,Jordan Love,Jared Goff,A. St. Brown (WR)-Q,"Dome
In Domed Stadium",DET-3,48.0,2025-11-29 17:25:39
THU4:30 PM ET,KC,DAL,KC @ DAL,P. Mahomes,Dak Prescott,None,"Dome
In Domed Stadium",KC -3.5,53.0,2025-11-29 17:25:49
THU8:20 PM ET,CIN,BAL,CIN @ BAL,Joe Burrow,L. Jackson,None,"0%
38°  14 mph WNW Wind",BAL-8,52.5,2025-11-29 17:25:50
FRI3:00 PM ET,CHI,PHI,CHI @ PHI,C. Williams,Jalen Hurts,None,"0%
43°  21 mph WNW Wind",PHI-7,43.0,2025-11-29 17:25:52
SUN1:00 PM ET,LAR,CAR,LAR @ CAR,M. Stafford,Bryce Young,None,"23% Precipitation
49°  5 mph SW Wind",LAR-10,45.0,2025-11-29 17:25:53
SUN1:00 PM ET,SF,CLE,SF @ CLE,Brock Purdy,S. Sanders,None,"42% Precipitation
36°  24 mph WSW Wind",SF -5,35.0,2025-11-29 17:25:54
SUN1:00 PM ET,HOU,IND,HOU @ IND,C.J. Stroud,Daniel Jones,Tyler Warren (TE)-Q,"Dome
In Domed Stadium",IND-3.5,44.0,2025-11-29 17:25:54
SUN1:00 PM ET,NO,MIA,NO @ MIA,Tyler Shough,T. Tagovailoa,Chris Olave (WR)-Q,"10% Precipitation
80°  11 mph E Wind",MIA-5,41.5,2025-11-29 17:25:55
SUN1:00 PM ET,ATL,NYJ,ATL @ NYJ,Kirk Cousins,Tyrod Taylor,None,"84% Rain
46°  10 mph SSW Wind",ATL-2.5,39.0,2025-11-29 17:25:55
SUN1:00 PM ET,ARI,TB,ARI @ TB,J. Brissett,B. Mayfield,"Bam Knight (RB)-Q, M. Harrison (WR)-Q, B. Mayfield (QB)-Q, Bucky Irving (RB)-Q","6% Precipitation
81°  7 mph E Wind",TB -3.5,44.5,2025-11-29 17:25:56
SUN1:00 PM ET,JAX,TEN,JAX @ TEN,T. Lawrence,Cam Ward,E. Ayomanor (WR)-Q,"1% Precipitation
42°  10 mph NW Wind",JAX-6,41.5,2025-11-29 17:25:56
SUN4:05 PM ET,MIN,SEA,MIN @ SEA,Max Brosmer,Sam Darnold,None,"0%
46°  2 mph N Wind",SEA-11.5,41.0,2025-11-29 17:25:57
SUN4:25 PM ET,LV,LAC,LV @ LAC,Geno Smith,J. Herbert,None,"Dome
In Domed Stadium",LAC-9.5,40.5,2025-11-29 17:25:57
SUN4:25 PM ET,BUF,PIT,BUF @ PIT,Josh Allen,A. Rodgers,"J. Palmer (WR)-Q, D. Kincaid (TE)-Q","26% Precipitation
37°  17 mph WSW Wind",BUF-3,45.0,2025-11-29 17:25:58
SUN8:20 PM ET,DEN,WAS,DEN @ WAS,Bo Nix,M. Mariota,None,"14% Precipitation
42°  7 mph WSW Wind",DEN-5.5,43.5,2025-11-29 17:25:58
MON8:15 PM ET,NYG,NE,NYG @ NE,Jaxson Dart,Drake Maye,"W. Robinson (WR)-Q, D. Slayton (WR)-Q","0%
27°  3 mph NW Wind",NE -7,46.5,2025-11-29 17:25:59
