away,home,date,time,forecast,precip,wind
Cowboys,Commanders,"Cowboys
Commanders",Cowboys,50°F Mostly Cloudy,0 %,7.06 NNE
Broncos,Chiefs,"Broncos
Chiefs",Broncos,62°F Mostly Cloudy,0 %,7.62 WNW
Texans,Chargers,"Texans
Chargers",Texans,61°F Partly Cloudy,0 %,2.6 SW
Ravens,Packers,"Ravens
Packers",Ravens,38°F Clouds,0 %,7.34 NNW
Seahawks,Panthers,"Seahawks
Panthers",Seahawks,59°F Clouds,0 %,4.52 NNW
Saints,Titans,"Saints
Titans",Saints,67°F Mostly Cloudy,0 %,10.12 ENE
Cardinals,Bengals,"Cardinals
Bengals",Cardinals,61°F Clouds,28 %,11.6 E
Steelers,Browns,"Steelers
Browns",Steelers,48°F Clouds,0 %,12.78 NW
Patriots,Jets,"Patriots
Jets",Patriots,34°F Clouds,0 %,2.32 W
Buccaneers,Dolphins,"Buccaneers
Dolphins",Buccaneers,79°F Partly Cloudy,0 %,1.77 S
Eagles,Bills,"Eagles
Bills",Eagles,45°F Drizzle,42 %,12.24 WNW
Bears,49ers,"Bears
49ers",Bears,54°F Clear,0 %,2.62 NNW
Lions,Vikings,"Lions
Vikings",Lions,Dome,--,
Jaguars,Colts,"Jaguars
Colts",Jaguars,Dome,--,
Giants,Raiders,"Giants
Raiders",Giants,Dome,--,
Rams,Falcons,"Rams
Falcons",Rams,Dome,--,
