away,home,date,time,forecast,precip,wind
Rams,Seahawks,"Rams
Seahawks",Rams,52°F Windy,0 %,18.54 NNE
Eagles,Commanders,"Eagles
Commanders",Eagles,43°F Partly Cloudy,0 %,7.6 NW
Packers,Bears,"Packers
Bears",Packers,34°F Partly Cloudy,0 %,9.87 ESE
Chiefs,Titans,"Chiefs
Titans",Chiefs,48°F Partly Cloudy,0 %,8.25 SSW
Vikings,Giants,"Vikings
Giants",Vikings,46°F Partly Cloudy,0 %,13.17 E
Buccaneers,Panthers,"Buccaneers
Panthers",Buccaneers,59°F Partly Cloudy,0 %,8.3 ESE
Bills,Browns,"Bills
Browns",Bills,25°F Windy,0 %,21.56 NNE
Bengals,Dolphins,"Bengals
Dolphins",Bengals,81°F Partly Cloudy,0 %,8.26 SSW
Jaguars,Broncos,"Jaguars
Broncos",Jaguars,56°F Partly Cloudy,0 %,3.44 SW
Patriots,Ravens,"Patriots
Ravens",Patriots,33°F Clear,0 %,11.19 NE
Jets,Saints,"Jets
Saints",Jets,Dome,--,
Chargers,Cowboys,"Chargers
Cowboys",Chargers,Dome,--,
Falcons,Cardinals,"Falcons
Cardinals",Falcons,Dome,--,
Steelers,Lions,"Steelers
Lions",Steelers,Dome,--,
Raiders,Texans,"Raiders
Texans",Raiders,Dome,--,
49ers,Colts,"49ers
Colts",49ers,Dome,--,
