Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Rams,Spread,"Tue 9/22, 12:15 AM",+7 (-102) | -7.5 (+115),69% | 31%,65% | 35%,+4%,"13,050",2026-09-17 21:12
Lions @ Bills,Spread,"Fri 9/18, 12:15 AM",+5.5 (-102) | -5.5 (+102),60% | 40%,40% | 60%,+20%,"174,281",2026-09-17 21:12
Browns @ Buccaneers,Spread,"Sun 9/20, 5:00 PM",+8.5 (-106) | -8.5 (+106),19% | 81%,8% | 92%,+11%,"17,160",2026-09-17 21:12
Packers @ Jets,Spread,"Sun 9/20, 5:00 PM",-3.5 (+111) | +3.5 (-106),63% | 37%,54% | 46%,+9%,"15,327",2026-09-17 21:12
Panthers @ Falcons,Spread,"Sun 9/20, 5:00 PM",-2.5 (-106) | +2.5 (+106),71% | 29%,74% | 26%,+3%,"14,863",2026-09-17 21:12
Eagles @ Titans,Spread,"Sun 9/20, 5:00 PM",-7.5 (+115) | +7 (-105),89% | 11%,94% | 6%,+5%,"17,978",2026-09-17 21:12
Bengals @ Texans,Spread,"Sun 9/20, 5:00 PM",+2.5 (+106) | -2.5 (-105),57% | 43%,54% | 46%,+3%,"16,670",2026-09-17 21:12
Saints @ Ravens,Spread,"Sun 9/20, 5:00 PM",+8.5 (+102) | -8.5 (+104),25% | 75%,23% | 77%,+2%,"17,125",2026-09-17 21:12
Vikings @ Bears,Spread,"Sun 9/20, 5:00 PM",+4.5 (-108) | -3.5 (-106),46% | 54%,36% | 64%,+10%,"17,781",2026-09-17 21:12
Steelers @ Patriots,Spread,"Sun 9/20, 5:00 PM",+4.5 (+106) | -5.5 (+104),62% | 38%,53% | 47%,+9%,"15,509",2026-09-17 21:12
Raiders @ Chargers,Spread,"Sun 9/20, 8:05 PM",+6.5 (+102) | -6.5 (-102),64% | 36%,54% | 46%,+10%,"11,410",2026-09-17 21:12
Jaguars @ Broncos,Spread,"Sun 9/20, 8:05 PM",+2.5 (+113) | -2.5 (-111),69% | 31%,76% | 24%,+7%,"15,560",2026-09-17 21:12
Commanders @ Cowboys,Spread,"Sun 9/20, 8:25 PM",+3.5 (+111) | -4.5 (+108),68% | 32%,66% | 34%,+2%,"12,783",2026-09-17 21:12
Dolphins @ 49ers,Spread,"Sun 9/20, 8:25 PM",+12.5 (+102) | -12.5 (-102),27% | 73%,29% | 71%,+2%,"12,732",2026-09-17 21:12
Seahawks @ Cardinals,Spread,"Sun 9/20, 8:25 PM",-3.5 (-102) | +3.5 (+104),59% | 41%,63% | 37%,+4%,"13,136",2026-09-17 21:12
Colts @ Chiefs,Spread,"Mon 9/21, 12:20 AM",+6.5 (+100) | -6.5 (+100),32% | 68%,20% | 80%,+12%,"11,803",2026-09-17 21:12
Giants @ Rams,Total,"Tue 9/22, 12:15 AM",o47.5 (-102) | u47.5 (+102),34% | 66%,44% | 56%,+10%,"13,050",2026-09-17 21:12
Lions @ Bills,Total,"Fri 9/18, 12:15 AM",o54.5 (-106) | u54.5 (+106),15% | 85%,49% | 51%,+34%,"174,281",2026-09-17 21:12
Browns @ Buccaneers,Total,"Sun 9/20, 5:00 PM",o41.5 (+102) | u41.5 (-102),17% | 83%,34% | 66%,+17%,"17,160",2026-09-17 21:12
Packers @ Jets,Total,"Sun 9/20, 5:00 PM",o44.5 (+100) | u44.5 (+100),17% | 83%,20% | 80%,+3%,"15,327",2026-09-17 21:12
Panthers @ Falcons,Total,"Sun 9/20, 5:00 PM",o44.5 (+106) | u44.5 (-106),21% | 79%,68% | 32%,+47%,"14,863",2026-09-17 21:12
Eagles @ Titans,Total,"Sun 9/20, 5:00 PM",o39.5 (-102) | u39.5 (+102),14% | 86%,15% | 85%,+1%,"17,978",2026-09-17 21:12
Bengals @ Texans,Total,"Sun 9/20, 5:00 PM",o45.5 (+102) | u45.5 (+100),17% | 83%,54% | 46%,+37%,"16,670",2026-09-17 21:12
Saints @ Ravens,Total,"Sun 9/20, 5:00 PM",o45.5 (-106) | u45.5 (+106),11% | 89%,38% | 62%,+27%,"17,125",2026-09-17 21:12
