Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Packers @ Giants,Spread,"Sun 11/16, 6:00 PM",-7 (-110) | +7 (-104),62% | 38%,67% | 33%,+5%,"14,358",2025-11-14 13:23
Commanders @ Dolphins,Spread,"Sun 11/16, 2:30 PM",+3 (-115) | -2.5 (-108),38% | 62%,43% | 57%,+5%,"14,671",2025-11-14 13:23
Bengals @ Steelers,Spread,"Sun 11/16, 6:00 PM",+5.5 (-108) | -5.5 (-108),66% | 34%,56% | 44%,+10%,"17,074",2025-11-14 13:23
Panthers @ Falcons,Spread,"Sun 11/16, 6:00 PM",+3.5 (-110) | -3.5 (-105),46% | 54%,44% | 56%,+2%,"15,019",2025-11-14 13:23
Texans @ Titans,Spread,"Sun 11/16, 6:00 PM",-6 (-107) | +6 (-107),63% | 37%,57% | 43%,+6%,"11,051",2025-11-14 13:23
Bears @ Vikings,Spread,"Sun 11/16, 6:00 PM",+3 (-115) | -2.5 (-115),61% | 39%,75% | 25%,+14%,"17,766",2025-11-14 13:23
Buccaneers @ Bills,Spread,"Sun 11/16, 6:00 PM",+5.5 (-105) | -5.5 (-110),63% | 37%,54% | 46%,+9%,"12,854",2025-11-14 13:23
Chargers @ Jaguars,Spread,"Sun 11/16, 6:00 PM",-3 (-102) | +3 (-113),69% | 31%,72% | 28%,+3%,"12,434",2025-11-14 13:23
Seahawks @ Rams,Spread,"Sun 11/16, 9:05 PM",+3 (-105) | -3 (-105),75% | 25%,78% | 22%,+3%,"15,696",2025-11-14 13:23
49ers @ Cardinals,Spread,"Sun 11/16, 9:05 PM",-3 (-107) | +3 (-102),71% | 29%,70% | 30%,+1%,"11,405",2025-11-14 13:23
Ravens @ Browns,Spread,"Sun 11/16, 9:25 PM",-7.5 (-108) | +7.5 (-105),78% | 22%,74% | 26%,+4%,"18,089",2025-11-14 13:23
Chiefs @ Broncos,Spread,"Sun 11/16, 9:25 PM",-3.5 (-114) | +3.5 (-102),59% | 41%,76% | 24%,+17%,"19,700",2025-11-14 13:23
Lions @ Eagles,Spread,"Mon 11/17, 1:20 AM",+2.5 (+100) | -2.5 (-114),82% | 18%,86% | 14%,+4%,"16,054",2025-11-14 13:23
Cowboys @ Raiders,Spread,"Tue 11/18, 1:15 AM",-3.5 (-102) | +3.5 (-110),81% | 19%,75% | 25%,+6%,"8,057",2025-11-14 13:23
Jets @ Patriots,Spread,Final,+12.5 (-105) | -12.5 (-110),41% | 59%,38% | 62%,+3%,"188,705",2025-11-14 13:23
Packers @ Giants,Total,"Sun 11/16, 6:00 PM",o42.5 (-110) | u42.5 (-105),72% | 28%,67% | 33%,+5%,"14,358",2025-11-14 13:24
Commanders @ Dolphins,Total,"Sun 11/16, 2:30 PM",o47.5 (-104) | u47.5 (-108),10% | 90%,7% | 93%,+3%,"14,671",2025-11-14 13:24
Bengals @ Steelers,Total,"Sun 11/16, 6:00 PM",o49.5 (-102) | u49.5 (-110),34% | 66%,38% | 62%,+4%,"17,074",2025-11-14 13:24
Panthers @ Falcons,Total,"Sun 11/16, 6:00 PM",o42.5 (-106) | u42.5 (-110),57% | 43%,60% | 40%,+3%,"15,019",2025-11-14 13:24
Texans @ Titans,Total,"Sun 11/16, 6:00 PM",o37.5 (-102) | u37 (-110),70% | 30%,63% | 37%,+7%,"11,051",2025-11-14 13:24
Bears @ Vikings,Total,"Sun 11/16, 6:00 PM",o48 (-113) | u48.5 (-110),61% | 39%,76% | 24%,+15%,"17,766",2025-11-14 13:24
Buccaneers @ Bills,Total,"Sun 11/16, 6:00 PM",o47 (-110) | u47.5 (-110),45% | 55%,37% | 63%,+8%,"12,854",2025-11-14 13:24
Chargers @ Jaguars,Total,"Sun 11/16, 6:00 PM",o43.5 (-110) | u43.5 (-105),46% | 54%,40% | 60%,+6%,"12,434",2025-11-14 13:24
Seahawks @ Rams,Total,"Sun 11/16, 9:05 PM",o48.5 (-110) | u49 (-110),44% | 56%,60% | 40%,+16%,"15,696",2025-11-14 13:24
49ers @ Cardinals,Total,"Sun 11/16, 9:05 PM",o48 (-110) | u48.5 (-110),38% | 62%,49% | 51%,+11%,"11,405",2025-11-14 13:24
Ravens @ Browns,Total,"Sun 11/16, 9:25 PM",o39 (-109) | u39.5 (-110),58% | 42%,59% | 41%,+1%,"18,089",2025-11-14 13:24
Chiefs @ Broncos,Total,"Sun 11/16, 9:25 PM",o44.5 (-105) | u45 (-110),49% | 51%,48% | 52%,+1%,"19,700",2025-11-14 13:24
Lions @ Eagles,Total,"Mon 11/17, 1:20 AM",o46.5 (-110) | u46.5 (-105),61% | 39%,59% | 41%,+2%,"16,054",2025-11-14 13:24
Cowboys @ Raiders,Total,"Tue 11/18, 1:15 AM",o49.5 (-110) | u50.5 (-110),57% | 43%,79% | 21%,+22%,"8,057",2025-11-14 13:24
Jets @ Patriots,Total,Final,o42.5 (-109) | u43.5 (-115),57% | 43%,51% | 49%,+6%,"188,705",2025-11-14 13:24
Packers @ Giants,Moneyline,"Sun 11/16, 6:00 PM",-350 | +320,92% | 8%,92% | 8%,,"14,358",2025-11-14 13:24
Commanders @ Dolphins,Moneyline,"Sun 11/16, 2:30 PM",+130 | -142,37% | 63%,15% | 85%,+22%,"14,671",2025-11-14 13:24
Bengals @ Steelers,Moneyline,"Sun 11/16, 6:00 PM",+200 | -235,16% | 84%,29% | 71%,+13%,"17,074",2025-11-14 13:24
Panthers @ Falcons,Moneyline,"Sun 11/16, 6:00 PM",+165 | -190,20% | 80%,15% | 85%,+5%,"15,019",2025-11-14 13:24
Texans @ Titans,Moneyline,"Sun 11/16, 6:00 PM",-275 | +230,94% | 6%,89% | 11%,+5%,"11,051",2025-11-14 13:24
Bears @ Vikings,Moneyline,"Sun 11/16, 6:00 PM",+130 | -150,29% | 71%,43% | 57%,+14%,"17,766",2025-11-14 13:24
Buccaneers @ Bills,Moneyline,"Sun 11/16, 6:00 PM",+235 | -245,16% | 84%,7% | 93%,+9%,"12,854",2025-11-14 13:24
Chargers @ Jaguars,Moneyline,"Sun 11/16, 6:00 PM",-150 | +132,87% | 13%,93% | 7%,+6%,"12,434",2025-11-14 13:24
Seahawks @ Rams,Moneyline,"Sun 11/16, 9:05 PM",+160 | -164,37% | 63%,56% | 44%,+19%,"15,696",2025-11-14 13:24
49ers @ Cardinals,Moneyline,"Sun 11/16, 9:05 PM",-157 | +145,91% | 9%,64% | 36%,+27%,"11,405",2025-11-14 13:24
Ravens @ Browns,Moneyline,"Sun 11/16, 9:25 PM",-375 | +360,97% | 3%,96% | 4%,+1%,"18,089",2025-11-14 13:24
Chiefs @ Broncos,Moneyline,"Sun 11/16, 9:25 PM",-205 | +180,87% | 13%,93% | 7%,+6%,"19,700",2025-11-14 13:24
Lions @ Eagles,Moneyline,"Mon 11/17, 1:20 AM",+130 | -142,35% | 65%,98% | 2%,+63%,"16,054",2025-11-14 13:24
Cowboys @ Raiders,Moneyline,"Tue 11/18, 1:15 AM",-175 | +154,93% | 7%,96% | 4%,+3%,"8,057",2025-11-14 13:24
Jets @ Patriots,Moneyline,Final,+625 | -770,10% | 90%,32% | 68%,+22%,"188,705",2025-11-14 13:24
