matchup,referee,away,home,spread,favorite,game_type,query
Lions at Bengals,Craig Wrolstad/Brandon Cruse,DET,CIN,0.0,HF,NDIV,'Craig Wrolstad/Brandon Cruse' in officials and HF and NDIV and REG and season>=2018
Packers at Steelers,Brad Rogers/Bryan Neale,GB,PIT,0.0,HF,NDIV,'Brad Rogers/Bryan Neale' in officials and HF and NDIV and REG and season>=2018
Colts at Patriots,Land Clark,IND,NE,0.0,HF,C,'Land Clark' in officials and HF and C and REG and season>=2018
Chargers at Texans,Carl Cheffers,LAC,HOU,0.0,HF,C,'Carl Cheffers' in officials and HF and C and REG and season>=2018
Cardinals at Raiders,Bill Vinovich/Scott Campbell,ARI,LV,0.0,HF,NDIV,'Bill Vinovich/Scott Campbell' in officials and HF and NDIV and REG and season>=2018
Titans at 49ers,Shawn Hochuli,TEN,SF,0.0,HF,NDIV,'Shawn Hochuli' in officials and HF and NDIV and REG and season>=2018
Dolphins at Commanders,Brad Allen/Chad Hill,MIA,WAS,0.0,HF,NDIV,'Brad Allen/Chad Hill' in officials and HF and NDIV and REG and season>=2018
Broncos at Falcons,Alan Eck/David Oliver,DEN,ATL,0.0,HF,NDIV,'Alan Eck/David Oliver' in officials and HF and NDIV and REG and season>=2018
Buccaneers at Jets,John Hussey/Duane Heydt,TB,NYJ,0.0,HF,NDIV,'John Hussey/Duane Heydt' in officials and HF and NDIV and REG and season>=2018
Vikings at Giants,Clete Blakeman/Jonah Monroe,MIN,NYG,0.0,HF,C,'Clete Blakeman/Jonah Monroe' in officials and HF and C and REG and season>=2018
Panthers at Bills,Scott Novak/Don Willard,CAR,BUF,0.0,HF,NDIV,'Scott Novak/Don Willard' in officials and HF and NDIV and REG and season>=2018
Browns at Bears,Alex Kemp,CLE,CHI,0.0,HF,NDIV,'Alex Kemp' in officials and HF and NDIV and REG and season>=2018
Jaguars at Saints,Clay Martin,JAX,NO,0.0,HF,NDIV,'Clay Martin' in officials and HF and NDIV and REG and season>=2018
Rams at Chiefs,Ron Torbert,LAR,KC,0.0,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Eagles at Ravens,Adrian Hill,PHI,BAL,0.0,HF,NDIV,'Adrian Hill' in officials and HF and NDIV and REG and season>=2018
Cowboys at Seahawks,Alex Moore/Terry Killens,DAL,SEA,-4.5,HF,C,'Alex Moore/Terry Killens' in officials and HF and C and REG and season>=2018
