matchup,referee,time,week,away_team,home_team
Lions at Bengals,Craig Wrolstad/Brandon Cruse,7 p.m.,PRE1,Lions,Bengals
Packers at Steelers,Brad Rogers/Bryan Neale,7 p.m.,PRE1,Packers,Steelers
Colts at Patriots,Land Clark,7:30 p.m.,PRE1,Colts,Patriots
Chargers at Texans,Carl Cheffers,8 p.m.,PRE1,Chargers,Texans
Cardinals at Raiders,Bill Vinovich/Scott Campbell,8 p.m.,PRE1,Cardinals,Raiders
Titans at 49ers,Shawn Hochuli,9 p.m.,PRE1,Titans,49ers
Dolphins at Commanders,Brad Allen/Chad Hill,7 p.m.,PRE1,Dolphins,Commanders
Broncos at Falcons,Alan Eck/David Oliver,7 p.m.,PRE1,Broncos,Falcons
Buccaneers at Jets,John Hussey/Duane Heydt,7 p.m.,PRE1,Buccaneers,Jets
Vikings at Giants,Clete Blakeman/Jonah Monroe,1 p.m.,PRE1,Vikings,Giants
Panthers at Bills,Scott Novak/Don Willard,1 p.m.,PRE1,Panthers,Bills
Browns at Bears,Alex Kemp,2 p.m.,PRE1,Browns,Bears
Jaguars at Saints,Clay Martin,4 p.m.,PRE1,Jaguars,Saints
Rams at Chiefs,Ron Torbert,4 p.m.,PRE1,Rams,Chiefs
Eagles at Ravens,Adrian Hill,7 p.m.,PRE1,Eagles,Ravens
Cowboys at Seahawks,Alex Moore/Terry Killens,8 p.m.,PRE1,Cowboys,Seahawks
