matchup,referee,away,home,spread,favorite,game_type,query
Seahawks1/5 at 49ers1/5/6,Bill Vinovich,Seahawks1/5,49ers1/5/6,0.0,HF,NDIV,'Bill Vinovich' in officials and HF and NDIV and REG and season>=2018
Panthers4/0 at Buccaneers*4/0,Brad Allen,Panthers4/0,Buccaneers*4/0,0.0,HF,NDIV,'Brad Allen' in officials and HF and NDIV and REG and season>=2018
Ravens4/0 at Steelers4/0,Shawn Smith,Ravens4/0,Steelers4/0,0.0,HF,NDIV,'Shawn Smith' in officials and HF and NDIV and REG and season>=2018
Titans at Jaguars1/2/3/5/6/7,Scott Novak,TEN,Jaguars1/2/3/5/6/7,0.0,HF,NDIV,'Scott Novak' in officials and HF and NDIV and REG and season>=2018
Colts at Texans3/5/6/7,Land Clark,IND,Texans3/5/6/7,0.0,HF,NDIV,'Land Clark' in officials and HF and NDIV and REG and season>=2018
Saints at Falcons*,Ron Torbert,NO,Falcons*,0.0,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Chargers5/6/7 at Broncos1/2/3,Clete Blakeman,Chargers5/6/7,Broncos1/2/3,0.0,HF,NDIV,'Clete Blakeman' in officials and HF and NDIV and REG and season>=2018
Dolphins at Patriots1/2/3,Clay Martin,MIA,Patriots1/2/3,0.0,HF,NDIV,'Clay Martin' in officials and HF and NDIV and REG and season>=2018
Jets at Bills5/6/7,Alan Eck,NYJ,Bills5/6/7,0.0,HF,NDIV,'Alan Eck' in officials and HF and NDIV and REG and season>=2018
Commanders at Eagles2/3,Shawn Hochuli,WAS,Eagles2/3,0.0,HF,NDIV,'Shawn Hochuli' in officials and HF and NDIV and REG and season>=2018
Lions at Bears2/3,Brad Rogers,DET,Bears2/3,0.0,HF,NDIV,'Brad Rogers' in officials and HF and NDIV and REG and season>=2018
Cardinals at Rams5/6,Carl Cheffers,ARI,Rams5/6,0.0,HF,NDIV,'Carl Cheffers' in officials and HF and NDIV and REG and season>=2018
Cowboys at Giants,Adrian Hill,DAL,NYG,-3.5,AF,DIV,'Adrian Hill' in officials and AF and DIV and REG and season>=2018
Packers7 at Vikings,John Hussey,Packers7,MIN,0.0,HF,NDIV,'John Hussey' in officials and HF and NDIV and REG and season>=2018
Browns at Bengals,Alex Kemp,CLE,CIN,-7.5,HF,DIV,'Alex Kemp' in officials and HF and DIV and REG and season>=2018
Chiefs at Raiders,Craig Wrolstad,KC,LV,-5.5,AF,DIV,'Craig Wrolstad' in officials and AF and DIV and REG and season>=2018
