matchup,referee,time,week,away_team,home_team
Seahawks1/5 at 49ers1/5/6,Bill Vinovich,Saturday 8 p.m.,18,Seahawks1/5,49ers1/5/6
Panthers4/0 at Buccaneers*4/0,Brad Allen,Saturday 4:30 p.m.,18,Panthers4/0,Buccaneers*4/0
Ravens4/0 at Steelers4/0,Shawn Smith,8:20 p.m. GAME 272,18,Ravens4/0,Steelers4/0
Titans at Jaguars1/2/3/5/6/7,Scott Novak,1 p.m.,18,Titans,Jaguars1/2/3/5/6/7
Colts at Texans3/5/6/7,Land Clark,1 p.m.,18,Colts,Texans3/5/6/7
Saints at Falcons*,Ron Torbert,1 p.m.,18,Saints,Falcons*
Chargers5/6/7 at Broncos1/2/3,Clete Blakeman,4:25 p.m.,18,Chargers5/6/7,Broncos1/2/3
Dolphins at Patriots1/2/3,Clay Martin,4:25 p.m.,18,Dolphins,Patriots1/2/3
Jets at Bills5/6/7,Alan Eck,4:25 p.m.,18,Jets,Bills5/6/7
Commanders at Eagles2/3,Shawn Hochuli,4:25 p.m.,18,Commanders,Eagles2/3
Lions at Bears2/3,Brad Rogers,4:25 p.m.,18,Lions,Bears2/3
Cardinals at Rams5/6,Carl Cheffers,4:25 p.m.,18,Cardinals,Rams5/6
Cowboys at Giants,Adrian Hill,1 p.m.,18,Cowboys,Giants
Packers7 at Vikings,John Hussey,1 p.m.,18,Packers7,Vikings
Browns at Bengals,Alex Kemp,1 p.m.,18,Browns,Bengals
Chiefs at Raiders,Craig Wrolstad,4:25 p.m.,18,Chiefs,Raiders
