matchup,referee,time,week,away_team,home_team
Lions at Bills,Ron Torbert,8:15 p.m.,2,Lions,Bills
Panthers at Falcons,Alex Moore,1 p.m.,2,Panthers,Falcons
Saints at Ravens,Clete Blakeman,1 p.m.,2,Saints,Ravens
Vikings at Bears,Land Clark,1 p.m.,2,Vikings,Bears
Bengals at Texans,Adrian Hill,1 p.m.,2,Bengals,Texans
Steelers at Patriots,Carl Cheffers,1 p.m.,2,Steelers,Patriots
Packers at Jets,Scott Novak,1 p.m.,2,Packers,Jets
Browns at Buccaneers,Brad Rogers,1 p.m.,2,Browns,Buccaneers
Eagles at Titans,Clay Martin,1 p.m.,2,Eagles,Titans
Jaguars at Broncos,John Hussey,4:05 p.m.,2,Jaguars,Broncos
Raiders at Chargers,Bill Vinovich,4:05 p.m.,2,Raiders,Chargers
Seahawks at Cardinals,Alan Eck,4:25 p.m.,2,Seahawks,Cardinals
Commanders at Cowboys,Shawn Hochuli,4:25 p.m.,2,Commanders,Cowboys
Dolphins at 49ers,Shawn Smith,4:25 p.m.,2,Dolphins,49ers
Colts at Chiefs,Craig Wrolstad,8:20 p.m.,2,Colts,Chiefs
Giants at Rams,Brad Allen,8:15 p.m.,2,Giants,Rams
