matchup,referee,away,home,spread,favorite,game_type,query
Lions at Bills,Ron Torbert,DET,BUF,-5.5,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Panthers at Falcons,Alex Moore,CAR,ATL,-2.5,AF,DIV,'Alex Moore' in officials and AF and DIV and REG and season>=2018
Saints at Ravens,Clete Blakeman,NO,BAL,-7.5,HF,NDIV,'Clete Blakeman' in officials and HF and NDIV and REG and season>=2018
Vikings at Bears,Land Clark,MIN,CHI,-5.5,HF,DIV,'Land Clark' in officials and HF and DIV and REG and season>=2018
Bengals at Texans,Adrian Hill,CIN,HOU,-3.0,HF,C,'Adrian Hill' in officials and HF and C and REG and season>=2018
Steelers at Patriots,Carl Cheffers,PIT,NE,-5.5,HF,C,'Carl Cheffers' in officials and HF and C and REG and season>=2018
Packers at Jets,Scott Novak,GB,NYJ,-4.5,AF,NDIV,'Scott Novak' in officials and AF and NDIV and REG and season>=2018
Browns at Buccaneers,Brad Rogers,CLE,TB,-8.5,HF,NDIV,'Brad Rogers' in officials and HF and NDIV and REG and season>=2018
Eagles at Titans,Clay Martin,PHI,TEN,-7.0,AF,NDIV,'Clay Martin' in officials and AF and NDIV and REG and season>=2018
Jaguars at Broncos,John Hussey,JAX,DEN,-2.5,HF,C,'John Hussey' in officials and HF and C and REG and season>=2018
Raiders at Chargers,Bill Vinovich,LV,LAC,-6.5,HF,DIV,'Bill Vinovich' in officials and HF and DIV and REG and season>=2018
Seahawks at Cardinals,Alan Eck,SEA,ARI,-3.5,AF,DIV,'Alan Eck' in officials and AF and DIV and REG and season>=2018
Commanders at Cowboys,Shawn Hochuli,WAS,DAL,-4.5,HF,DIV,'Shawn Hochuli' in officials and HF and DIV and REG and season>=2018
Dolphins at 49ers,Shawn Smith,MIA,SF,-13.5,HF,NDIV,'Shawn Smith' in officials and HF and NDIV and REG and season>=2018
Colts at Chiefs,Craig Wrolstad,IND,KC,-6.5,HF,C,'Craig Wrolstad' in officials and HF and C and REG and season>=2018
Giants at Rams,Brad Allen,NYG,LAR,-7.0,HF,C,'Brad Allen' in officials and HF and C and REG and season>=2018
