matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Cleveland Browns @ Tampa Bay Buccaneers,REG,2026.1,🎯 TARGETED PLAY,🎯 TARGETED PLAY,OK,,,,,8.5,8.5,spread,HOME,sharp spread edge; team-rating edge aligns,spread HOME 4/3.5 | total OVER 3/4 | final spread HOME,-13.0,9.0,46.2,60.0,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+5.6 pts; projected home margin +14.1),0,"Market inefficiency detected (-13.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Denver Broncos,REG,2026.1,🎯 TARGETED PLAY,🎯 TARGETED PLAY,OK,,,,,7.4,7.4,spread,AWAY,sharp spread edge; team-rating edge aligns,spread AWAY 4/1.5 | total OVER 3/4 | final spread AWAY,14.0,15.0,53.1,54.9,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (32.5 pts; projected home margin -30.0),0,Market inefficiency detected (+14.0% sharp edge),-1,Minor rest edge (1 days)
Indianapolis Colts @ Kansas City Chiefs,REG,2026.1,🎯 TARGETED PLAY,🎯 TARGETED PLAY,OK,,,,,7.4,7.4,spread,HOME,sharp spread edge; team-rating edge aligns,spread HOME 4/3.5 | total OVER 2/4 | final spread HOME,-13.0,14.0,43.6,41.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+22.3 pts; projected home margin +28.8),0,"Market inefficiency detected (-13.0% sharp edge), Potential steam move developing",-1,Minor rest edge (1 days)
Carolina Panthers @ Atlanta Falcons,REG,2026.1,🎯 TARGETED PLAY,📊 LEAN,OK,,,,,6.5,6.5,total,OVER,sharp total edge; referee over trend,spread AWAY 0/4 | total OVER 5/4 | final total OVER,5.0,39.0,40.0,60.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+14.5 pts; projected home margin +12.0),0,"Market mispricing possible (+5.0% edge), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Pittsburgh Steelers @ New England Patriots,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,OK,,,,,8.2,8.2,none,,,spread HOME 0/3 | total UNDER 0/4 | final none ,-10.0,-1.0,53.2,48.9,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (11.0 pts; projected home margin -5.5),0,Market inefficiency detected (-10.0% sharp edge),2,HOME rest advantage (+4 days)
Las Vegas Raiders @ Los Angeles Chargers,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,6.5,6.5,none,,,spread HOME 0/4.5 | total OVER -2/4 | final none ,-9.0,3.0,42.4,36.4,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on away team (23.2 pts; projected home margin -16.7),0,Market mispricing possible (-9.0% edge),0,Neutral schedule situation (standard rest)
Detroit Lions @ Buffalo Bills,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.9,5.9,none,,,spread HOME 3/4 | total OVER 1/4 | final none ,-41.0,19.0,48.6,37.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,"Market inefficiency detected (-41.0% sharp edge), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Minnesota Vikings @ Chicago Bears,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.9,5.9,none,,,spread HOME 3/4 | total OVER 2/4 | final none ,-18.0,4.0,43.8,68.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,Market inefficiency detected (-18.0% sharp edge),0,Neutral schedule situation (standard rest)
Seattle Seahawks @ Arizona Cardinals,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.2,5.2,none,,,spread AWAY 0/3.5 | total UNDER 2/4 | final none ,1.0,-11.0,66.7,58.3,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+11.3 pts; projected home margin +7.8),0,Standard market dynamics,-2,AWAY rest advantage (+4 days)
New Orleans Saints @ Baltimore Ravens,REG,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.1,5.1,none,,,spread HOME 3/4.5 | total OVER 3/4 | final none ,-7.0,19.0,53.3,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Current-season value on home team (+6.3 pts; projected home margin +14.8),0,"Market mispricing possible (-7.0% edge), Potential steam move developing",0,Neutral schedule situation (standard rest)
