matchup,referee,away,home,spread,favorite,game_type,query
Cowboys at Lions,Shawn Hochuli,DAL,DET,-3.0,HF,C,'Shawn Hochuli' in officials and HF and C and REG and season>=2018
Seahawks at Falcons,Alex Kemp,SEA,ATL,-7.0,AF,C,'Alex Kemp' in officials and AF and C and REG and season>=2018
Steelers at Ravens,Alex Moore,PIT,BAL,-6.0,HF,DIV,'Alex Moore' in officials and HF and DIV and REG and season>=2018
Titans at Browns,Carl Cheffers,TEN,CLE,-3.5,HF,C,'Carl Cheffers' in officials and HF and C and REG and season>=2018
Colts at Jaguars,John Hussey,IND,JAX,-1.5,AF,DIV,'John Hussey' in officials and AF and DIV and REG and season>=2018
Commanders at Vikings,Brad Allen,WAS,MIN,-1.5,HF,C,'Brad Allen' in officials and HF and C and REG and season>=2018
Dolphins at Jets,Bill Vinovich,MIA,NYJ,-2.5,AF,DIV,'Bill Vinovich' in officials and AF and DIV and REG and season>=2018
Saints at Buccaneers,Clete Blakeman,NO,TB,-8.5,HF,DIV,'Clete Blakeman' in officials and HF and DIV and REG and season>=2018
Bengals at Bills,Brad Rogers,CIN,BUF,-5.5,HF,C,'Brad Rogers' in officials and HF and C and REG and season>=2018
Broncos at Raiders,Shawn Smith,DEN,LV,-7.5,AF,DIV,'Shawn Smith' in officials and AF and DIV and REG and season>=2018
Bears at Packers,Craig Wrolstad,CHI,GB,-6.5,HF,DIV,'Craig Wrolstad' in officials and HF and DIV and REG and season>=2018
Rams at Cardinals,Ron Torbert,LAR,ARI,-7.5,AF,DIV,'Ron Torbert' in officials and AF and DIV and REG and season>=2018
Texans at Chiefs,Alan Eck,HOU,KC,-3.5,HF,C,'Alan Eck' in officials and HF and C and REG and season>=2018
Eagles at Chargers,Scott Novak,PHI,LAC,-3.0,AF,NDIV,'Scott Novak' in officials and AF and NDIV and REG and season>=2018
