matchup,referee,away,home,spread,favorite,game_type,query
Bills at Texans,Adrian Hill,BUF,HOU,-6.0,AF,C,'Adrian Hill' in officials and AF and C and REG and season>=2018
Steelers at Bears,John Hussey,PIT,CHI,-2.5,HF,NDIV,'John Hussey' in officials and HF and NDIV and REG and season>=2018
Patriots at Bengals,Land Clark,NE,CIN,-7.5,AF,C,'Land Clark' in officials and AF and C and REG and season>=2018
Giants at Lions,Craig Wrolstad,NYG,DET,-10.5,HF,C,'Craig Wrolstad' in officials and HF and C and REG and season>=2018
Vikings at Packers,Carl Cheffers,MIN,GB,-6.5,HF,DIV,'Carl Cheffers' in officials and HF and DIV and REG and season>=2018
Colts at Chiefs,Alex Moore,IND,KC,-3.5,HF,C,'Alex Moore' in officials and HF and C and REG and season>=2018
Seahawks at Titans,Ron Torbert,SEA,TEN,-13.5,AF,NDIV,'Ron Torbert' in officials and AF and NDIV and REG and season>=2018
Jets at Ravens,Clete Blakeman,NYJ,BAL,-13.5,HF,C,'Clete Blakeman' in officials and HF and C and REG and season>=2018
Jaguars at Cardinals,Scott Novak,JAX,ARI,-3.0,AF,NDIV,'Scott Novak' in officials and AF and NDIV and REG and season>=2018
Browns at Raiders,Shawn Hochuli,CLE,LV,-3.5,HF,C,'Shawn Hochuli' in officials and HF and C and REG and season>=2018
Eagles at Cowboys,Bill Vinovich,PHI,DAL,-3.0,AF,DIV,'Bill Vinovich' in officials and AF and DIV and REG and season>=2018
Falcons at Saints,Brad Rogers,ATL,NO,-1.5,HF,DIV,'Brad Rogers' in officials and HF and DIV and REG and season>=2018
Buccaneers at Rams,Clay Martin,TB,LAR,-6.5,HF,C,'Clay Martin' in officials and HF and C and REG and season>=2018
Panthers at 49ers,Alex Kemp,CAR,SF,-7.0,HF,C,'Alex Kemp' in officials and HF and C and REG and season>=2018
